time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
302,2,81,0.974181592464447,-0.30988577008247375,59.25,752,-119.90140533447266,-4220.4511250000005,3933.98583984375,4,0.001,,
312,5,217,0.9457569718360901,-0.09513048082590103,99.75,1840,-144.90335083007812,-6032.87426575,2118.349365234375,8,0.001,,
312,7,271,0.9426801800727844,-0.059990737587213516,130.66666666666666,2272,-110.05345916748047,-7198.117868083333,2143.139404296875,12,0.001,,
315,9,349,0.9393476247787476,-0.1953246295452118,116.58823529411765,2896,-21.14037322998047,-6240.802189294118,2301.291748046875,16,0.001,,
318,10,408,0.9350181818008423,-0.06879059225320816,118.9,3368,28.272092819213867,-6164.474049449999,3195.91943359375,20,0.001,,
319,13,530,0.9255650043487549,-0.2602711319923401,119.0,4344,53.11603927612305,-6006.663425,4751.74560546875,24,0.001,,
319,15,586,0.9178150296211243,-0.1638839989900589,121.71428571428571,4792,65.97972106933594,-5825.2374845357135,3207.58837890625,28,0.001,,
320,16,635,0.9142018556594849,0.07641388475894928,137.0,5184,113.71342468261719,-6293.5836484374995,2116.04150390625,32,0.001,,
320,21,868,0.9080461859703064,-0.12092851102352142,142.61111111111111,7048,162.361572265625,-6100.898597666666,1709.7646484375,36,0.001,,
321,22,908,0.9046388864517212,-0.26242393255233765,155.075,7368,174.3155975341797,-6173.043427574999,1633.2054443359375,40,0.001,,
321,28,1124,0.8724786639213562,-0.26000380516052246,158.70454545454547,9096,110.64140319824219,-6161.1839995227265,1592.95654296875,44,0.001,,
320,31,1237,0.8592178821563721,-0.29793408513069153,165.7173913043478,10000,197.4661865234375,-6191.720953804347,1201.279052734375,46,0.001,,
,,,,,,10000,,,,,,-21322.5497998,1000.0
245,42,1287,0.8533583879470825,-0.32163411378860474,165.64583333333334,10400,190.97686767578125,-6174.2510720625,1319.50732421875,48,0.001,,
250,44,1372,0.8383376002311707,-0.5714297294616699,171.09615384615384,11080,219.57264709472656,-6598.443591538461,1723.32568359375,52,0.001,,
255,49,1556,0.8012377619743347,-0.3104701340198517,173.10714285714286,12552,233.69374084472656,-6416.389976196429,2334.05517578125,56,0.001,,
