train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,train/std,train/explained_variance,time/fps,time/time_elapsed
-24274.732421875,10000,-186524.97941303003,0.0007,-8.652052879333496,34.95,70586352.0,499,1.0232406854629517,0.0,1529,6
-246514.546875,20000,-123424.57238726999,0.0007,-8.641084671020508,23.9,1919980928.0,999,1.0213316679000854,1.1920928955078125e-07,1574,12
79476.359375,30000,-151243.86550946,0.0007,-8.668785095214844,30.89,1164759168.0,1499,1.0268150568008423,-1.1920928955078125e-07,1587,18
-75945.21875,40000,-131043.50832196003,0.0007,-8.661665916442871,25.24,189796208.0,1999,1.0254395008087158,2.980232238769531e-07,1588,25
-77128.34375,50000,-133803.33252325,0.0007,-8.704620361328125,28.04,192479024.0,2499,1.0329004526138306,0.0,1585,31
22317.013671875,60000,-129489.70506470998,0.0007,-8.745772361755371,24.96,1439098112.0,2999,1.0397948026657104,0.0,1580,37
-144459.28125,70000,-112916.59929717,0.0007,-8.805068969726562,27.78,1529086592.0,3499,1.049905776977539,-2.384185791015625e-07,1579,44
-160735.453125,80000,-106032.23282953001,0.0007,-8.853410720825195,37.07,1513965952.0,3999,1.0586875677108765,1.7881393432617188e-07,1584,50
-138113.921875,90000,-82379.3021048,0.0007,-8.858901977539062,45.68,293215552.0,4499,1.0597370862960815,-2.384185791015625e-07,1586,56
-89163.2890625,100000,-60902.45383602999,0.0007,-8.764016151428223,57.67,152529680.0,4999,1.0427712202072144,0.0,1584,63
-2264.81396484375,110000,-96446.56784695,0.0007,-8.768057823181152,46.8,5723867.0,5499,1.0447138547897339,5.960464477539063e-08,1587,69
-334881.8125,120000,-93006.25943721,0.0007,-8.658872604370117,53.22,3864664064.0,5999,1.0256633758544922,-1.1920928955078125e-07,1589,75
-107385.484375,130000,-114928.53337551,0.0007,-8.661490440368652,77.58,229041200.0,6499,1.0263078212738037,-1.1920928955078125e-07,1591,81
24579.87109375,140000,-86656.32952022999,0.0007,-8.659204483032227,64.67,24819622.0,6999,1.0263750553131104,-1.1920928955078125e-07,1590,88
4577.4521484375,150000,-181612.62565446005,0.0007,-8.669548988342285,68.03,132673472.0,7499,1.0287014245986938,0.0,1590,94
-20820.21484375,160000,-159345.01694805,0.0007,-8.631091117858887,108.03,711068800.0,7999,1.0223835706710815,0.0,1593,100
-314771.71875,170000,-132043.02840496998,0.0007,-8.617729187011719,40.71,2924173824.0,8499,1.0203663110733032,-1.1920928955078125e-07,1594,106
17540.984375,180000,-185640.11019785,0.0007,-8.677018165588379,105.41,11255409.0,8999,1.030826210975647,0.0,1595,112
-205430.96875,190000,-89809.77642482001,0.0007,-8.690136909484863,68.42,2453051136.0,9499,1.0322834253311157,1.1920928955078125e-07,1594,119
34985.7578125,200000,-225903.16497969,0.0007,-8.6993408203125,128.55,46932992.0,9999,1.0330767631530762,1.1920928955078125e-07,1597,125
-193931.578125,210000,-91751.53965502999,0.0007,-8.669373512268066,59.73,642191424.0,10499,1.0286306142807007,-1.1920928955078125e-07,1598,131
-21742.87890625,220000,-275914.90682328003,0.0007,-8.730828285217285,125.62,24732628.0,10999,1.0398682355880737,0.0,1601,137
-1299.8172607421875,230000,-393928.53277846,0.0007,-8.789793968200684,195.4,25443.955078125,11499,1.0501400232315063,1.1920928955078125e-07,1601,143
-26363.615234375,240000,-95430.89100996999,0.0007,-8.787619590759277,48.61,25140956.0,11999,1.0492743253707886,0.0,1601,149
-45477.95703125,250000,-102587.03217167001,0.0007,-8.765000343322754,80.05,72368896.0,12499,1.0455522537231445,1.7881393432617188e-07,1602,156
