train/explained_variance,time/time_elapsed,train/learning_rate,train/std,rollout/ep_len_mean,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss
2.384185791015625e-07,7,0.0007,1.029258370399475,115.1547619047619,-24568.833984375,499,-8.685056686401367,-554553.0570926549,10000,1385,34933288.0
5.960464477539063e-08,14,0.0007,1.0334097146987915,51.9,-51701.62890625,999,-8.70789909362793,-201501.38781439004,20000,1402,147797568.0
0.0,21,0.0007,1.0329666137695312,52.25,-268081.1875,1499,-8.700966835021973,-162515.51540131,30000,1401,3122619648.0
0.0,28,0.0007,1.0264955759048462,48.96,-40194.54296875,1999,-8.66372013092041,-141138.55521424997,40000,1397,763138048.0
0.0,35,0.0007,1.031590223312378,57.29,-24390.43359375,2499,-8.690476417541504,-139666.31010407,50000,1396,28738508.0
0.0,43,0.0007,1.035788893699646,43.0,-13080.5361328125,2999,-8.712508201599121,-132388.69026944,60000,1391,104429232.0
-2.384185791015625e-07,50,0.0007,1.0342689752578735,49.44,-96205.640625,3499,-8.700882911682129,-147795.3595748,70000,1389,1024719872.0
5.960464477539063e-08,57,0.0007,1.0420957803726196,69.3,-13263.908203125,3999,-8.742734909057617,-161986.46463747002,80000,1388,14024558.0
-1.1920928955078125e-07,64,0.0007,1.0440706014633179,85.49,-21504.3125,4499,-8.750288963317871,-180375.80786588,90000,1388,24731724.0
-1.1920928955078125e-07,71,0.0007,1.053212285041809,75.96,-59596.2890625,4999,-8.799948692321777,-191003.83472030997,100000,1390,268920256.0
0.0,79,0.0007,1.0581365823745728,47.25,-22758.31640625,5499,-8.819999694824219,-150717.44840464002,110000,1390,539052416.0
1.1920928955078125e-07,86,0.0007,1.0729936361312866,38.67,-45652.6484375,5999,-8.907340049743652,-159268.99895643,120000,1389,68348528.0
1.1920928955078125e-07,93,0.0007,1.0787657499313354,54.62,-46098.20703125,6499,-8.939459800720215,-175026.63509831,130000,1391,86008024.0
1.1920928955078125e-07,100,0.0007,1.0908855199813843,40.77,-73554.2890625,6999,-8.99682903289795,-136075.0344912,140000,1391,123417408.0
