train/explained_variance,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/time_elapsed,train/value_loss,train/policy_loss,train/n_updates,train/learning_rate,train/std
0.0,10000,1736,-178105.60798139003,66.04,-8.596190452575684,5,24663168.0,-19573.068359375,499,0.0007,1.0138832330703735
-1.1920928955078125e-07,20000,1793,-147689.03737316,55.91,-8.587769508361816,11,33109590.0,-26103.19921875,999,0.0007,1.0131356716156006
1.7881393432617188e-07,30000,1820,-148544.76522901002,59.97,-8.58951473236084,16,983397.0,5177.1513671875,1499,0.0007,1.0136784315109253
0.0,40000,1828,-129305.34612437998,57.85,-8.591912269592285,21,54445804.0,-31641.41015625,1999,0.0007,1.0142227411270142
2.384185791015625e-07,50000,1834,-125851.01621863,49.65,-8.594128608703613,27,1964532352.0,-162922.53125,2499,0.0007,1.0159574747085571
0.0,60000,1839,-125785.67476804,61.61,-8.615303993225098,32,25163656.0,-20794.55859375,2999,0.0007,1.0192296504974365
0.0,70000,1837,-125014.51387622,59.14,-8.621298789978027,38,31892916.0,-7203.53662109375,3499,0.0007,1.0203012228012085
0.0,80000,1816,-201135.16692067002,111.16,-8.701310157775879,44,9611329.0,20295.53515625,3999,0.0007,1.0345996618270874
-1.1920928955078125e-07,90000,1821,-117110.28004165,67.31,-8.730826377868652,49,220686624.0,-66875.59375,4499,0.0007,1.0404882431030273
1.1920928955078125e-07,100000,1825,-148161.65158953003,95.73,-8.773276329040527,54,24736164.0,-22148.28125,4999,0.0007,1.04843270778656
0.0,110000,1827,-149075.02211341,91.2,-8.842362403869629,60,61023308.0,-27369.55859375,5499,0.0007,1.0607231855392456
1.1920928955078125e-07,120000,1806,-171741.09245187003,132.77,-8.857755661010742,66,3586.58544921875,-485.7325134277344,5999,0.0007,1.0639081001281738
-1.1920928955078125e-07,130000,1812,-127531.78572375001,117.84,-8.863441467285156,71,5065469.5,-8361.205078125,6499,0.0007,1.0654693841934204
0.0,140000,1810,-140920.58222275,108.68,-8.867982864379883,77,25503444.0,-12471.005859375,6999,0.0007,1.068184733390808
-1.1920928955078125e-07,150000,1813,-173639.79085006003,172.52,-8.92836856842041,82,233591456.0,-95118.3984375,7499,0.0007,1.0798479318618774
0.0,160000,1817,-212886.46611335996,255.25,-8.952361106872559,88,4604.3388671875,-500.70574951171875,7999,0.0007,1.0837093591690063
0.0,170000,1819,-146668.93346127,153.38,-9.032073974609375,93,11261.9619140625,-718.299560546875,8499,0.0007,1.0994888544082642
0.0,180000,1813,-186073.03062959,174.19,-9.02390193939209,99,3301.18896484375,-470.4244689941406,8999,0.0007,1.097333550453186
5.960464477539063e-08,190000,1816,-197274.24926873003,252.63,-9.076485633850098,104,8890.265625,-706.1400146484375,9499,0.0007,1.1077640056610107
1.1920928955078125e-07,200000,1821,-255447.87601898002,357.23,-9.115906715393066,109,40021992.0,-25285.978515625,9999,0.0007,1.1170684099197388
0.0,210000,1823,-274593.28197974,371.92,-9.150938987731934,115,11994642.0,17662.89453125,10499,0.0007,1.1239644289016724
0.0,220000,1825,-238736.18941037,359.84,-9.173178672790527,120,6695.66796875,-619.7262573242188,10999,0.0007,1.1283438205718994
0.0,230000,1828,-170309.9443685,186.89,-9.142386436462402,125,10231442.0,-11028.560546875,11499,0.0007,1.1230379343032837
-1.1920928955078125e-07,240000,1831,-237155.95988295999,281.67,-9.213788986206055,131,45803584.0,-28181.697265625,11999,0.0007,1.1354440450668335
1.7881393432617188e-07,250000,1828,-198184.10525390998,256.41,-9.250200271606445,136,14327914.0,17141.16015625,12499,0.0007,1.142483115196228
0.0,260000,1828,-159384.2001904,239.06,-9.253873825073242,142,8528.560546875,-647.5035400390625,12999,0.0007,1.1440573930740356
0.0,270000,1829,-190902.85012755,317.61,-9.2557954788208,147,7783.76025390625,-664.7314453125,13499,0.0007,1.1443184614181519
0.0,280000,1830,-185210.79705523004,340.13,-9.29150676727295,152,12639.8017578125,-793.5564575195312,13999,0.0007,1.1494731903076172
5.960464477539063e-08,290000,1831,-198043.01333512002,427.51,-9.35031795501709,158,8268.2373046875,-646.9630737304688,14499,0.0007,1.1624943017959595
-1.1920928955078125e-07,300000,1830,-141686.58289577,308.22,-9.3637056350708,163,14505.3232421875,-872.8185424804688,14999,0.0007,1.1642911434173584
0.0,310000,1830,-143361.98012522,311.09,-9.424737930297852,169,24689136.0,-19791.501953125,15499,0.0007,1.175080418586731
0.0,320000,1829,-167505.42856314,264.38,-9.445581436157227,174,132124.78125,1562.9407958984375,15999,0.0007,1.1772738695144653
0.0,330000,1828,-205142.12022368,300.64,-9.4898099899292,180,10221717.0,-9825.1455078125,16499,0.0007,1.1864994764328003
-1.1920928955078125e-07,340000,1827,-220985.08049351,280.66,-9.487988471984863,186,1002868.0,2583.39453125,16999,0.0007,1.1864558458328247
-1.1920928955078125e-07,350000,1827,-252859.59813222996,305.14,-9.496352195739746,191,15418883.0,-16946.4609375,17499,0.0007,1.186407208442688
0.0,360000,1828,-263701.84619054,364.61,-9.533113479614258,196,2365.4375,-408.38665771484375,17999,0.0007,1.1934279203414917
-1.1920928955078125e-07,370000,1827,-338962.80601843,387.66,-9.592637062072754,202,4281.4013671875,-515.6871948242188,18499,0.0007,1.2047343254089355
0.0,380000,1827,-254939.36722899,289.92,-9.640457153320312,207,12344.263671875,-889.6456298828125,18999,0.0007,1.2155267000198364
0.0,390000,1828,-175494.66812647996,223.21,-9.667609214782715,213,5200189.0,12906.0419921875,19499,0.0007,1.2210034132003784
-1.1920928955078125e-07,400000,1826,-129674.74139597,141.75,-9.678008079528809,219,2201.25537109375,-409.67156982421875,19999,0.0007,1.2214487791061401
0.0,410000,1826,-125082.21896274999,199.73,-9.729409217834473,224,1299151.125,4008.26611328125,20499,0.0007,1.230868935585022
0.0,420000,1827,-163699.87261482002,255.88,-9.69554328918457,229,25445964.0,-13126.6904296875,20999,0.0007,1.2250982522964478
-1.1920928955078125e-07,430000,1827,-212627.75414199,293.06,-9.725348472595215,235,15135440.0,-15136.6064453125,21499,0.0007,1.2294501066207886
1.7881393432617188e-07,440000,1826,-153090.5316259,77.79,-9.74237060546875,240,45160120.0,-37368.83984375,21999,0.0007,1.232616662979126
0.0,450000,1826,-124092.37035283998,97.26,-9.706476211547852,246,26962630.0,36464.8359375,22499,0.0007,1.2261887788772583
0.0,460000,1826,-127480.23935188999,87.42,-9.672812461853027,251,19075618.0,-20811.98828125,22999,0.0007,1.2191907167434692
0.0,470000,1826,-119861.58312986,162.08,-9.645696640014648,257,11108.451171875,-707.1827392578125,23499,0.0007,1.2137335538864136
1.1920928955078125e-07,480000,1825,-412954.13582887,44.2,-9.75343132019043,262,3451192832.0,-330178.40625,23999,0.0007,1.2368031740188599
0.0,490000,1825,-117996.35451175999,94.64,-9.770715713500977,268,2308943104.0,-199443.53125,24499,0.0007,1.2394905090332031
0.0,500000,1825,-119637.93181977,151.61,-9.853081703186035,273,16691.490234375,-954.07666015625,24999,0.0007,1.2562230825424194
-1.1920928955078125e-07,510000,1825,-156291.83244561998,250.7,-9.876975059509277,279,3597.11279296875,-490.77801513671875,25499,0.0007,1.2605195045471191
0.0,520000,1826,-181444.05310297996,327.25,-9.880642890930176,284,18243.91796875,-1148.44921875,25999,0.0007,1.2619659900665283
0.0,530000,1825,-175841.79057908,385.93,-9.864640235900879,290,70481008.0,-26152.072265625,26499,0.0007,1.2594467401504517
0.0,540000,1824,-220171.10573565002,440.72,-9.899975776672363,295,569345152.0,-165153.265625,26999,0.0007,1.265825629234314
0.0,550000,1824,-311073.91521239,347.51,-9.896658897399902,301,4112.17626953125,-492.69049072265625,27499,0.0007,1.2649608850479126
0.0,560000,1824,-298933.47093651997,340.58,-9.905569076538086,306,1581.634521484375,-362.8219299316406,27999,0.0007,1.2666925191879272
-1.1920928955078125e-07,570000,1823,-291589.5600472,367.02,-9.957459449768066,312,11409.142578125,-828.1219482421875,28499,0.0007,1.2776755094528198
-2.384185791015625e-07,580000,1823,-145296.30765088001,299.81,-9.987678527832031,318,9779.3037109375,-788.06787109375,28999,0.0007,1.2829052209854126
0.0,590000,1823,-171703.79342887,232.2,-10.019143104553223,323,24813886.0,-22289.072265625,29499,0.0007,1.2922645807266235
0.0,600000,1823,-180810.37656473,300.71,-10.112617492675781,328,7278.42578125,-695.69189453125,29999,0.0007,1.3119070529937744
1.7881393432617188e-07,610000,1823,-168328.27727409,347.17,-10.217874526977539,334,645233.8125,1301.4482421875,30499,0.0007,1.3339427709579468
2.384185791015625e-07,620000,1824,-175792.91873445996,438.55,-10.215859413146973,339,143719840.0,-66461.9296875,30999,0.0007,1.332595705986023
0.0,630000,1824,-188055.27975851,465.33,-10.222160339355469,345,6751332.0,-470.36029052734375,31499,0.0007,1.3335356712341309
0.0,640000,1824,-180567.42107864,493.62,-10.207093238830566,350,1273.8941650390625,-314.21868896484375,31999,0.0007,1.3301546573638916
0.0,650000,1824,-192017.45037858,417.53,-10.236884117126465,356,4481177.0,9892.2822265625,32499,0.0007,1.334869384765625
