time/total_timesteps,time/fps,train/explained_variance,train/policy_loss,train/value_loss,train/entropy_loss,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/std,rollout/ep_rew_mean
10000,1979,2.384185791015625e-07,-9536.0029296875,10288012.0,-8.55966854095459,499,5,302.6875,0.0007,1.0077580213546753,-422619.3299723125
20000,1991,-3.5762786865234375e-07,-30987.052734375,34545980.0,-8.524978637695312,999,10,175.34,0.0007,1.0014201402664185,-239846.52767033
30000,1988,-1.1920928955078125e-07,-12319.4248046875,15484672.0,-8.559027671813965,1499,15,98.03,0.0007,1.0076172351837158,-143653.52484951998
40000,1997,1.7881393432617188e-07,-42980.05078125,54759956.0,-8.590819358825684,1999,20,117.22,0.0007,1.0136065483093262,-205607.12358895
50000,1993,0.0,9116.119140625,7536234.5,-8.699424743652344,2499,25,142.01,0.0007,1.0319645404815674,-179453.77859418
60000,1987,0.0,369.2570495605469,100834.265625,-8.740189552307129,2999,30,136.67,0.0007,1.039067029953003,-169679.11026428
70000,1980,-1.1920928955078125e-07,-20310.73828125,112684176.0,-8.743834495544434,3499,35,136.28,0.0007,1.040622591972351,-154420.21119529998
80000,1923,0.0,4845.7275390625,2111745.25,-8.787642478942871,3999,41,86.99,0.0007,1.0470740795135498,-142570.61806516998
90000,1874,0.0,4218.9599609375,616985.8125,-8.86220645904541,4499,48,120.06,0.0007,1.0601418018341064,-133568.89353544998
100000,1840,5.960464477539063e-08,-195861.90625,586543936.0,-8.905457496643066,4999,54,113.74,0.0007,1.0678602457046509,-149483.45487771
110000,1812,0.0,-61505.67578125,128728216.0,-8.989019393920898,5499,60,143.29,0.0007,1.0833739042282104,-271274.43054117
120000,1788,0.0,-19487.953125,19881708.0,-9.070968627929688,5999,67,76.63,0.0007,1.0989282131195068,-123963.99212605001
130000,1767,0.0,2107.095947265625,444951.5,-9.087716102600098,6499,73,96.33,0.0007,1.1022968292236328,-136692.52577684997
140000,1750,0.0,-261026.953125,2395288320.0,-9.168722152709961,6999,79,106.72,0.0007,1.116512656211853,-158437.43979194996
150000,1737,0.0,-18899.408203125,20011852.0,-9.2669038772583,7499,86,127.72,0.0007,1.1366537809371948,-160709.12420328
160000,1725,0.0,826.6506958007812,74469.703125,-9.325356483459473,7999,92,149.74,0.0007,1.147694706916809,-210125.60699238002
