time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/return_std,train/learning_rate,train/iterations,train/step_size,train/delta_std
2819,3,-13436717.660332998,675.3333333333334,10000,,,,,
3012,6,-16058331.672726398,805.2,20000,,,,,
3100,9,-15554496.153975,783.0,30000,,,,,
3141,12,-16288626.028486364,822.4545454545455,40000,,,,,
3168,15,-17076309.131743785,860.5,50000,,,,,
3135,19,,,60000,6741343.0,0.02,0,3.70845992803126e-10,0.05
3153,22,-20005947.61250533,1000.0,70000,,,,,
3162,25,-19988459.3850484,1000.0,80000,,,,,
3176,28,-19959609.030552372,1000.0,90000,,,,,
3187,31,-19960170.779788896,1000.0,100000,,,,,
3196,34,-19955642.504576307,1000.0,110000,,,,,
3201,37,-19958219.450339265,1000.0,120000,,,,,
3205,40,-13373896.229606332,671.0,130000,129577.5078125,0.02,1,1.9293471709147525e-08,0.05
3211,43,-15953973.4562798,802.6,140000,,,,,
3216,46,-17377611.483369876,876.625,150000,,,,,
3220,49,-17892906.4684049,901.3,160000,,,,,
3224,52,-18403547.634697847,924.0769230769231,170000,,,,,
3227,55,-18611489.1817848,934.2,180000,,,,,
3229,58,-19870153.03986,1000.0,190000,4966329.0,0.02,2,5.033899408424247e-10,0.05
3232,61,-19930447.204599,1000.0,200000,,,,,
3234,64,-17458782.073420376,877.0,210000,,,,,
3234,68,-17933575.6664654,901.6,220000,,,,,
3236,71,-17095503.157970857,859.5714285714286,230000,,,,,
3237,74,,,240000,6755046.5,0.02,3,3.700936779260644e-10,0.05
3239,77,-20064736.975817,1000.0,250000,,,,,
3240,80,-19960632.6921296,1000.0,260000,,,,,
3241,83,-19970091.891033247,1000.0,270000,,,,,
3241,86,-19919762.8490785,1000.0,280000,,,,,
3243,89,-19907935.020871844,1000.0,290000,,,,,
3245,92,-19899552.24644066,1000.0,300000,,,,,
3244,95,-19741554.43732,1000.0,310000,146300.8125,0.02,4,1.708808028411113e-08,0.05
3246,98,-19856736.206963502,1000.0,320000,,,,,
3247,101,-17424254.99909725,876.5,330000,,,,,
3249,104,-17910080.0914076,901.2,340000,,,,,
3250,107,-18398096.998380233,924.0,350000,,,,,
3250,110,,,360000,6772893.0,0.02,5,3.691184857768093e-10,0.05
3250,113,-14919403.103978,758.5,370000,,,,,
3250,116,-16605421.323689334,839.0,380000,,,,,
3250,119,-17687295.127514444,892.6666666666666,390000,,,,,
3250,123,-18098476.723394547,912.1818181818181,400000,,,,,
3250,126,-18463208.665975217,931.0,410000,,,,,
3248,129,,,420000,4926472.5,0.02,6,5.074624609413547e-10,0.05
3248,132,-19927873.720026,1000.0,430000,,,,,
3249,135,-16569020.825884001,835.8333333333334,440000,,,,,
3249,138,-15903319.5073789,802.5,450000,,,,,
3250,141,-16564814.601716166,835.4166666666666,460000,,,,,
3250,144,-17236146.851408932,868.3333333333334,470000,,,,,
3250,147,-19822334.127631,1000.0,480000,6749566.5,0.02,7,3.703941597876792e-10,0.05
3251,150,-19818016.35222275,1000.0,490000,,,,,
3251,153,-14915010.262133125,752.75,500000,,,,,
3251,156,-14917627.412544087,752.75,510000,,,,,
3252,159,-14577382.197236335,737.0,520000,,,,,
3253,162,-19826996.121333502,1000.0,530000,8829740.0,0.02,8,2.831340439879426e-10,0.05
3254,165,-15926704.506308,802.4,540000,,,,,
3254,168,-17357434.42095875,876.5,550000,,,,,
3255,172,-17850619.9259978,901.2,560000,,,,,
3256,175,-18291951.787097,924.0,570000,,,,,
3256,178,-18515887.387084667,934.1333333333333,580000,,,,,
3257,181,-19929867.400055,1000.0,590000,4919564.0,0.02,9,5.081751131008616e-10,0.05
3257,184,-19939708.827103,1000.0,600000,,,,,
