rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/return_std,train/delta_std,train/step_size,train/iterations,train/learning_rate
1000.0,3,10000,3031,-19891779.363926,,,,,
1000.0,6,20000,3028,-19904451.52438175,,,,,
1000.0,9,30000,3029,-19883935.14139857,,,,,
1000.0,13,40000,3028,-19884515.41124811,,,,,
1000.0,16,50000,3029,-19857729.391239833,,,,,
1000.0,19,60000,3029,-19857616.621062715,,,,,
1000.0,23,70000,3028,-19998200.0,93175.203125,0.05,2.683117372725974e-08,0,0.02
1000.0,26,80000,3030,-19876066.871025335,,,,,
1000.0,29,90000,3032,-19860862.123763833,,,,,
889.4444444444445,32,100000,3033,-17693496.971398108,,,,,
917.0833333333334,36,110000,3038,-18230144.01165225,,,,,
928.9285714285714,39,120000,3039,-18477678.43855907,,,,,
1000.0,42,130000,3039,-19879300.0,4948301.5,0.05,5.052238627456518e-10,1,0.02
751.5,46,140000,3038,-14908406.127422001,,,,,
858.0,49,150000,3040,-17017234.81753557,,,,,
889.5555555555555,52,160000,3041,-17642674.858083222,,,,,
917.1666666666666,55,170000,3043,-18209572.622784834,,,,,
867.3333333333334,59,180000,3045,-17234701.431561198,,,,,
668.6666666666666,62,190000,3046,-13266375.252587,6755369.0,0.05,3.7007602537997286e-10,2,0.02
801.2,65,200000,3048,-15934889.1515522,,,,,
779.0,68,210000,3049,-15440474.497556444,,,,,
819.1818181818181,72,220000,3051,-16253558.225273455,,,,,
802.8,75,230000,3052,-15915550.698533867,,,,,
1000.0,78,240000,3053,-19917294.761648,7957298.5,0.05,3.141769899794866e-10,3,0.02
1000.0,81,250000,3054,-19937613.690412,,,,,
1000.0,85,260000,3054,-19930694.899240497,,,,,
1000.0,88,270000,3054,-19889736.381153002,,,,,
847.1538461538462,91,280000,3055,-16850222.87925977,,,,,
12.0,94,290000,3055,-104641.2111945,6761646.5,0.05,3.69732439109427e-10,4,0.02
506.0,98,300000,3055,-9970792.213614251,,,,,
717.7142857142857,101,310000,3056,-14194303.158398142,,,,,
780.4444444444445,104,320000,3055,-15449697.482381,,,,,
771.6153846153846,107,330000,3056,-15280574.66821577,,,,,
6.0,111,340000,3056,-100100.0,8828377.0,0.05,2.8317775901953723e-10,5,0.02
503.0,114,350000,3057,-9991608.565873668,,,,,
627.25,117,360000,3057,-12486950.17440525,,,,,
728.9090909090909,121,370000,3057,-14523672.958297275,,,,,
715.8571428571429,124,380000,3058,-14262673.038662145,,,,,
502.25,127,390000,3058,-9995907.309464749,9487342.0,0.05,2.6350899240412673e-10,6,0.02
668.1666666666666,130,400000,3058,-13243701.107533999,,,,,
778.7777777777778,134,410000,3059,-15497442.960578224,,,,,
