time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/fps,time/episodes,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean
10000,0.001,-194923.75448195994,76813008.0,2.372147798538208,185,157,53,3257.0791015625,-20.462257385253906,2474,33.95
20000,0.001,-265880.78350202995,24170970.0,4.845395088195801,185,207,107,9708.97265625,-23.631357192993164,4974,97.2
30000,0.001,-298180.39039377,6433921.0,8.213763236999512,183,230,163,9981.17578125,-17.76715850830078,7474,194.61
40000,0.001,-290804.08762735,7636520.0,13.023765563964844,182,242,219,9719.716796875,-15.660735130310059,9974,293.82
50000,0.001,-248675.20704967,17403214.0,19.0712890625,183,254,272,9602.9423828125,-10.352115631103516,12474,382.4
60000,0.001,-173187.05083665,5435625.0,25.292293548583984,185,272,323,7673.228515625,-5.433185577392578,14974,463.62
70000,0.001,-162454.03617573,2090375.25,30.151424407958984,187,288,373,8354.1240234375,-1.465072512626648,17474,523.39
80000,0.001,-116113.45176667,7821472.0,30.860401153564453,188,302,424,9214.390625,1.598599910736084,19974,611.93
90000,0.001,-78248.13611389002,2635186.0,28.352584838867188,189,335,475,8073.16455078125,2.4893839359283447,22474,559.47
100000,0.001,-79639.93493673002,24802646.0,24.697433471679688,189,358,528,7390.083984375,1.656114101409912,24974,469.48
110000,0.001,-100418.28569302002,10625024.0,24.261625289916992,189,369,579,6779.4755859375,-1.4553495645523071,27474,522.37
120000,0.001,-98533.58266141001,1800359.625,21.829010009765625,188,381,635,6761.203125,-2.0740790367126465,29974,522.28
130000,0.001,-97151.3796009,3997233.0,22.11960792541504,189,393,684,4668.765625,-0.1795102059841156,32474,577.43
140000,0.001,-96014.52245539999,1915514.75,20.239397048950195,190,401,734,4064.91552734375,-0.27585887908935547,34974,595.61
150000,0.001,-96876.66115621,2129989.0,17.3468017578125,190,415,785,4955.8359375,0.7081254720687866,37474,667.9
160000,0.001,-101513.62643018,7870233.0,15.161470413208008,190,425,839,2150.236328125,-1.6947307586669922,39974,751.51
170000,0.001,-101301.78828885,1165845.0,16.241493225097656,190,439,891,1574.6583251953125,-0.2574823796749115,42474,791.08
180000,0.001,-100454.46223514002,4572123.0,14.375089645385742,190,449,942,383.0734558105469,0.9215331077575684,44974,814.83
190000,0.001,-94430.51712008,675288.125,14.29191780090332,190,461,995,1810.9327392578125,1.337555170059204,47474,877.34
200000,0.001,-73291.93063463,1319010.5,16.683441162109375,190,471,1048,-1069.043212890625,1.081442952156067,49974,871.15
210000,0.001,-71709.19713579,1309850.0,13.43294906616211,190,481,1103,619.7781982421875,0.882484495639801,52474,898.21
220000,0.001,-66737.15101516,1204100.125,12.700870513916016,189,491,1159,-307.60015869140625,-1.000657558441162,54974,905.47
230000,0.001,-66752.86082097999,1235055.0,12.691499710083008,189,501,1216,447.4291687011719,0.10833488404750824,57474,904.37
