rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,time/total_timesteps,time/episodes,rollout/ep_rew_mean
31.69,2606.23828125,184,2.427023410797119,-17.741992950439453,54,0.001,22639034.0,2474,10000,177,-132965.23699329002
89.54,7645.42578125,186,4.87925910949707,-19.605777740478516,107,0.001,13242123.0,4974,20000,267,-112406.18190700999
165.06,9466.7255859375,182,8.311429977416992,-15.424910545349121,164,0.001,45472256.0,7474,30000,283,-98655.48990229997
285.32,7814.0224609375,182,13.125358581542969,-12.338384628295898,219,0.001,46742088.0,9974,40000,299,-100880.68258191999
347.05,5959.6982421875,178,18.64067268371582,-6.145110130310059,279,0.001,40041096.0,12474,50000,318,-96910.47033987
305.62,2954.42919921875,176,23.75150489807129,-5.082646369934082,340,0.001,16390563.0,14974,60000,385,283.50428499000276
128.0,-1752.195068359375,174,30.33138656616211,-3.9114582538604736,400,0.001,13624298.0,17474,70000,452,59507.57177532001
80.27,-7550.69775390625,175,35.86573028564453,-2.9069268703460693,455,0.001,78559456.0,19974,80000,570,91290.37010068
107.74,-10206.99609375,175,43.452064514160156,-0.3647383451461792,514,0.001,22138092.0,22474,90000,670,76493.92567834
51.63,-22982.771484375,176,44.16592788696289,-0.07570451498031616,566,0.001,29256120.0,24974,100000,894,120716.89017637
24.16,-36113.99609375,176,45.483524322509766,-0.10560882091522217,621,0.001,12871732.0,27474,110000,1263,130668.0582144
22.69,-36549.98046875,177,46.63298034667969,-0.9191229343414307,677,0.001,17467720.0,29974,120000,1680,133312.62509871
22.04,-57484.95703125,176,47.910396575927734,0.8137125372886658,735,0.001,9967322.0,32474,130000,2100,133338.8276541
22.91,-58915.8359375,177,50.97758483886719,-0.2001974880695343,790,0.001,21907770.0,34974,140000,2549,133418.90057818
18.97,-62839.4375,177,46.10043716430664,0.028438538312911987,845,0.001,9598754.0,37474,150000,3030,133392.69941464
19.26,-66803.140625,177,42.40089416503906,-1.4698940515518188,903,0.001,5975748.0,39974,160000,3541,133283.04610839003
