train/n_updates,train/ent_coef_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate
2474,-10.023666381835938,183,54,-707999.4074723055,10000,246.47222222222223,2.3051209449768066,2461.25390625,36,66124312.0,0.001
4974,-14.515641212463379,183,108,-552261.4069963605,20000,310.57377049180326,4.865867614746094,3291.28955078125,61,4897349.5,0.001
7474,-13.375266075134277,179,167,-386030.11603155005,30000,294.56,9.26923942565918,1873.878173828125,102,111047032.0,0.001
9974,-13.297452926635742,181,220,-216087.33223937996,40000,315.35,16.198444366455078,1216.045654296875,134,11759618.0,0.001
12474,-6.550678253173828,181,275,-164234.44758282,50000,283.6,25.537124633789062,500.1861267089844,166,6640030.0,0.001
14974,-4.357807636260986,180,332,-175496.28889081,60000,335.43,35.47792434692383,476.25067138671875,181,8151590.5,0.001
17474,-0.11013725399971008,182,383,-175655.55134358,70000,387.96,40.937992095947266,-3343.6923828125,205,4919320.0,0.001
19974,1.8233879804611206,184,434,-175452.95176648,80000,430.19,39.82233428955078,-5216.81884765625,224,25705126.0,0.001
22474,-0.00022014975547790527,185,485,-170870.38401419003,90000,478.85,39.42344665527344,-3420.9521484375,240,92923584.0,0.001
24974,-1.2063190937042236,183,544,-159571.69617482,100000,521.22,38.59779357910156,-1976.9921875,259,5119066.0,0.001
27474,-1.6354453563690186,184,595,-136598.22134098,110000,520.83,35.538883209228516,-1223.3671875,280,12935023.0,0.001
29974,-0.9024738073348999,185,645,-126430.99555582998,120000,529.88,29.907960891723633,-1065.0303955078125,298,55164972.0,0.001
32474,-0.8778526782989502,186,696,-116089.61053996999,130000,546.55,30.67917251586914,-2159.03271484375,314,33448714.0,0.001
34974,1.0621988773345947,187,747,-109600.70299988997,140000,567.26,29.63912010192871,-4388.76513671875,329,3526028.5,0.001
37474,0.0679105669260025,187,798,-101261.95132099,150000,580.29,29.480806350708008,-3582.517822265625,341,4446646.0,0.001
39974,-0.66635662317276,188,849,-94646.00474836999,160000,634.37,23.4500675201416,-5726.8017578125,353,4946357.0,0.001
42474,0.3978487551212311,188,901,-92359.52118298001,170000,649.45,22.64661979675293,-5860.3994140625,364,13020561.0,0.001
