train/actor_loss,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate
170564.53125,10000,3764.612548828125,2474,567.0,58,15,-6.359157085418701,170,-9922909.309596533,1.7654234170913696,0.0003
377306.78125,20000,3282.92138671875,4974,238.34246575342465,118,73,-11.622758865356445,168,-4397774.037033917,3.397264242172241,0.0003
500794.78125,30000,2746.173583984375,7474,284.9587628865979,179,97,-22.07944679260254,167,-5333225.754575763,6.788608074188232,0.0003
574101.4375,40000,3984.172119140625,9974,323.51,240,113,-23.772218704223633,166,-5661565.380048241,14.37199878692627,0.0003
604805.9375,50000,5167.228515625,12474,339.4,301,123,-20.900556564331055,166,-5496895.92424824,28.428701400756836,0.0003
642790.875,60000,4727.74609375,14974,439.22,362,134,-10.258642196655273,165,-6685149.63326073,49.38623809814453,0.0003
658641.875,70000,4315.99609375,17474,508.67,423,143,-5.823677062988281,165,-7220025.1430733,82.7950668334961,0.0003
683460.0625,80000,7157.8583984375,19974,614.38,484,156,1.2232944965362549,165,-9080421.7040589,83.43329620361328,0.0003
748300.5625,90000,3990.787353515625,22474,708.85,545,172,0.06741063296794891,165,-10164442.38994376,73.1758041381836,0.0003
759739.125,100000,4148.7919921875,24974,728.62,606,180,-1.803612232208252,164,-9647418.49996566,82.60704040527344,0.0003
751146.5,110000,5758.85498046875,27474,838.69,666,192,-0.653396487236023,165,-9689759.59412077,128.7062225341797,0.0003
740426.25,120000,4573.4658203125,29974,856.35,725,200,-0.6368061304092407,165,-8963960.95249705,121.2195816040039,0.0003
672680.25,130000,6070.37841796875,32474,817.49,783,223,1.7270702123641968,165,-6915314.45607872,125.66223907470703,0.0003
680448.4375,140000,4804.248046875,34974,750.57,842,237,-1.170805811882019,166,-5662250.82451316,114.77731323242188,0.0003
618478.5,150000,6647.09228515625,37474,756.02,901,249,-2.0593831539154053,166,-5280673.97384767,113.91006469726562,0.0003
630513.6875,160000,6153.0009765625,39974,776.37,961,260,-2.765244483947754,166,-4370929.55958232,118.29741668701172,0.0003
568918.3125,170000,5946.240234375,42474,753.41,1022,277,0.922277569770813,166,-3111995.1222148105,143.2476348876953,0.0003
524389.125,180000,5636.712890625,44974,753.41,1082,286,0.7145531177520752,166,-2795966.0464215805,145.85508728027344,0.0003
465602.0,190000,5220.4814453125,47474,753.41,1142,297,-0.2941690683364868,166,-2526900.87639417,139.79891967773438,0.0003
410083.625,200000,5017.05322265625,49974,758.15,1202,306,-0.1376398503780365,166,-2197214.0578581495,138.07379150390625,0.0003
366379.4375,210000,4996.4755859375,52474,812.52,1262,317,0.13036584854125977,166,-2126087.98534275,132.01832580566406,0.0003
323788.03125,220000,4155.35107421875,54974,873.08,1321,326,1.0030698776245117,166,-1963180.5667347198,115.5185546875,0.0003
287012.84375,230000,4302.09033203125,57474,920.8,1380,337,1.7729518413543701,166,-1683486.6757903502,105.50070190429688,0.0003
264344.3125,240000,4376.7431640625,59974,920.8,1439,346,-1.4213266372680664,166,-1155017.56506105,89.70056915283203,0.0003
229968.5625,250000,4229.14599609375,62474,920.8,1498,357,-0.9360545873641968,166,-219620.58605205,84.7628173828125,0.0003
211287.046875,260000,3474.852294921875,64974,970.94,1558,366,-1.0280455350875854,166,-190442.86183416002,82.89169311523438,0.0003
191292.234375,270000,3666.323974609375,67474,1000.0,1617,377,-1.4746675491333008,166,-177153.52303907,77.2082748413086,0.0003
162847.03125,280000,2903.113037109375,69974,1000.0,1676,386,2.3329579830169678,167,-175196.31253229998,76.9129867553711,0.0003
129496.875,290000,2816.703369140625,72474,1000.0,1735,397,2.04994797706604,167,-174426.89480163,55.71491622924805,0.0003
127210.109375,300000,2279.6318359375,74974,1000.0,1794,406,2.514955520629883,167,-215977.90454625,49.25641632080078,0.0003
118176.0625,310000,2276.158935546875,77474,1000.0,1853,417,-1.6280574798583984,167,-346713.10389908997,44.780426025390625,0.0003
103196.75,320000,2121.999755859375,79974,991.72,1913,427,-0.03528982400894165,167,-349769.70121841005,43.38461685180664,0.0003
86164.2109375,330000,2187.278076171875,82474,991.72,1971,437,0.2693253755569458,167,-340613.80516076996,38.580196380615234,0.0003
84945.890625,340000,2060.2763671875,84974,991.72,2031,447,-0.11673659086227417,167,-277937.87632071,33.32718276977539,0.0003
74500.1015625,350000,1940.497802734375,87474,991.72,2091,457,3.017254114151001,167,-272159.42625771,33.35053634643555,0.0003
70006.2265625,360000,1924.43994140625,89974,991.72,2151,467,-1.6161167621612549,167,-267843.15010058,33.634796142578125,0.0003
67723.2734375,370000,1868.811279296875,92474,991.72,2211,477,-2.328951835632324,167,-269150.77633389004,27.814565658569336,0.0003
60850.078125,380000,1603.212158203125,94974,991.72,2271,487,0.9626893401145935,167,-262825.76581356,29.882999420166016,0.0003
56128.12890625,390000,1303.573974609375,97474,991.72,2332,497,1.2180438041687012,167,-255733.17295309,28.589008331298828,0.0003
51379.57421875,400000,1756.230224609375,99974,991.72,2393,507,-0.6278935074806213,167,-144506.5892593,22.814865112304688,0.0003
52150.38671875,410000,1590.6282958984375,102474,991.72,2453,517,0.005012065172195435,167,-68160.30555232,22.8247127532959,0.0003
47207.32421875,420000,1404.1419677734375,104974,1000.0,2514,527,1.7914559841156006,167,-59571.03318245999,19.013946533203125,0.0003
36310.78125,430000,1008.9625854492188,107474,1000.0,2575,537,-1.2895491123199463,166,-68491.0950018,18.566755294799805,0.0003
36310.6015625,440000,1190.3209228515625,109974,1000.0,2636,547,-2.006560802459717,166,-65858.31317138001,24.67239761352539,0.0003
33195.80078125,450000,1223.1861572265625,112474,1000.0,2697,557,1.385277509689331,166,-68458.76776346,16.564739227294922,0.0003
