train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2783,1.0,1,3,335.57142857142856,0.04926922544836998,-646802.8487541428,1498077278.0,-6.556510925292969e-06,10000,1.003577709197998,0.006032668519765139
0.001,2872,1.0,2,6,376.57142857142856,0.026636861264705658,-614461.3033516939,795457411.4,0.0,20000,0.9939014315605164,0.005589503329247236
0.001,2896,1.0,3,10,374.43037974683546,0.03164072334766388,-563555.5961717088,686586074.75,0.0,30000,0.9885484576225281,0.0050774733535945415
0.001,2902,1.0,4,13,382.23,0.03307250887155533,-544711.9719123099,762375693.6,-1.1920928955078125e-07,40000,0.9881110191345215,0.005739969667047262
0.001,2743,1.0,6,18,343.4,0.027183741331100464,-426032.6948334699,641103387.25,0.0,50000,0.9892494082450867,0.005345419514924288
0.001,2773,1.0,7,21,310.45,0.030550435185432434,-368100.26691931,577524528.95,0.0,60000,0.9920052886009216,0.005391956772655249
0.001,2791,1.0,8,25,298.75,0.031933873891830444,-336307.29029298,623468672.05,0.0,70000,1.0031654834747314,0.005821768194437027
0.001,2806,1.0,9,28,292.37,0.02590884268283844,-322081.71989495005,709380148.0,0.0,80000,0.9916324615478516,0.005510034039616585
0.001,2816,1.0,10,31,245.23,0.027776887640357018,-275125.04251456,622579780.15,-1.1920928955078125e-07,90000,0.9883634448051453,0.005380985792726278
0.001,2758,1.0,12,36,260.15,0.029548464342951775,-277803.62126687,570698562.7,0.0,100000,0.9972789287567139,0.005740245338529348
0.001,2771,1.0,13,39,283.3,0.03059547208249569,-291115.79383707,447243261.55,5.960464477539063e-08,110000,0.9859321713447571,0.005236661061644554
0.001,2781,1.0,14,43,301.63,0.03367946669459343,-297955.59255448997,498219833.0,-1.1920928955078125e-07,120000,0.9729052186012268,0.005619903560727835
