rollout/ep_len_mean,train/n_updates,train/std,train/policy_objective,train/kl_divergence_loss,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/is_line_search_success,train/explained_variance,train/learning_rate,train/value_loss
112.95348837209302,1,1.0060709714889526,0.03368326276540756,0.00583634153008461,1585,6,10000,-425128.65271329065,1.0,-4.76837158203125e-07,0.001,3866301330.0
97.28,2,0.9850255846977234,0.02889738790690899,0.008657139725983143,1597,12,20000,-302992.38751697,1.0,0.0,0.001,2998479411.6
93.46,3,1.0033565759658813,0.025235608220100403,0.004261123016476631,1607,18,30000,-280326.85409842996,1.0,0.0,0.001,2527202505.0
89.95,4,0.9941360354423523,0.025316016748547554,0.00506257638335228,1614,24,40000,-234743.02206292,1.0,5.960464477539063e-08,0.001,2538385888.2
97.93,6,0.9863677620887756,0.026978442445397377,0.0047694542445242405,1535,32,50000,-225375.71519652,1.0,0.0,0.001,2016582816.8
91.45,7,0.9869593977928162,0.02007705345749855,0.005762123968452215,1551,38,60000,-207090.11382481002,1.0,0.0,0.001,1848968472.6
95.59,8,0.9984623789787292,0.02160675637423992,0.00672125443816185,1562,44,70000,-218162.25160637998,1.0,0.0,0.001,2004321067.2
99.8,9,0.9975165724754333,0.02374722808599472,0.006319326814264059,1570,50,80000,-185045.21603473,1.0,5.960464477539063e-08,0.001,1800976433.6
110.0,10,0.9790907502174377,0.03064703941345215,0.005406862590461969,1570,57,90000,-199489.02314523,1.0,0.0,0.001,1657961176.8
127.47,12,0.9862360954284668,0.035917337983846664,0.007983413524925709,1530,65,100000,-187873.96084229,1.0,0.0,0.001,1391809332.9
112.87,13,0.9622935652732849,0.01942143589258194,0.007565453182905912,1532,71,110000,-139865.06960299998,1.0,-1.1920928955078125e-07,0.001,1341099962.1
139.84,14,0.9431226849555969,0.028729543089866638,0.007155068684369326,1534,78,120000,-181215.96366362003,1.0,0.0,0.001,1342344155.0
136.31,15,0.9479026198387146,0.037560511380434036,0.007200510706752539,1541,84,130000,-155579.13439294,1.0,5.960464477539063e-08,0.001,1338210229.5
