train/n_updates,train/kl_divergence_loss,train/policy_objective,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/is_line_search_success,train/learning_rate,train/std,rollout/ep_rew_mean,train/value_loss
1,0.006471371278166771,0.05036449804902077,1.0132789611816406e-06,229.5,2,10000,4447,1.0,0.001,1.0021570920944214,-551094.37799795,1965253939.4
2,0.005883654113858938,0.033431973308324814,5.960464477539063e-08,167.16,4,20000,4432,1.0,0.001,0.9911133646965027,-357774.4726772901,1413262868.6
3,0.005806921515613794,0.03575441986322403,0.0,131.84,6,30000,4375,1.0,0.001,0.9963474273681641,-248071.65917681,1258356416.4
4,0.004512981977313757,0.026425201445817947,0.0,153.19,9,40000,4361,1.0,0.001,0.994684636592865,-267690.24833857,1244886690.0
6,0.004844648763537407,0.03160432353615761,0.0,169.53,12,50000,4108,1.0,0.001,0.9900758862495422,-266355.28564766,1003831587.9
7,0.005695583764463663,0.030858850106596947,0.0,166.89,14,60000,4132,1.0,0.001,0.9802753925323486,-249911.66513336997,1042945597.9
8,0.005286287050694227,0.029574355110526085,1.1920928955078125e-07,166.89,16,70000,4173,1.0,0.001,0.9772669672966003,-238083.16155094,870525823.65
9,0.005593100097030401,0.03262104466557503,5.960464477539063e-08,183.03,19,80000,4199,1.0,0.001,0.9697473645210266,-232817.56507508,842597104.45
10,0.004784695338457823,0.031134456396102905,0.0,186.66,21,90000,4220,1.0,0.001,0.9641422629356384,-223575.48818982995,787391756.1
12,0.0056576207280159,0.031111784279346466,0.0,179.22,24,100000,4119,1.0,0.001,0.9372989535331726,-202461.08876434996,724186907.95
13,0.005427367519587278,0.032770220190286636,0.0,192.18,26,110000,4146,1.0,0.001,0.9356312155723572,-208910.75483409,624646578.85
14,0.006146150175482035,0.037171680480241776,0.0,219.69,29,120000,4132,1.0,0.001,0.9353539347648621,-215947.70801724002,629414328.9
15,0.00615281006321311,0.03744201362133026,0.0,248.57,31,130000,4155,1.0,0.001,0.9243414998054504,-218677.67992485996,470141459.5
17,0.007302971091121435,0.03419962152838707,-1.1920928955078125e-07,276.5,34,140000,4089,1.0,0.001,0.9338766932487488,-208574.29388203003,339192045.7875
18,0.005315897520631552,0.034517448395490646,0.0,338.61,36,150000,4113,1.0,0.001,0.9282569289207458,-214282.80778698006,238353089.05
19,0.007474493235349655,0.029729925096035004,0.0,394.73,38,160000,4136,1.0,0.001,0.9192612767219543,-211664.38417191,157582805.3375
20,0.005792176816612482,0.03670722246170044,0.0,460.53,40,170000,4155,1.0,0.001,0.9170355796813965,-201725.18187523,90881712.684375
21,0.0062405746430158615,0.026910044252872467,-1.1920928955078125e-07,524.91,43,180000,4173,1.0,0.001,0.8988777995109558,-182873.76396584004,17576680.873828124
23,0.0056544155813753605,0.030633458867669106,0.0,570.03,46,190000,4122,1.0,0.001,0.875098705291748,-168125.24690827,44956075.0984375
24,0.006501857191324234,0.04018566012382507,5.960464477539063e-08,658.94,48,200000,4141,1.0,0.001,0.8621394038200378,-157047.63947706998,14342353.6234375
25,0.00661057373508811,0.02780058979988098,0.0,721.48,50,210000,4158,1.0,0.001,0.8588789105415344,-149450.09349358,4355982.285253907
26,0.008709301240742207,0.04072634130716324,0.0,783.87,52,220000,4172,1.0,0.001,0.8520177006721497,-122417.64638227999,2026034.461767578
28,0.005965936928987503,0.025682926177978516,0.0,831.82,55,230000,4133,1.0,0.001,0.8400320410728455,-108124.12299683999,10295578.861328125
29,0.0056824940256774426,0.03340095281600952,0.0,893.77,57,240000,4148,1.0,0.001,0.827272355556488,-88676.2638796,5572083.36015625
30,0.008132356218993664,0.007543215528130531,-1.1920928955078125e-07,930.2,60,250000,4161,1.0,0.001,0.8250227570533752,-76891.28521206,2983858.7352783205
31,0.0064257290214300156,0.042835086584091187,0.0,958.9,62,260000,4167,1.0,0.001,0.8177061080932617,-66239.53007887,24401986.5359375
32,0.005973910912871361,0.034896090626716614,0.0,958.9,64,270000,4180,1.0,0.001,0.8094711899757385,-64708.09733275999,5196130.775292968
34,0.0059646801091730595,0.02911355346441269,0.0,981.55,67,280000,4139,1.0,0.001,0.7912883162498474,-53666.043894610004,3157395.3583007813
35,0.005039577838033438,0.018818005919456482,-1.1920928955078125e-07,990.73,69,290000,4148,1.0,0.001,0.7861199975013733,-50841.50659976,11569933.656835938
36,0.00698426878079772,0.014546137303113937,0.0,990.73,72,300000,4155,1.0,0.001,0.7839808464050293,-45964.6320928,7099373.139257813
37,0.007371474057435989,0.027039840817451477,0.0,990.73,74,310000,4161,1.0,0.001,0.7808613777160645,-46150.63396882,6497384.566308593
39,0.007667012047022581,0.030555928125977516,5.960464477539063e-08,1000.0,77,320000,4126,1.0,0.001,0.7793605327606201,-48186.910771070005,7328482.34375
40,0.0073750875890254974,0.02225578762590885,-1.1920928955078125e-07,1000.0,79,330000,4134,1.0,0.001,0.7831220030784607,-46453.314681060016,2038777.410522461
41,0.00998440757393837,0.035903193056583405,0.0,997.17,82,340000,4139,1.0,0.001,0.7848038077354431,-46736.65599865001,28097452.096972656
42,0.0059207105077803135,0.030491027981042862,0.0,997.17,84,350000,4145,1.0,0.001,0.7845077514648438,-45427.19232616,1418585.8122558594
43,0.006658369675278664,0.03104618936777115,0.0,997.17,86,360000,4150,1.0,0.001,0.7840623259544373,-35718.08627194,1254849.2010986328
45,0.00757769076153636,0.029733559116721153,0.0,997.17,89,370000,4121,1.0,0.001,0.7758922576904297,-35199.90387632,5841083.0498779295
46,0.008488043211400509,0.023850711062550545,-2.384185791015625e-07,997.17,92,380000,4127,1.0,0.001,0.7757870554924011,-36646.77458564,5659398.80234375
47,0.005649905186146498,0.022109199315309525,5.960464477539063e-08,997.17,94,390000,4119,1.0,0.001,0.7731020450592041,-55187.21456713001,130373787.5375
48,0.005686197429895401,0.038972508162260056,0.0,997.17,96,400000,4127,1.0,0.001,0.7664411067962646,-58030.745494380004,28028587.08515625
50,0.007148852106183767,0.01222582720220089,0.0,997.17,99,410000,4105,1.0,0.001,0.7560600638389587,-64498.64054587,39455903.321875
51,0.0058502331376075745,0.009380154311656952,0.0,997.17,102,420000,4112,1.0,0.001,0.7496590614318848,-73955.76843797001,32858394.478125
52,0.007073217537254095,0.03378303721547127,-1.1920928955078125e-07,997.17,104,430000,4116,1.0,0.001,0.7473659515380859,-82225.55488292,32092687.17734375
53,0.007398679386824369,0.0355510488152504,0.0,1000.0,106,440000,4124,1.0,0.001,0.7503349781036377,-85584.49699562001,18065896.958984375
54,0.00661472836509347,0.03941825404763222,0.0,1000.0,108,450000,4132,1.0,0.001,0.7462286949157715,-90990.83281932997,15532481.1890625
56,0.005420053843408823,0.03385061398148537,0.0,1000.0,111,460000,4114,1.0,0.001,0.73863285779953,-148695.90962728995,502512709.175
57,0.007864338345825672,0.0436197966337204,0.0,1000.0,114,470000,4121,1.0,0.001,0.7375836372375488,-168822.12924906,114031499.09375
58,0.008061695843935013,0.03926056623458862,0.0,1000.0,116,480000,4129,1.0,0.001,0.7400524616241455,-168498.23218567,7616710.108691406
59,0.007730709854513407,0.031004492193460464,0.0,1000.0,118,490000,4137,1.0,0.001,0.7380257248878479,-154625.17406242,4668332.131054687
61,0.008259480819106102,0.01692277193069458,0.0,1000.0,121,500000,4118,1.0,0.001,0.7340589165687561,-154846.14603206998,6173369.2041015625
62,0.0061480640433728695,0.020244058221578598,0.0,1000.0,123,510000,4124,1.0,0.001,0.7343855500221252,-153351.53152065998,57829668.26015625
63,0.009778427891433239,0.02636645920574665,0.0,1000.0,125,520000,4128,1.0,0.001,0.7375045418739319,-161065.87264408002,16273719.775195312
64,0.005746877286583185,0.0411713570356369,0.0,1000.0,128,530000,4131,1.0,0.001,0.738020122051239,-169934.90922511,183264507.1
65,0.009648391976952553,0.03553158417344093,0.0,1000.0,130,540000,4135,1.0,0.001,0.7356192469596863,-173955.1284266,7861997.233984375
67,0.008124720305204391,0.021581970155239105,0.0,1000.0,133,550000,4118,1.0,0.001,0.7312965989112854,-174734.60500640998,6512897.097265625
68,0.0072136372327804565,0.043177396059036255,0.0,1000.0,135,560000,4124,1.0,0.001,0.7288859486579895,-130707.59517069,47216253.5984375
69,0.009038123302161694,0.03330579400062561,0.0,1000.0,138,570000,4128,1.0,0.001,0.7288084626197815,-112814.24678851,7771725.734375
70,0.009136956185102463,0.042768675833940506,-1.1920928955078125e-07,1000.0,140,580000,4130,1.0,0.001,0.7280352115631104,-128605.67308140999,10916126.4296875
72,0.009040484204888344,0.04702989012002945,0.0,992.07,143,590000,4112,1.0,0.001,0.7272417545318604,-179812.76338360002,82092035.703125
73,0.006687051150947809,0.040198538452386856,0.0,992.07,145,600000,4115,1.0,0.001,0.7268629670143127,-186836.60650383003,36572466.5046875
74,0.005420135799795389,0.028558731079101562,0.0,992.07,148,610000,4117,1.0,0.001,0.7272432446479797,-180221.33772342998,3065512.965185547
75,0.006535496562719345,0.02859608083963394,0.0,992.07,150,620000,4120,1.0,0.001,0.7250576019287109,-158122.57780973,19880406.21171875
76,0.006079481448978186,0.030045850202441216,1.1920928955078125e-07,992.07,152,630000,4123,1.0,0.001,0.723770797252655,-149852.77762946003,10597846.892871093
78,0.009550567716360092,0.03595813363790512,0.0,992.07,155,640000,4108,1.0,0.001,0.7184305191040039,-138010.65219471,3579517.78671875
79,0.0061870962381362915,0.027381427586078644,-1.1920928955078125e-07,992.07,157,650000,4114,1.0,0.001,0.7219344973564148,-134047.94355621,3232727.1654296876
80,0.007685959339141846,0.03397760167717934,0.0,934.62,160,660000,4113,1.0,0.001,0.7198320031166077,-127270.00035682,67381273.08125
81,0.008024216629564762,0.02398570254445076,0.0,934.62,162,670000,4118,1.0,0.001,0.7203498482704163,-149962.39669878,18017396.78251953
83,0.005122837144881487,0.028079023584723473,-1.1920928955078125e-07,933.8,165,680000,4105,1.0,0.001,0.7166848182678223,-98318.87157065999,50823730.6625
84,0.005171547643840313,0.0341809056699276,0.0,941.73,167,690000,4111,1.0,0.001,0.7205678820610046,-95190.06044997998,32373815.4984375
85,0.007186336908489466,0.030411820858716965,0.0,941.73,170,700000,4116,1.0,0.001,0.7167834639549255,-94196.31463687001,6447169.98046875
86,0.008335240185260773,0.037270091474056244,0.0,941.73,172,710000,4120,1.0,0.001,0.7152161002159119,-97658.27411871002,21170268.226171874
87,0.008292730897665024,0.033935319632291794,0.0,941.73,174,720000,4123,1.0,0.001,0.7147275805473328,-95974.97650813,5572552.294335937
89,0.009899471886456013,0.022846702486276627,0.0,922.28,177,730000,4111,1.0,0.001,0.7156642079353333,-98225.33456188999,20707695.920996092
