rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,rollout/ep_len_mean,time/time_elapsed,train/std,time/total_timesteps,train/policy_loss,train/learning_rate
-205871.23598476005,1538,0.0,499,-13.041694641113281,793566208.0,56.48,6,1.0305776596069336,10000,-222626.0,0.0007
-145852.85814207,1537,0.0,999,-13.124784469604492,555648768.0,41.93,13,1.040332317352295,20000,-104913.0625,0.0007
-151335.97106145,1551,0.0,1499,-13.133790969848633,48847760.0,42.39,19,1.041549563407898,30000,-55775.34375,0.0007
-127433.42741375002,1565,0.0,1999,-13.240106582641602,42995780.0,34.59,25,1.0539376735687256,40000,-54379.3359375,0.0007
-111083.11047592,1579,0.0,2499,-13.320371627807617,1219931.625,25.87,31,1.0638055801391602,50000,8491.9384765625,0.0007
-122839.52273644999,1592,0.0,2999,-13.336700439453125,15251008.0,43.47,37,1.0657100677490234,60000,-26928.083984375,0.0007
-108768.39691737997,1612,0.0,3499,-13.396272659301758,56722744.0,31.72,43,1.0728583335876465,70000,-53610.67578125,0.0007
-132220.39685191,1628,1.1920928955078125e-07,3999,-13.493101119995117,4339524096.0,30.48,49,1.084851861000061,80000,-650085.9375,0.0007
-123726.22498394003,1637,0.0,4499,-13.490226745605469,222240848.0,31.25,54,1.0847657918930054,90000,-135301.59375,0.0007
-115935.28643509,1643,0.0,4999,-13.585382461547852,173191408.0,26.7,60,1.0957304239273071,100000,-113408.328125,0.0007
-114507.25198926002,1647,0.0,5499,-13.598844528198242,29614348.0,30.57,66,1.096882700920105,110000,-13677.1904296875,0.0007
-110535.37903714001,1651,0.0,5999,-13.70311164855957,1486483840.0,39.8,72,1.1105238199234009,120000,-205905.109375,0.0007
-110869.70570664998,1651,0.0,6499,-13.710363388061523,1263200.375,30.15,78,1.1115729808807373,130000,7208.22509765625,0.0007
-110071.65178695,1653,0.0,6999,-13.778909683227539,32916364.0,36.28,84,1.120487928390503,140000,-14383.166015625,0.0007
-116500.03726613,1655,0.0,7499,-13.804647445678711,1049140.0,45.75,90,1.123337984085083,150000,8070.29931640625,0.0007
-109351.40795722,1657,0.0,7999,-13.856437683105469,41041528.0,41.6,96,1.1300209760665894,160000,10012.197265625,0.0007
-103319.79356690003,1659,0.0,8499,-13.962244033813477,1466567424.0,26.73,102,1.143555998802185,170000,-204073.609375,0.0007
-113448.89509080998,1661,0.0,8999,-13.983831405639648,17366860.0,44.28,108,1.1464773416519165,180000,12695.1611328125,0.0007
-115333.07765958,1663,0.0,9499,-14.051485061645508,36558992.0,52.28,114,1.155357837677002,190000,12308.4814453125,0.0007
-106075.75084393998,1665,-2.384185791015625e-07,9999,-14.156072616577148,46421.67578125,71.64,120,1.1677674055099487,200000,-638.259765625,0.0007
-103798.8723324,1668,0.0,10499,-14.109739303588867,72043296.0,71.42,125,1.1616628170013428,210000,-56469.78125,0.0007
-90040.96310220001,1670,-2.384185791015625e-07,10999,-14.104841232299805,10326047.0,122.99,131,1.1608203649520874,220000,-15151.658203125,0.0007
-102803.08072470999,1672,-1.1920928955078125e-07,11499,-14.00334358215332,447384.65625,133.3,137,1.1475050449371338,230000,2937.1904296875,0.0007
-112919.09676811997,1674,-1.1920928955078125e-07,11999,-14.074621200561523,189199360.0,43.42,143,1.157163143157959,240000,-96352.7578125,0.0007
-109582.42602255999,1676,0.0,12499,-14.00019645690918,1007407104.0,49.38,149,1.1478692293167114,250000,-142199.5625,0.0007
-94584.20583101001,1677,0.0,12999,-13.947294235229492,16196184.0,37.24,154,1.1410006284713745,260000,40674.46484375,0.0007
-122804.73300835003,1679,-1.1920928955078125e-07,13499,-13.967870712280273,705412.625,84.89,160,1.143832802772522,270000,5074.4560546875,0.0007
-97383.59829344999,1680,1.1920928955078125e-07,13999,-13.937074661254883,3858812160.0,39.23,166,1.1395424604415894,280000,-581334.875,0.0007
-121843.63211993,1681,-1.1920928955078125e-07,14499,-13.84929084777832,2102158.5,53.01,172,1.1286358833312988,290000,8620.470703125,0.0007
-103879.28243872,1682,0.0,14999,-13.932828903198242,15545.330078125,57.42,178,1.1389517784118652,300000,-1509.556396484375,0.0007
-96076.82171917001,1684,0.0,15499,-13.977483749389648,2176329.25,30.1,184,1.1450467109680176,310000,13678.6640625,0.0007
-103160.56662858,1683,0.0,15999,-13.950407028198242,19367036.0,25.99,190,1.1412442922592163,320000,-27561.396484375,0.0007
-106936.70759908,1684,-2.384185791015625e-07,16499,-13.960027694702148,17104.16796875,63.22,195,1.1430810689926147,330000,-1462.151123046875,0.0007
