rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/return_std,train/learning_rate,train/delta_std,train/iterations,train/step_size
-12052050.1989428,407.6,3481,10000,2,,,,,
-13412981.322680224,450.1111111111111,3476,20000,5,,,,,
-16206849.64656054,543.1538461538462,3472,30000,8,,,,,
-18042414.2231872,604.0666666666667,3468,40000,11,,,,,
-7594488.507665874,255.25,3446,50000,14,14921481.0,0.02,0.05,0,1.6754368725724333e-10
-12062046.6024784,404.2,3452,60000,17,,,,,
-16213414.496609922,541.6923076923077,3455,70000,20,,,,,
,,3456,80000,23,15332350.0,0.02,0.05,1,1.630539453456592e-10
-22528568.24549525,751.75,3458,90000,26,,,,,
-18827962.55135025,628.125,3459,100000,28,,,,,
-20079082.80471975,669.25,3461,110000,31,,,,,
,,3449,120000,34,14966315.0,0.02,0.05,2,1.6704178318338592e-10
-18095972.131881796,603.6,3450,130000,37,,,,,
-18810941.433424,627.875,3452,140000,40,,,,,
-17170573.068270642,574.2142857142857,3455,150000,43,,,,,
,,3455,160000,46,14931912.0,0.02,0.05,3,1.6742664199487223e-10
-29890385.021739665,1000.0,3456,170000,49,,,,,
-29935072.1314872,1000.0,3458,180000,52,,,,,
-21805714.15794682,728.8181818181819,3458,190000,54,,,,,
-23076558.63459746,770.5384615384615,3459,200000,57,,,,,
-12078542.4062592,404.0,3459,210000,60,14277698.0,0.02,0.05,4,1.7509824146166864e-10
-17198194.855580572,574.2857142857143,3459,220000,63,,,,,
-10077676.392486334,337.6666666666667,3459,230000,66,14957347.0,0.02,0.05,5,1.6714193917799491e-10
-11357215.19032325,383.125,3463,240000,69,,,,,
-12963902.127226997,435.0,3463,250000,72,,,,,
-119698.794474,4.0,3463,260000,75,15415308.0,0.02,0.05,6,1.621764528225711e-10
-7580426.00394475,255.08333333333334,3464,270000,77,,,,,
-10781421.142940642,361.5,3464,280000,80,,,,,
-29789569.443095,1000.0,3464,290000,83,15304440.0,0.02,0.05,7,1.6335129082722943e-10
-11322485.308328375,378.75,3465,300000,86,,,,,
,,3465,310000,89,14948613.0,0.02,0.05,8,1.672395832930107e-10
-15120887.215467252,502.5,3465,320000,92,,,,,
-12101648.3379989,403.3,3465,330000,95,,,,,
-14101253.199665066,469.6666666666667,3465,340000,98,,,,,
-4410845.314473143,149.14285714285714,3465,350000,101,15462350.0,0.02,0.05,9,1.6168305583263987e-10
-10124165.153643582,338.0,3464,360000,103,,,,,
-12116495.5031436,404.1333333333333,3464,370000,106,,,,,
-20130052.906515334,668.0,3464,380000,109,15337975.0,0.02,0.05,10,1.6299413208020752e-10
-20085945.772728,668.1666666666666,3464,390000,112,,,,,
-23417997.629816554,778.7777777777778,3464,400000,115,,,,,
-22594134.374827087,751.5,3464,410000,118,,,,,
-108924.9749515,5.0,3464,420000,121,13387645.0,0.02,0.05,11,1.8673933233070983e-10
-15066815.90654125,502.5,3464,430000,124,,,,,
-18850816.4377095,627.0,3465,440000,126,,,,,
-17589976.728562333,585.5,3464,450000,129,,,,,
-15102163.483251,502.0,3465,460000,132,15324571.0,0.02,0.05,12,1.631366985943572e-10
-18110052.2626356,602.2,3464,470000,135,,,,,
-22593107.502043374,751.375,3464,480000,138,,,,,
-24074690.3647151,801.1,3465,490000,141,,,,,
-23634557.170207355,786.9285714285714,3465,500000,144,,,,,
-15127409.05063,502.0,3465,510000,147,13385577.0,0.02,0.05,13,1.8676818425156227e-10
-17229941.40646843,574.0,3465,520000,150,,,,,
-18087522.150240403,602.2,3466,530000,152,,,,,
-18094760.80710367,602.7333333333333,3465,540000,155,,,,,
-7650918.861129249,256.25,3465,550000,158,14962843.0,0.02,0.05,14,1.6708054384473314e-10
-15117159.6425615,503.75,3466,560000,161,,,,,
-12980366.180152144,432.2142857142857,3466,570000,164,,,,,
-15072876.218305249,502.5,3466,580000,167,15358335.0,0.02,0.05,15,1.6277805492403985e-10
-20099733.477680665,668.3333333333334,3466,590000,170,,,,,
-19156298.83472791,638.1818181818181,3465,600000,173,,,,,
-19318405.094342355,644.5714285714286,3466,610000,175,,,,,
-15112822.969566248,502.25,3466,620000,178,14937644.0,0.02,0.05,16,1.6736240171510985e-10
-20104424.103593167,668.1666666666666,3466,630000,181,,,,,
-16254119.519631693,540.7692307692307,3466,640000,184,,,,,
-18097975.257320598,602.0,3466,650000,187,,,,,
-8665193.733927429,290.14285714285717,3466,660000,190,14991751.0,0.02,0.05,17,1.6675837100077473e-10
-8120372.852984068,272.3333333333333,3466,670000,193,,,,,
-4722299.999753462,158.84615384615384,3466,680000,196,14330672.0,0.02,0.05,18,1.7445099531609998e-10
-30022815.735424,1000.0,3466,690000,199,12080750.0,0.02,0.05,19,2.0694078395333548e-10
-18071724.0915568,602.0,3467,700000,201,,,,,
-16432382.008700455,547.7272727272727,3467,710000,204,,,,,
-18524816.14802569,617.3076923076923,3467,720000,207,,,,,
-5548710.036780999,185.27272727272728,3467,730000,210,15328878.0,0.02,0.05,20,1.630908741390158e-10
-99790.998874,3.0,3467,740000,213,13382067.0,0.02,0.05,21,1.8681717284252386e-10
-9087835.0143326,303.5,3467,750000,216,,,,,
-103406.15448585716,4.142857142857143,3465,760000,219,14308000.0,0.02,0.05,22,1.7472742697144383e-10
,,3465,770000,222,12072478.0,0.02,0.05,23,2.0708257331136792e-10
-20050889.088161,668.0,3465,780000,225,,,,,
-104098.65620150001,5.0,3465,790000,227,14332737.0,0.02,0.05,24,1.7442586264238003e-10
-6102808.4357934,203.2,3465,800000,230,,,,,
-125677.71426299999,5.5,3465,810000,233,14352981.0,0.02,0.05,25,1.741798510979109e-10
-157960.280117,7.0,3465,820000,236,10231772.0,0.02,0.05,26,2.4433696732550914e-10
-12958935.472278714,431.2857142857143,3464,830000,239,,,,,
-110969.47550107691,4.923076923076923,3464,840000,242,14343022.0,0.02,0.05,27,1.743007821408682e-10
,,3464,850000,245,10243133.0,0.02,0.05,28,2.4406596188519813e-10
-10094284.890734114,336.55555555555554,3464,860000,248,,,,,
-11627473.563692847,387.46153846153845,3464,870000,251,,,,,
-12054474.305203,402.4,3463,880000,254,14972421.0,0.02,0.05,29,1.6697367100082516e-10
-6100724.098051401,203.6,3463,890000,256,12047390.0,0.02,0.05,30,2.0751382556749576e-10
-12085123.945854302,402.6,3463,900000,259,,,,,
-113851.46544557143,4.714285714285714,3463,910000,262,14969676.0,0.02,0.05,31,1.670042715229414e-10
-6083195.801387331,203.66666666666666,3463,920000,265,,,,,
-5090427.596459,170.5,3463,930000,268,13369271.0,0.02,0.05,32,1.8699597426063974e-10
,,3463,940000,271,13399161.0,0.02,0.05,33,1.8657883571471245e-10
-10086690.142598666,336.1666666666667,3464,950000,274,,,,,
-11644009.824992847,387.7692307692308,3464,960000,277,,,,,
-116173.2174966,5.0,3464,970000,279,7508236.5,0.02,0.05,35,3.329676812047211e-10
-9106536.4861803,303.3,3464,980000,282,,,,,
-105698.59350150001,4.0,3451,990000,286,14347175.0,0.02,0.05,36,1.742503363821868e-10
-6097932.867893732,203.2,3451,1000000,289,,,,,
