time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,time/episodes
51,253662896.0,20.16,-19.11945343017578,10000,-133762.22882319,192,2.2334792613983154,2474,4507.04150390625,0.001,842
104,183266688.0,20.39,-31.778718948364258,20000,103806.39420426,191,4.679049491882324,4974,13459.630859375,0.001,1359
156,122168304.0,12.47,-35.9520263671875,30000,122890.76031535999,191,9.20386791229248,7474,-2828.653564453125,0.001,2039
209,110030224.0,11.78,-36.633792877197266,40000,128470.03209215001,190,17.663650512695312,9974,-22739.439453125,0.001,2845
261,154449888.0,11.03,-32.58453369140625,50000,131696.03402043,190,31.913158416748047,12474,-42873.46875,0.001,3712
314,103993232.0,10.63,-20.21350860595703,60000,133636.1,190,52.63692092895508,14974,-62347.13671875,0.001,4635
366,63835372.0,9.98,-7.837527275085449,70000,133544.65748621,191,72.9276123046875,17474,-82610.46875,0.001,5557
418,69066216.0,12.85,0.40392494201660156,80000,132609.81155878003,191,82.83464050292969,19974,-90321.53125,0.001,6437
470,54419044.0,12.6,2.938610553741455,90000,133495.5964866,191,75.7331314086914,22474,-93286.3046875,0.001,7270
523,38694336.0,11.69,2.9211626052856445,100000,133534.01926987,191,59.6698112487793,24974,-92504.21875,0.001,8135
575,81203600.0,12.0,1.8513951301574707,110000,133524.32654431,191,51.567718505859375,27474,-101270.671875,0.001,8941
627,21355052.0,9.98,-1.1709507703781128,120000,133615.96492784002,191,42.34218215942383,29974,-97800.4453125,0.001,9895
680,49027560.0,9.18,1.692375659942627,130000,133670.25063338,191,41.49163055419922,32474,-102858.328125,0.001,10851
733,11100794.0,8.88,0.44711583852767944,140000,133498.18695315,190,36.61583709716797,34974,-103113.9609375,0.001,11938
786,18544292.0,8.48,-0.6474093198776245,150000,133401.5,190,32.95732116699219,37474,-105351.0,0.001,13052
839,12143970.0,7.86,-2.478895664215088,160000,133448.0,190,33.46628189086914,39974,-104395.21875,0.001,14238
891,14023900.0,8.15,0.3429226875305176,170000,133738.28360877,190,32.0417594909668,42474,-106556.671875,0.001,15472
943,31239138.0,7.06,0.9929326772689819,180000,133766.45495624,190,33.91571807861328,44974,-109014.6640625,0.001,16787
995,8545377.0,7.11,-2.905632495880127,190000,133763.29258663,190,31.120647430419922,47474,-105091.6171875,0.001,18086
1047,21426512.0,7.86,-1.6495068073272705,200000,133544.24368207,190,26.0616455078125,49974,-108732.09375,0.001,19329
1100,20579706.0,7.04,-1.7067927122116089,210000,133744.7,190,26.863536834716797,52474,-107037.0546875,0.001,20668
1153,8247101.0,7.69,-0.6682572960853577,220000,133738.46834908,190,26.43285369873047,54974,-107556.5,0.001,21843
1206,37855592.0,7.68,0.3238403797149658,230000,133746.2,190,28.131052017211914,57474,-106893.4375,0.001,23116
1258,19441244.0,7.55,0.49730151891708374,240000,133752.44005464,190,25.162582397460938,59974,-109124.4296875,0.001,24464
1311,26555956.0,7.1,-1.361372709274292,250000,133766.11892629,190,24.010387420654297,62474,-108043.28125,0.001,25840
1363,6688163.0,7.19,0.29595616459846497,260000,133031.92153465,190,23.013978958129883,64974,-108625.140625,0.001,27221
1415,17237562.0,7.19,0.43908166885375977,270000,133757.09628064,190,24.176986694335938,67474,-106430.421875,0.001,28560
1467,5387289.5,7.43,0.4727543592453003,280000,133756.392112,190,23.49110221862793,69974,-107689.859375,0.001,29912
1520,3100660.5,7.04,-2.9550461769104004,290000,133776.2,190,21.68912696838379,72474,-112121.9609375,0.001,31324
1572,139409248.0,7.51,0.14269641041755676,300000,133762.79765006,190,20.408470153808594,74974,-109716.78125,0.001,32695
1624,21389252.0,7.0,-0.1988862156867981,310000,133782.8,190,21.96000099182129,77474,-108542.515625,0.001,34101
1676,2479090.5,7.05,-1.1158967018127441,320000,133775.0,190,20.94886589050293,79974,-111969.0,0.001,35494
1729,6709446.0,7.11,-0.1773167997598648,330000,133768.7,190,20.29372787475586,82474,-109575.9765625,0.001,36883
1782,3560635.75,7.02,0.8875718116760254,340000,133773.2,190,21.247947692871094,84974,-109940.4921875,0.001,38272
1835,7560406.0,7.33,1.0227606296539307,350000,133755.71030454,190,19.445423126220703,87474,-109894.734375,0.001,39672
1888,5270331.0,7.0,1.1901521682739258,360000,133782.8,190,21.330820083618164,89974,-109053.109375,0.001,41078
1940,9629064.0,7.06,-0.6065518856048584,370000,133771.96077186,190,21.614286422729492,92474,-110922.9453125,0.001,42483
1992,19128168.0,7.04,-0.6005212068557739,380000,133760.0,190,19.969186782836914,94974,-109092.96875,0.001,43863
2043,6114776.0,7.55,-1.4194979667663574,390000,133755.36861653,190,17.762609481811523,97474,-110235.859375,0.001,45244
2095,28010056.0,7.07,-0.9746977090835571,400000,133755.5,190,17.479944229125977,99974,-108838.265625,0.001,46615
2152,9511955.0,7.01,-1.5091935396194458,410000,133760.0,190,16.295007705688477,102474,-111537.2109375,0.001,47835
2209,7057188.0,7.18,1.778218388557434,420000,133656.66281029998,190,18.814964294433594,104974,-111758.078125,0.001,49228
2267,1490317.0,7.25,0.3545326888561249,430000,133477.83165263,189,16.454059600830078,107474,-109958.859375,0.001,50645
2324,1504822.5,7.0,-2.347255229949951,440000,133775.6,189,16.457311630249023,109974,-113878.203125,0.001,52055
2381,16440687.0,7.12,-1.4956071376800537,450000,133766.6,188,18.078697204589844,112474,-109977.734375,0.001,53442
2439,2027175.25,7.22,0.41112220287323,460000,133772.24229797,188,16.147727966308594,114974,-112034.0859375,0.001,54839
2497,12891474.0,7.01,0.17359206080436707,470000,133766.3,188,17.154207229614258,117474,-111953.453125,0.001,56162
2555,13623546.0,7.09,1.9209089279174805,480000,133778.3,187,15.61046028137207,119974,-113361.0390625,0.001,57555
2612,3849273.25,7.0,-0.9232290983200073,490000,133757.6,187,17.30708885192871,122474,-112270.96875,0.001,58940
2670,12498885.0,7.1,-0.5679996013641357,500000,133766.18843206,187,13.126694679260254,124974,-110724.28125,0.001,60330
2727,1072124.875,7.1,1.5599807500839233,510000,133759.1,186,16.55226707458496,127474,-112319.09375,0.001,61724
2786,2431599.5,7.06,3.409444570541382,520000,133760.95189128,186,18.088247299194336,129974,-112573.953125,0.001,63076
2843,4402669.5,7.01,0.164229154586792,530000,133785.2,186,16.478736877441406,132474,-111328.171875,0.001,64453
2901,2286666.0,7.0,1.0215306282043457,540000,133772.9,186,15.347078323364258,134974,-111782.0234375,0.001,65852
2957,2109539.0,7.05,0.023896396160125732,550000,133772.3,185,15.256092071533203,137474,-111440.90625,0.001,67266
3014,2963365.25,7.5,0.6429044604301453,560000,133755.92903815,185,15.984166145324707,139974,-112127.25,0.001,68678
3071,1810897.75,7.01,1.0415680408477783,570000,133778.0,185,15.422415733337402,142474,-111775.859375,0.001,70066
3127,1825198.25,7.0,-1.2275973558425903,580000,133764.8,185,14.981746673583984,144974,-111145.421875,0.001,71483
3184,1594103.75,7.0,0.8246668577194214,590000,133782.8,185,11.9679594039917,147474,-111380.796875,0.001,72900
3242,7768717.0,7.04,1.1143276691436768,600000,133746.35290684,185,13.763317108154297,149974,-111018.40625,0.001,74311
3299,1555073.0,7.11,0.5702395439147949,610000,133765.89932133,184,13.0784330368042,152474,-112785.015625,0.001,75722
3356,2482156.0,7.02,0.8433225154876709,620000,133776.8,184,12.57774829864502,154974,-110994.265625,0.001,77108
3412,1422327.5,7.82,0.6682719588279724,630000,133535.52251234002,184,13.702186584472656,157474,-110392.3671875,0.001,78485
3469,16843236.0,7.01,2.06807017326355,640000,133781.6,184,13.662270545959473,159974,-109294.0859375,0.001,79888
3527,13755528.0,7.48,-0.16767564415931702,650000,133763.7895734,184,11.980649948120117,162474,-110329.109375,0.001,81279
3583,746595.0,7.0,-1.2514559030532837,660000,133769.3,184,10.368560791015625,164974,-109095.2265625,0.001,82636
3640,3288713.5,7.07,-0.017658397555351257,670000,133775.18738303,184,11.477781295776367,167474,-111848.78125,0.001,84047
3697,13956062.0,7.0,-0.5143224000930786,680000,133785.5,183,13.389026641845703,169974,-111249.671875,0.001,85475
3753,2185637.0,7.0,-0.678397536277771,690000,133753.1,183,11.331303596496582,172474,-111300.875,0.001,86737
3810,9576738.0,7.07,3.6942899227142334,700000,133773.41239986,183,14.069775581359863,174974,-111085.15625,0.001,88133
3867,15799761.0,7.0,1.4213042259216309,710000,133782.8,183,12.776748657226562,177474,-110595.6328125,0.001,89558
3924,1184499.25,7.01,2.5026986598968506,720000,133774.4,183,12.580546379089355,179974,-111732.921875,0.001,90964
3981,6041890.0,7.03,-0.31853151321411133,730000,133667.5,183,12.9430570602417,182474,-111894.53125,0.001,92365
4037,2252920.0,8.2,-5.156716823577881,740000,130208.06125475,183,13.455076217651367,184974,-109740.5,0.001,93745
4094,1578259.5,7.0,0.23844057321548462,750000,133774.7,183,11.265597343444824,187474,-111947.6875,0.001,95153
4150,683311.75,7.0,-0.6858983039855957,760000,133767.5,183,13.466957092285156,189974,-113572.59375,0.001,96583
4207,12712517.0,8.79,-0.09984487295150757,770000,133707.45471684,182,13.02744197845459,192474,-110470.109375,0.001,97976
4264,628756.875,7.0,1.0113835334777832,780000,133787.3,182,13.778427124023438,194974,-113143.390625,0.001,99306
4321,1791251.25,7.04,-1.0539075136184692,790000,133583.4,182,11.072935104370117,197474,-112028.140625,0.001,100724
4377,991960.9375,7.01,-1.4086506366729736,800000,133781.49689542,182,12.169256210327148,199974,-109854.9140625,0.001,102152
4434,3274566.0,7.15,1.9129678010940552,810000,133677.4,182,13.505619049072266,202474,-111893.5546875,0.001,103575
4491,5742587.0,7.23,-2.422424077987671,820000,133771.22243761,182,13.353067398071289,204974,-111835.859375,0.001,104954
4547,1061164.0,7.01,0.9005258083343506,830000,133681.6,182,15.479240417480469,207474,-111050.1875,0.001,106305
4604,1766115.5,7.01,-0.11432045698165894,840000,133651.7774358,182,14.926758766174316,209974,-111201.5859375,0.001,107680
4660,12858164.0,7.0,1.770137071609497,850000,133782.8,182,12.043397903442383,212474,-108904.171875,0.001,109108
4717,8098473.5,7.01,0.7436180114746094,860000,133773.5,182,15.01878547668457,214974,-108898.953125,0.001,110526
4775,6071760.0,7.02,0.19285783171653748,870000,133749.6100056,182,10.901657104492188,217474,-111741.9921875,0.001,111930
4832,2408290.75,7.0,-1.6211025714874268,880000,133776.5,182,13.044971466064453,219974,-111803.921875,0.001,113346
4888,9206337.0,7.0,-0.48591360449790955,890000,133763.9,182,11.559375762939453,222474,-111623.9296875,0.001,114767
4945,1703950.875,7.0,-0.9599007964134216,900000,133783.7,181,12.804874420166016,224974,-110583.375,0.001,116194
5002,3461981.0,7.43,-3.5930960178375244,910000,133758.06904236,181,13.666675567626953,227474,-111451.3125,0.001,117598
5058,583735.375,7.0,-0.803301215171814,920000,133784.6,181,12.739977836608887,229974,-111958.84375,0.001,119019
5115,3801132.5,7.0,0.055587053298950195,930000,133687.3,181,11.10265064239502,232474,-111405.5859375,0.001,120272
5172,1208730.5,7.0,0.891655445098877,940000,133780.1,181,12.441995620727539,234974,-112084.859375,0.001,121671
5228,2065005.75,7.11,-0.635621190071106,950000,133783.1,181,10.93698501586914,237474,-111502.640625,0.001,123067
5285,642724.5625,7.0,1.6824259757995605,960000,133789.1,181,13.070116996765137,239974,-110684.53125,0.001,124451
5342,845164.125,7.0,1.3066306114196777,970000,133781.0,181,10.666943550109863,242474,-111570.25,0.001,125869
5398,6381083.0,7.24,-0.7441473007202148,980000,133778.8635341,181,10.330760955810547,244974,-110282.59375,0.001,127287
5455,2777991.25,11.28,0.09849894046783447,990000,133626.22292191,181,12.550225257873535,247474,-110587.765625,0.001,128500
5512,1089595.125,7.0,0.24778442084789276,1000000,133772.9,181,10.066581726074219,249974,-112221.671875,0.001,129760
