train/critic_loss,time/total_timesteps,train/actor_loss,time/episodes,train/ent_coef,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss
63930320.0,10000,4062.529296875,240,2.184439182281494,45,217,0.001,-279553.9064234801,34.45,2474,-14.805419921875
119778496.0,20000,11146.4892578125,557,5.077850341796875,91,218,0.001,-133909.60837216,40.08,4974,-27.142807006835938
175750832.0,30000,13598.9931640625,827,10.196707725524902,137,218,0.001,-91030.41475254,35.48,7474,-29.455936431884766
55238352.0,40000,13868.3984375,1001,18.12833023071289,182,218,0.001,-97339.14327606,71.33,9974,-24.662019729614258
84926200.0,50000,11866.046875,1072,29.33266258239746,229,218,0.001,-93910.69804228,105.33,12474,-15.019369125366211
48607528.0,60000,9849.40234375,1115,42.13813781738281,274,218,0.001,-115589.01556583,191.84,14974,-9.684221267700195
32430856.0,70000,7024.98828125,1152,52.380306243896484,321,217,0.001,-114426.00311612,256.2,17474,-0.8757073879241943
51378112.0,80000,8597.142578125,1168,53.39024353027344,367,217,0.001,-96940.80209594,301.53,19974,1.2964731454849243
19628612.0,90000,6163.224609375,1205,50.04075241088867,413,217,0.001,-74602.38837718,299.86,22474,2.634077548980713
23644376.0,100000,7316.80810546875,1232,44.24581527709961,458,217,0.001,-49668.62096316001,365.21,24974,1.1113004684448242
35816052.0,110000,5319.15625,1257,42.89678955078125,504,218,0.001,-29190.37796289,366.3,27474,-0.8446098566055298
33393036.0,120000,3171.26806640625,1273,41.90028381347656,550,218,0.001,-21135.529673740002,366.57,29974,-0.028610825538635254
33627952.0,130000,-180.50482177734375,1287,38.35460662841797,595,218,0.001,-29637.61246187,445.21,32474,-0.05098414421081543
19925400.0,140000,-1788.0399169921875,1315,34.08597946166992,640,218,0.001,-4367.6261538200015,436.35,34974,0.7963227033615112
72584496.0,150000,-5929.029296875,1357,34.592506408691406,685,218,0.001,6478.759476620001,406.29,37474,0.49357280135154724
