rollout/ep_len_mean,train/approx_kl,train/clip_range,train/value_loss,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/std,train/policy_gradient_loss,time/fps,time/total_timesteps,train/loss
59.12,0.0016154045,0.2,5175995999.8,5,10,0.00020751953125,-12.768778495490551,2.205371856689453e-06,0.0003,-293687.34965535,0.9996168613433838,-0.0030812774120931863,1671,10000,2433992448.0
68.25,0.0007996887,0.2,4848938383.6,11,20,0.0,-12.766766860336066,5.960464477539063e-08,0.0003,-313566.33600752,0.9995511174201965,-0.0018488989386241882,1693,20000,2187477504.0
70.77,0.00025427426,0.2,4563787098.0,17,30,0.0,-12.766088378429412,1.1920928955078125e-07,0.0003,-323568.80545529997,0.9994795918464661,-0.0009442378135645413,1700,30000,2007858432.0
65.32,0.00045185734,0.2,4705397810.4,23,40,0.0,-12.766659495234489,-1.1920928955078125e-07,0.0003,-296040.68234492,0.9996821284294128,-0.0012574529766425258,1703,40000,2214976000.0
64.09,0.0002690884,0.2,4567942454.6,32,60,0.0,-12.767927484214306,0.0,0.0003,-287917.77707072004,0.9996554255485535,-0.0011555901338397233,1558,50000,2329976576.0
66.38,0.00054308935,0.2,4653095487.6,37,70,0.0,-12.76769700422883,0.0,0.0003,-297073.87755885,0.9997381567955017,-0.0015587027148285415,1582,60000,2404115968.0
48.7,0.00041598413,0.2,4504859776.6,43,80,0.0,-12.76861076876521,-2.384185791015625e-07,0.0003,-239110.00201234996,0.9998707175254822,-0.0012498493677412625,1599,70000,2161794560.0
66.51,0.00055818947,0.2,4478537801.0,49,90,0.0,-12.769135135412217,-1.1920928955078125e-07,0.0003,-286938.22333349,0.999858021736145,-0.0014803793244027475,1612,80000,2204163072.0
64.61,0.0005841658,0.2,4281494678.8,55,100,0.0,-12.768842250853776,0.0,0.0003,-275381.56236777996,0.999796450138092,-0.0014067088894989866,1623,90000,2320293120.0
62.72,0.00039392547,0.2,4152467462.8,64,120,0.0,-12.76530606225133,0.0,0.0003,-275976.07235682,0.9992364048957825,-0.0012222202723933151,1561,100000,2105143552.0
55.77,0.00067381497,0.2,4253329410.2,69,130,0.0,-12.762375646084546,0.0,0.0003,-257419.14022995997,0.9989745020866394,-0.0015451090137503342,1574,110000,2121359488.0
60.28,0.00028819492,0.2,4372733545.8,75,140,0.0,-12.759703650325537,-2.384185791015625e-07,0.0003,-254013.65833518,0.9986415505409241,-0.001049901121405128,1584,120000,2498838528.0
63.38,0.0004833333,0.2,4240038697.8,81,150,0.0,-12.756451109051705,-1.1920928955078125e-07,0.0003,-260974.31593568999,0.998254120349884,-0.001425305135671806,1593,130000,1820436736.0
48.82,0.0007443777,0.2,4561003281.4,90,170,0.0,-12.753709795325994,1.7881393432617188e-07,0.0003,-234055.07776363005,0.998092770576477,-0.0015579168421027134,1552,140000,2377971200.0
56.44,0.000507319,0.2,4181565042.2,96,180,0.0,-12.751684237271547,0.0,0.0003,-242766.95443393002,0.9977490901947021,-0.001429814966468257,1561,150000,2552734464.0
60.77,0.00068854366,0.2,3751060758.2,101,190,0.0,-12.748759998381137,0.0,0.0003,-257031.30822954993,0.9974390864372253,-0.0015574800947433687,1570,160000,1793833472.0
70.15,0.00032414836,0.2,4098381927.2,107,200,0.0,-12.748056195676327,0.0,0.0003,-273525.12044427,0.9976103901863098,-0.0009305229128585779,1577,170000,2050908544.0
51.02,0.00044448226,0.2,3671658326.2,113,210,0.0,-12.746864256262779,0.0,0.0003,-225535.41863545,0.9971575140953064,-0.0011558353473446914,1584,180000,1992071168.0
54.46,0.00065802806,0.2,3758804546.6,122,230,0.0,-12.74200935140252,0.0,0.0003,-230498.33205927,0.9966264367103577,-0.0012764083283400395,1554,190000,1911830016.0
62.86,0.0002593841,0.2,3654386248.8,128,240,0.0,-12.73861762881279,0.0,0.0003,-248776.95784194,0.9963361024856567,-0.0009051150753293768,1561,200000,1627555968.0
53.46,0.00042662027,0.2,3889689812.6,133,250,0.0,-12.737422291189432,-1.1920928955078125e-07,0.0003,-220002.72085467004,0.996349573135376,-0.0010980066768752294,1567,210000,1742463360.0
70.89,0.00025459583,0.2,3626074847.2,139,260,0.0,-12.735179779678584,-1.1920928955078125e-07,0.0003,-273091.72933398,0.9958413243293762,-0.0008052036073422641,1573,220000,1981305216.0
