train/clip_fraction,train/n_updates,rollout/ep_rew_mean,train/loss,train/clip_range,time/fps,train/std,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/value_loss
0.000244140625,10,-236082.42784514,4210668032.0,0.2,1689,0.9998176097869873,5,-12.769655407965184,-3.5762786865234375e-07,0.0017328323,-0.0029376388653417963,10000,34.65,0.0003,7753106770.0
1.220703125e-05,20,-262719.20856495,3581271296.0,0.2,1710,0.9996083378791809,11,-12.767909390479327,0.0,0.0011158028,-0.0018935923022581846,20000,43.98,0.0003,7249804842.4
0.0,30,-249452.66317935995,3268225280.0,0.2,1717,0.9993215203285217,17,-12.765640787780285,0.0,0.0002269558,-0.0005692030502359557,30000,41.71,0.0003,6654847570.4
0.0,40,-222565.07888893,2997662976.0,0.2,1719,0.999345064163208,23,-12.76442975178361,0.0,0.0004792862,-0.0010307462396667688,40000,38.03,0.0003,6379094865.6
0.0,60,-252565.64521021,3008517120.0,0.2,1574,0.9989726543426514,31,-12.762297087907791,0.0,0.00035858015,-0.0008050013908359688,50000,41.85,0.0003,6539817899.6
0.0,70,-252511.00942240993,3206975744.0,0.2,1597,0.9990835189819336,37,-12.761646201461554,0.0,0.0005380987,-0.001173526702586969,60000,45.07,0.0003,6281704153.2
0.0,80,-246304.99929607997,2941209088.0,0.2,1614,0.998886227607727,43,-12.76131502315402,0.0,0.00031734814,-0.0008636536895210156,70000,42.69,0.0003,6595560703.6
0.0,90,-232441.95170064,3095868928.0,0.2,1627,0.998829185962677,49,-12.760127612948418,0.0,0.0002968196,-0.0007803830081684282,80000,36.94,0.0003,6062535043.6
0.0,100,-238302.35325221,3434969088.0,0.2,1638,0.9986809492111206,54,-12.759166787564755,-1.1920928955078125e-07,0.00046899088,-0.0011578548468605732,90000,39.92,0.0003,6610297672.0
0.0,120,-208923.06807958,3474200576.0,0.2,1576,0.9983608722686768,63,-12.755987203866244,0.0,0.00056887954,-0.0011439952131695463,100000,31.52,0.0003,6306853809.2
0.0,130,-223598.70728669,3160306944.0,0.2,1588,0.9983025789260864,69,-12.755438628792763,0.0,0.00025635504,-0.0008365555680938996,110000,37.69,0.0003,6476636866.4
0.0,140,-208287.27307360002,3551036672.0,0.2,1598,0.998279333114624,75,-12.755062222480774,0.0,0.00033977392,-0.0009249468123016414,120000,33.19,0.0003,6325597615.2
0.0,150,-217155.67314699996,3188803328.0,0.2,1606,0.9979698657989502,80,-12.753533317893744,0.0,0.00036881058,-0.0008508450747285679,130000,37.39,0.0003,6506679085.6
0.0,170,-209285.43429861998,2885123840.0,0.2,1565,0.9977074861526489,89,-12.749866585433484,-1.1920928955078125e-07,0.00073882437,-0.0014562452757672872,140000,33.43,0.0003,6263491281.2
0.0,180,-221846.15983771,3225197056.0,0.2,1574,0.9977062940597534,95,-12.749764827638865,1.7881393432617188e-07,0.000334104,-0.0007030370460597623,150000,37.82,0.0003,6145243711.2
0.0,190,-221642.25856326002,3165749760.0,0.2,1582,0.9972593784332275,101,-12.747707414627076,0.0,0.00031920377,-0.0008836331418933697,160000,39.43,0.0003,6068207260.8
0.0,200,-214425.66317607005,3242427392.0,0.2,1589,0.9972578883171082,106,-12.745679987967014,0.0,0.00027811533,-0.000699390741328898,170000,38.38,0.0003,5911171513.2
0.0,210,-204551.33385455998,2786238208.0,0.2,1596,0.9970122575759888,112,-12.744595716893674,5.960464477539063e-08,0.0006496896,-0.0012153580735684954,180000,36.1,0.0003,5844582620.0
0.0,230,-221801.66190733996,3205169920.0,0.2,1566,0.9964490532875061,121,-12.740049626678228,0.0,0.00029624705,-0.0008077425649389624,190000,37.56,0.0003,6090951851.6
0.0,240,-186856.35864810005,2826758656.0,0.2,1573,0.9960737228393555,127,-12.736646148562432,0.0,0.00020164828,-0.0006498125245798292,200000,31.61,0.0003,5891382782.8
0.0,250,-203595.78044796002,2950333696.0,0.2,1579,0.9957150220870972,132,-12.733350808173418,0.0,0.00046885715,-0.0009761097162481747,210000,32.56,0.0003,5827953366.8
