time/episodes,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef
888,184652.734375,-23.70433807373047,-120440.70865362,134,2474,10000,74,4.0,0.0003,10417.087890625,1.899963617324829
3551,176574.1875,-56.93734359741211,-100045.11786724,133,4974,20000,150,3.0,0.0003,6707.740234375,4.346529006958008
6121,166012.640625,-61.42227554321289,-120217.49759875,133,7474,30000,225,5.0,0.0003,6997.0224609375,8.843118667602539
9413,167184.546875,-66.30125427246094,-99979.67835403001,133,9974,40000,300,3.0,0.0003,6908.44677734375,17.471006393432617
12748,165843.140625,-61.16963195800781,-99880.83807047002,133,12474,50000,375,3.0,0.0003,3541.771728515625,33.825984954833984
16080,181391.9375,-42.77812957763672,-99656.88557322003,133,14974,60000,450,3.0,0.0003,4326.99755859375,62.77374267578125
19413,141303.953125,-14.857276916503906,-98527.15745077001,133,17474,70000,525,3.0,0.0003,2085.741455078125,101.87852478027344
22748,129628.453125,-6.153594970703125,-97547.05278664002,133,19974,80000,601,3.0,0.0003,1598.9388427734375,149.27194213867188
26080,139251.109375,-1.6182185411453247,-94306.78734344,132,22474,90000,677,3.0,0.0003,1441.642822265625,149.1536102294922
29188,129540.234375,1.5360527038574219,-93325.36946725,132,24974,100000,754,3.0,0.0003,1838.884521484375,151.69784545898438
32411,122199.09375,1.6636295318603516,-93185.61982653997,132,27474,110000,830,3.0,0.0003,1267.4796142578125,145.53245544433594
35746,139004.265625,1.3339072465896606,-93130.02687854,132,29974,120000,906,3.0,0.0003,2936.363037109375,132.48373413085938
39079,149197.328125,-1.4140480756759644,-92947.51429174999,132,32474,130000,982,3.0,0.0003,1647.8564453125,111.76678466796875
42411,121375.2890625,-0.26875877380371094,-92283.85871656,132,34974,140000,1058,3.0,0.0003,1191.7088623046875,91.32706451416016
45746,141590.90625,0.6874113082885742,-89030.52954513002,132,37474,150000,1134,3.0,0.0003,1261.7689208984375,79.60767364501953
49079,123385.84375,0.3229854702949524,-88105.20198164,132,39974,160000,1210,3.0,0.0003,1049.2525634765625,76.94210815429688
52411,137740.53125,-0.01919686794281006,-87989.48173367999,131,42474,170000,1288,3.0,0.0003,1104.3045654296875,56.93700408935547
55746,157874.140625,-3.1914117336273193,-89025.57188368001,131,44974,180000,1364,3.0,0.0003,2125.485107421875,50.72587585449219
59079,112220.21875,0.45114853978157043,-89183.77454796001,131,47474,190000,1440,3.0,0.0003,1035.3135986328125,46.691165924072266
62411,128296.484375,-0.05693431943655014,-89728.57799695,131,49974,200000,1518,3.0,0.0003,1740.136962890625,41.99397659301758
65746,115389.5546875,0.8904925584793091,-87821.67212382001,131,52474,210000,1595,3.0,0.0003,756.9046630859375,32.470611572265625
