time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss
32,4898.97021484375,0.0003,10000,-6328736.360795875,251.75,145,-8.313638687133789,68,1.6527717113494873,2474,244641.015625
60,4171.42724609375,0.0003,20000,-8329726.264454001,309.1166666666667,144,-18.35413360595703,138,3.5792949199676514,4974,507009.5
81,5312.53271484375,0.0003,30000,-9391515.78081916,352.7283950617284,143,-20.672454833984375,208,7.443058013916016,7474,698816.875
142,4673.16455078125,0.0003,40000,-6953547.62261354,257.8,143,-17.61656951904297,278,13.671403884887695,9974,875190.25
180,6023.0341796875,0.0003,50000,-5008546.95678077,192.05,143,-14.14229679107666,348,25.501239776611328,12474,978108.75
256,9403.3857421875,0.0003,60000,-4205018.84119979,186.16,143,-13.74504566192627,419,43.76163864135742,14974,1081031.75
385,18171.94140625,0.0003,70000,-1355338.1690446502,80.14,143,-11.693513870239258,489,94.5309066772461,17474,1099354.75
508,15075.6865234375,0.0003,80000,-1331439.9792522602,86.6,143,-2.7743422985076904,558,162.5708770751953,19974,1118261.25
718,22992.884765625,0.0003,90000,-599379.74941484,53.76,143,-0.6415908932685852,628,197.07861328125,22474,1077056.25
867,18811.390625,0.0003,100000,-669354.7507867998,36.0,143,1.8643786907196045,698,212.1731719970703,24974,1004521.25
987,16420.857421875,0.0003,110000,-2017397.0661118703,80.64,143,0.7225301861763,767,188.58641052246094,27474,947621.75
1010,23620.388671875,0.0003,120000,-3831150.5713200895,164.17,143,-0.6126730442047119,837,175.7202606201172,29974,971057.375
1051,16740.123046875,0.0003,130000,-5441247.28752109,232.44,143,0.1140090823173523,907,183.88072204589844,32474,988700.5
1138,19255.056640625,0.0003,140000,-3994970.0231894497,174.49,143,0.9196313619613647,976,188.2632293701172,34974,1015937.875
1236,18788.607421875,0.0003,150000,-1283532.94504523,104.14,143,-0.1246747076511383,1046,179.73190307617188,37474,1020438.875
1322,15795.0576171875,0.0003,160000,-1508956.6253468199,96.37,143,-2.737461566925049,1115,180.89512634277344,39974,989449.875
1490,13473.3427734375,0.0003,170000,-514544.41083506995,36.01,143,-0.42437857389450073,1185,189.806396484375,42474,951987.6875
1499,15597.064453125,0.0003,180000,-1445960.01849704,120.65,143,-2.2364864349365234,1255,188.78497314453125,44974,891397.625
1535,11331.7548828125,0.0003,190000,-2613190.57980874,234.31,143,2.6105146408081055,1325,177.60484313964844,47474,834823.3125
1640,13639.62890625,0.0003,200000,-714549.2972737398,92.14,143,-0.3471154272556305,1395,165.29090881347656,49974,779696.875
1808,9472.44140625,0.0003,210000,-237270.35655881002,68.55,143,-0.5172469615936279,1465,166.30712890625,52474,733369.375
1919,11041.615234375,0.0003,220000,-166966.11459917,84.9,143,-1.3952261209487915,1535,168.13092041015625,54974,692763.125
2031,8282.353515625,0.0003,230000,-226279.92244467002,91.36,143,-0.1839432716369629,1605,172.98995971679688,57474,626352.0625
2122,7533.990234375,0.0003,240000,-238757.38127489004,108.03,143,-1.990605115890503,1675,172.74563598632812,59974,590119.3125
2160,9574.6689453125,0.0003,250000,-224456.19409096002,161.03,143,-3.878415584564209,1745,166.90049743652344,62474,549680.3125
2171,7087.6728515625,0.0003,260000,-217294.07665615997,248.13,143,0.13360030949115753,1816,159.10659790039062,64974,513800.46875
2180,6472.46630859375,0.0003,270000,-216251.99896985,329.63,143,-0.37848299741744995,1887,148.4109649658203,67474,465903.8125
2191,5854.14453125,0.0003,280000,-218610.86956432,430.87,143,-2.6457595825195312,1957,137.92343139648438,69974,412564.8125
2200,6780.1533203125,0.0003,290000,-210950.96174151998,508.79,142,2.1124041080474854,2029,137.541259765625,72474,355169.0625
