train/n_updates,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_len_mean,train/ent_coef_loss,train/ent_coef,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean
2474,10000,0.0003,203982.859375,5602.74609375,307.6774193548387,-9.666534423828125,1.6437467336654663,72,31,137,-7040629.761710936
4974,20000,0.0003,455930.0625,7143.2724609375,361.72549019607845,-15.82858657836914,3.2922210693359375,146,51,136,-8990156.343085354
7474,30000,0.0003,670379.4375,7703.88525390625,6.45,-38.56269073486328,7.133915901184082,220,283,135,-150706.03184899
9974,40000,0.0003,772638.4375,6206.66455078125,81.03,-40.03531265258789,15.336477279663086,295,341,135,-2243806.27777938
12474,50000,0.0003,876502.0,7816.89892578125,190.55,-28.878990173339844,28.84120750427246,369,362,135,-5337899.86390452
14974,60000,0.0003,932042.375,7786.3173828125,5.07,-38.36323547363281,57.329689025878906,443,932,135,-119057.53830568
17474,70000,0.0003,901621.4375,13217.6865234375,8.18,-23.27571678161621,110.61473083496094,518,1638,135,-158336.57228319
19974,80000,0.0003,1008967.375,11015.1943359375,78.64,2.1270577907562256,153.8119659423828,592,1854,135,-1857646.10972873
22474,90000,0.0003,1036223.75,11319.541015625,38.57,-2.6059741973876953,139.8831329345703,666,2099,134,-671888.25521182
24974,100000,0.0003,1013325.6875,11010.12109375,26.09,-0.42500025033950806,192.5646209716797,741,2403,134,-162670.76098324
27474,110000,0.0003,864174.0,15848.2734375,108.96,-0.44204843044281006,192.12062072753906,814,2442,134,-1336005.71058355
29974,120000,0.0003,863726.375,18286.29296875,200.33,1.2869473695755005,188.78732299804688,888,2453,135,-2386715.63811505
32474,130000,0.0003,784362.125,15197.2958984375,301.52,0.9472577571868896,151.93869018554688,961,2468,135,-4104688.7096793596
34974,140000,0.0003,821440.25,11405.345703125,213.23,1.2191288471221924,154.114501953125,1037,2553,134,-2116059.25792225
37474,150000,0.0003,788658.625,13899.8369140625,9.06,-4.699608325958252,182.09548950195312,1112,3092,134,-99765.67846396
39974,160000,0.0003,676567.625,15384.22265625,6.39,-0.7879215478897095,204.68215942382812,1186,4732,134,-99316.39735090999
42474,170000,0.0003,609594.75,14085.9208984375,9.12,-2.1757521629333496,215.7311553955078,1259,5820,135,-100407.82082298999
44974,180000,0.0003,553767.5625,11536.720703125,9.1,0.7543624639511108,222.94459533691406,1332,7276,135,-99884.97313154001
47474,190000,0.0003,427570.28125,12541.6748046875,7.2,0.0881010890007019,227.05772399902344,1405,8568,135,-100639.42036183
49974,200000,0.0003,356608.21875,13319.267578125,5.69,-1.395034909248352,207.29336547851562,1479,10086,135,-100211.57865029
52474,210000,0.0003,296583.78125,10579.6142578125,5.53,1.0280849933624268,175.16629028320312,1553,11984,135,-99938.4726511
54974,220000,0.0003,251140.4375,9120.759765625,29.06,-0.31430038809776306,154.69284057617188,1627,13075,135,-97843.80806169
57474,230000,0.0003,205114.46875,8716.8876953125,123.09,2.1144189834594727,136.50364685058594,1701,13103,135,-102064.08040894
59974,240000,0.0003,207880.765625,8804.1708984375,198.34,-1.454545497894287,107.90132904052734,1775,13124,135,-225674.24887951
62474,250000,0.0003,193279.21875,6864.46240234375,52.81,-0.6716244220733643,99.17440032958984,1851,13869,135,-99737.70801028999
64974,260000,0.0003,193825.03125,5803.04541015625,63.36,-3.4533214569091797,95.52046203613281,1926,14040,134,-103899.18094297999
67474,270000,0.0003,170975.390625,5116.2763671875,129.06,-1.5347707271575928,83.67130279541016,2002,14087,134,-110266.30061150999
69974,280000,0.0003,136458.703125,4356.50537109375,188.17,-0.051507800817489624,75.54338073730469,2077,14139,134,-109649.04799145
72474,290000,0.0003,128318.953125,4000.343505859375,65.04,3.7698142528533936,71.9398422241211,2153,14275,134,-97176.89650537
74974,300000,0.0003,133717.4375,3770.188720703125,36.61,-0.0567471981048584,67.64997100830078,2230,14493,134,-99853.29448676002
77474,310000,0.0003,120213.484375,4030.232177734375,53.63,0.3209303021430969,64.7116928100586,2308,14704,134,-106579.18824969004
79974,320000,0.0003,126364.9375,4252.61083984375,126.12,-0.14799368381500244,61.350093841552734,2385,14751,134,-103979.14466052002
82474,330000,0.0003,108540.0546875,3239.731689453125,173.15,0.3085256814956665,58.721134185791016,2463,14824,133,-89428.05280341
84974,340000,0.0003,116816.6953125,3257.0048828125,151.44,0.4712015688419342,57.831424713134766,2541,14874,133,-87154.28383468
87474,350000,0.0003,98180.9296875,3104.55322265625,239.19,0.9048280715942383,53.92707824707031,2620,14885,133,-83317.29170079
89974,360000,0.0003,97260.46875,3286.83642578125,332.8,2.1253604888916016,52.34689712524414,2699,14896,133,-80171.20305155
92474,370000,0.0003,91878.28125,3075.3798828125,407.03,-0.4847501516342163,50.4891242980957,2778,14905,133,-79198.89344741
94974,380000,0.0003,91648.9296875,3138.43505859375,497.59,-1.7324906587600708,50.50143814086914,2857,14916,132,-76603.01632324
97474,390000,0.0003,82976.9375,3126.489501953125,578.71,2.6843693256378174,48.862056732177734,2936,14925,132,-76298.53955070999
99974,400000,0.0003,88628.8984375,3259.87744140625,671.36,-1.558465838432312,49.1888427734375,3014,14946,132,-73569.0109204
102474,410000,0.0003,86821.2109375,3383.500244140625,702.02,-2.872739791870117,47.50473403930664,3093,14973,132,-72702.36196590001
104974,420000,0.0003,79070.609375,2920.803466796875,702.53,0.46731412410736084,46.52521514892578,3173,14985,132,-72536.85848779001
107474,430000,0.0003,77025.4765625,3105.703857421875,688.45,3.000096321105957,45.22947692871094,3252,14997,132,-69929.35340273999
109974,440000,0.0003,68011.0625,2900.68310546875,678.33,2.673309326171875,43.18915557861328,3332,15007,132,-68934.60485736
112474,450000,0.0003,67710.484375,3081.650390625,678.33,-2.896116256713867,43.55152893066406,3412,15018,131,-93950.61008903003
114974,460000,0.0003,61456.515625,2605.490966796875,678.33,-0.6394919157028198,45.39466857910156,3493,15027,131,-101211.12850515
117474,470000,0.0003,51303.359375,2892.340087890625,713.05,1.6253870725631714,45.86278533935547,3574,15038,131,-104127.20979297001
119974,480000,0.0003,51683.1328125,2913.28076171875,779.97,0.7035050988197327,44.592288970947266,3654,15048,131,-102835.33040178001
122474,490000,0.0003,52998.015625,3270.1064453125,850.78,-2.6427838802337646,41.80853271484375,3735,15064,131,-99122.72974096
124974,500000,0.0003,34284.42578125,3162.484375,68.54,-1.0724754333496094,40.80461120605469,3815,15190,131,-88211.07659319999
127474,510000,0.0003,33436.9609375,2885.119384765625,34.01,0.3795245885848999,41.273468017578125,3896,15485,130,-91076.74523849
129974,520000,0.0003,33030.84765625,3347.37939453125,51.61,1.576094627380371,39.76087188720703,3977,15719,130,-91216.99478886997
132474,530000,0.0003,34866.03125,3341.1220703125,135.6,-3.3346705436706543,37.125606536865234,4057,15738,130,-90196.72197137002
134974,540000,0.0003,38780.00390625,3631.851806640625,235.93,-2.8012850284576416,36.18647003173828,4138,15750,130,-85815.94012824999
137474,550000,0.0003,31604.20703125,3205.112548828125,322.14,0.22911766171455383,36.254974365234375,4218,15759,130,-123311.76655725
139974,560000,0.0003,21533.296875,3004.425537109375,433.26,4.867176532745361,35.46614074707031,4298,15771,130,-132717.85606713
142474,570000,0.0003,30437.7578125,2623.352783203125,511.88,2.0127720832824707,34.816131591796875,4378,15803,130,-135229.7849421
144974,580000,0.0003,31838.017578125,2937.974853515625,402.97,-0.8691025376319885,33.83559799194336,4458,15850,130,-139290.97898248
147474,590000,0.0003,30297.40234375,2695.558349609375,293.58,0.2014460563659668,32.53325653076172,4538,15871,129,-94782.05287854999
149974,600000,0.0003,29864.044921875,2938.521728515625,322.27,-1.480163812637329,31.241361618041992,4619,15884,129,-101589.55760331001
152474,610000,0.0003,30039.33203125,3180.38818359375,391.41,-0.9813332557678223,30.458232879638672,4699,15895,129,-106945.77895286003
154974,620000,0.0003,19878.54296875,2661.4638671875,485.64,3.880174160003662,30.350723266601562,4779,15906,129,-100480.44136577
157474,630000,0.0003,25554.38671875,2926.22705078125,545.52,-1.2961269617080688,29.912967681884766,4859,15915,129,-95464.17913180002
159974,640000,0.0003,27014.0703125,2926.402099609375,637.44,-1.5816001892089844,29.254671096801758,4940,15937,129,-93405.23978305001
162474,650000,0.0003,26797.46484375,2933.556884765625,690.23,-3.172550678253174,28.739192962646484,5020,15950,129,-91628.93954365999
164974,660000,0.0003,22982.001953125,3061.234375,732.51,1.9576884508132935,27.750242233276367,5101,15961,129,-91038.35419296999
167474,670000,0.0003,28876.3828125,2957.51416015625,780.73,0.024007141590118408,28.04937171936035,5181,15973,129,-75978.21936996
169974,680000,0.0003,28520.4375,2564.440185546875,749.98,0.3197517693042755,27.933570861816406,5261,15991,129,-72810.18339645998
172474,690000,0.0003,29724.001953125,2897.4072265625,603.24,-1.0661847591400146,28.430585861206055,5341,16017,129,-94689.24050166998
174974,700000,0.0003,19937.361328125,2995.392333984375,521.38,0.9491751194000244,28.101463317871094,5422,16049,129,-116098.37948744003
