time/total_timesteps,time/fps,train/kl_divergence_loss,train/std,train/policy_objective,train/is_line_search_success,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/n_updates
10000,1478,0.006068744696676731,0.9941462278366089,0.057704564183950424,1.0,7751745736.0,-220425.17600891995,6,35.54,-4.76837158203125e-07,0.001,1
20000,1464,0.004990032408386469,0.9863535761833191,0.04135103151202202,1.0,5895537174.4,-199194.70087789997,13,36.7,0.0,0.001,2
30000,1458,0.006180847063660622,0.9749711155891418,0.043936990201473236,1.0,5324301927.2,-189259.68700312998,20,34.16,0.0,0.001,3
40000,1456,0.005082129500806332,0.9677531719207764,0.03790118545293808,1.0,4984827887.2,-177971.09302306,27,35.69,0.0,0.001,4
50000,1392,0.004422907251864672,0.9530361890792847,0.0382719486951828,1.0,4608365064.8,-157161.07892107,35,31.33,0.0,0.001,6
60000,1401,0.005506311077624559,0.9398641586303711,0.04105887562036514,1.0,4229728522.0,-145797.27731769002,42,30.55,-1.1920928955078125e-07,0.001,7
70000,1406,0.00457564415410161,0.9377099275588989,0.03911512345075607,1.0,4307996816.4,-143012.30194253998,49,30.29,0.0,0.001,8
80000,1411,0.005551700945943594,0.9332004189491272,0.044106412678956985,1.0,4026398553.6,-139734.41549816,56,31.0,-1.1920928955078125e-07,0.001,9
90000,1414,0.006195766851305962,0.9174819588661194,0.046741191297769547,1.0,3819173869.2,-142578.23305741002,63,37.13,-1.1920928955078125e-07,0.001,10
100000,1387,0.006818564608693123,0.8907520771026611,0.05206974223256111,1.0,3641715734.4,-130685.31410172001,72,34.81,1.1920928955078125e-07,0.001,12
110000,1387,0.005886698141694069,0.8854811191558838,0.047930676490068436,1.0,3238308182.4,-102497.23541962,79,42.83,0.0,0.001,13
120000,1390,0.006922167260199785,0.8811178207397461,0.05266246199607849,1.0,3046984061.2,-119259.95373592999,86,48.73,0.0,0.001,14
130000,1392,0.006623496767133474,0.8717314004898071,0.048714231699705124,1.0,2652743971.4,-89932.20789599998,93,45.02,5.960464477539063e-08,0.001,15
140000,1375,0.006720190402120352,0.8674774169921875,0.05176975205540657,1.0,2361394819.4,-84118.13942669,101,49.39,0.0,0.001,17
150000,1377,0.006343486253172159,0.870660126209259,0.05291573703289032,1.0,2081882240.4,-61468.18044592001,108,48.9,0.0,0.001,18
160000,1380,0.006701348815113306,0.8720195293426514,0.04959365725517273,1.0,2164656758.4,-52536.56779324999,115,54.21,-1.1920928955078125e-07,0.001,19
170000,1382,0.0068473489955067635,0.8638820052146912,0.04726116731762886,1.0,1840969118.8,-43654.6025251,122,48.02,0.0,0.001,20
180000,1372,0.0070688799023628235,0.8647432327270508,0.05144444853067398,1.0,2047986703.6,-7847.728905179999,131,51.23,0.0,0.001,21
190000,1363,0.007692037150263786,0.8647696375846863,0.0443260632455349,1.0,1634333552.2,12745.545149289997,139,52.77,0.0036330819129943848,0.001,23
200000,1367,0.008318265900015831,0.8586848378181458,0.04568815976381302,1.0,1851908306.0,35201.52160204,146,45.38,0.0080375075340271,0.001,24
210000,1371,0.00792424101382494,0.846878170967102,0.04767828807234764,1.0,1730345773.0,48447.85242665,153,40.96,0.011430323123931885,0.001,25
220000,1374,0.007843772880733013,0.8378580212593079,0.045113302767276764,1.0,1820982138.8,60919.797536009995,160,40.41,0.004068434238433838,0.001,26
230000,1364,0.008589078672230244,0.8187101483345032,0.043936848640441895,1.0,2005822387.4,59303.30337052001,168,41.36,8.344650268554688e-07,0.001,28
240000,1367,0.008282141759991646,0.8142654299736023,0.04786800220608711,1.0,2012917773.0,90610.27951882,175,32.19,5.364418029785156e-07,0.001,29
250000,1369,0.008881766349077225,0.8086263537406921,0.04392090439796448,1.0,2288084991.4,88013.71803363,182,31.06,4.172325134277344e-07,0.001,30
260000,1371,0.008515275083482265,0.8007987141609192,0.048173367977142334,1.0,2498295538.8,94679.65623181999,189,28.54,3.5762786865234375e-07,0.001,31
270000,1372,0.0087853092700243,0.7938249707221985,0.04002801701426506,1.0,2703919740.8,102927.08602444001,196,28.84,1.1920928955078125e-07,0.001,32
280000,1363,0.008191030472517014,0.7807833552360535,0.05348663032054901,1.0,3042296202.8,114320.11809367,205,25.64,1.7881393432617188e-07,0.001,34
290000,1364,0.008841380476951599,0.7754489779472351,0.04514555260539055,1.0,3447041854.8,116237.48779286,212,22.6,0.0,0.001,35
300000,1365,0.008101933635771275,0.7691909074783325,0.037854406982660294,1.0,3789452608.4,112916.60174628001,219,22.12,0.0,0.001,36
310000,1366,0.008988809771835804,0.7592586874961853,0.05037999898195267,1.0,3658702787.6,115863.94096235001,226,21.59,-1.1920928955078125e-07,0.001,37
320000,1358,0.00804100465029478,0.7535148859024048,0.049398504197597504,1.0,3895102642.8,115577.34847978002,235,21.05,-1.1920928955078125e-07,0.001,39
330000,1360,0.007231264375150204,0.745124101638794,0.03722430020570755,1.0,3791443608.0,120673.34436326001,242,19.9,1.1920928955078125e-07,0.001,40
340000,1361,0.008194100111722946,0.7398642897605896,0.04518039524555206,1.0,4210110215.6,120680.80239923001,249,19.31,5.960464477539063e-08,0.001,41
350000,1362,0.0072051119059324265,0.7341879606246948,0.0388074554502964,1.0,4515618878.4,123239.36320249,256,18.12,1.1920928955078125e-07,0.001,42
360000,1363,0.008809809572994709,0.7263627648353577,0.04115614295005798,1.0,4811130126.0,124514.82199715,263,16.36,-1.1920928955078125e-07,0.001,43
370000,1357,0.007884380407631397,0.7097907662391663,0.038734156638383865,1.0,5119882170.4,125418.95159725,272,16.36,0.0,0.001,45
380000,1358,0.00988398864865303,0.7062669396400452,0.034504957497119904,1.0,4758980662.0,125928.04185053,279,16.36,-1.1920928955078125e-07,0.001,46
390000,1360,0.008474377915263176,0.6990127563476562,0.04347754269838333,1.0,5307219946.4,114927.69019407,286,25.82,0.0,0.001,47
400000,1361,0.00925754476338625,0.6988560557365417,0.04233342781662941,1.0,4868916663.2,106671.56756092001,293,34.59,0.0,0.001,48
410000,1356,0.009003754705190659,0.6922763586044312,0.04034072160720825,1.0,4032224087.2,118341.75843093,302,26.0,0.0,0.001,50
420000,1358,0.009051038883626461,0.6907655596733093,0.03381739929318428,1.0,3188363330.0,99684.97327459998,309,45.28,0.0,0.001,51
430000,1359,0.00680927699431777,0.6898015737533569,0.01884826272726059,1.0,3977063916.8,127279.97162997,316,14.98,-1.1920928955078125e-07,0.001,52
440000,1361,0.0089760422706604,0.6896823644638062,0.03344564139842987,1.0,3873601888.4,126926.81292798002,323,16.4,0.0,0.001,53
450000,1362,0.008250844664871693,0.6859654188156128,0.038606058806180954,1.0,4701766684.4,121153.32430003998,330,25.85,0.0,0.001,54
460000,1357,0.008909491822123528,0.6859228610992432,0.03824916481971741,1.0,5435155634.4,128779.91689321,338,15.5,0.0,0.001,56
470000,1358,0.008619602769613266,0.6836503744125366,0.04046034812927246,1.0,4408128681.2,126648.06876381,345,15.89,0.0,0.001,57
480000,1359,0.00793832540512085,0.6751306653022766,0.03439627215266228,1.0,5709471410.4,125079.94066113001,353,24.45,1.7881393432617188e-07,0.001,58
490000,1359,0.009710986167192459,0.6719042062759399,0.04340013116598129,1.0,5401884829.6,128797.31161150002,360,14.71,1.1920928955078125e-07,0.001,59
500000,1353,0.007024301216006279,0.6708725094795227,0.03204690292477608,1.0,5391568754.4,130226.00881560001,369,14.14,0.0,0.001,61
510000,1354,0.008786577731370926,0.6676762104034424,0.028322361409664154,1.0,5675266013.6,130221.42412358001,376,14.33,1.1920928955078125e-07,0.001,62
520000,1354,0.007542553823441267,0.6658012866973877,0.03337319940328598,1.0,5690925501.6,129107.82901963001,383,14.48,0.0,0.001,63
530000,1354,0.00661716191098094,0.6618053913116455,0.026834610849618912,1.0,5286987404.8,128900.39002964001,391,14.88,0.0,0.001,64
540000,1355,0.0076446812599897385,0.6596238613128662,0.030713727697730064,1.0,5427934284.8,125884.63019969,398,23.97,1.1920928955078125e-07,0.001,65
550000,1350,0.006895970553159714,0.6576735973358154,0.030653394758701324,1.0,5410456639.2,129424.89264136,407,14.12,0.0,0.001,67
560000,1351,0.009165123105049133,0.6556581258773804,0.03864505887031555,1.0,5527190672.0,129510.02807481999,414,14.58,5.960464477539063e-08,0.001,68
570000,1351,0.006480494514107704,0.6556293964385986,0.02674262970685959,1.0,5360288427.2,130009.19974540001,421,14.68,2.384185791015625e-07,0.001,69
