train/n_updates,train/policy_objective,train/kl_divergence_loss,train/std,train/learning_rate,time/total_timesteps,time/time_elapsed,train/explained_variance,train/is_line_search_success,rollout/ep_len_mean,time/fps,train/value_loss,rollout/ep_rew_mean
1,0.058543842285871506,0.005565428640693426,0.997300386428833,0.001,10000,6,-5.960464477539062e-07,1.0,24.48,1476,7584900258.4,-179077.13851308
2,0.01969466358423233,0.004285933915525675,1.0025540590286255,0.001,20000,13,-1.1920928955078125e-07,1.0,24.46,1457,6003510695.2,-171209.42580281998
3,0.032384272664785385,0.0043195514008402824,0.9971351623535156,0.001,30000,20,0.0,1.0,21.03,1443,6218300573.6,-148353.85209757
4,0.03964539244771004,0.008472283370792866,0.9906666874885559,0.001,40000,27,0.0,1.0,22.69,1436,5849649929.6,-148540.04913906998
6,0.034609708935022354,0.005688974633812904,0.9757838845252991,0.001,50000,36,5.960464477539063e-08,1.0,23.65,1377,5369120367.2,-145226.86477961
7,0.041920341551303864,0.007864466868340969,0.9795389175415039,0.001,60000,43,0.0,1.0,21.53,1381,5033093059.6,-136286.85253822
8,0.02790764719247818,0.00498940097168088,0.9655926823616028,0.001,70000,50,1.1920928955078125e-07,1.0,22.93,1385,5100050542.8,-139759.66438855004
9,0.03951471298933029,0.00637785391882062,0.9525201320648193,0.001,80000,57,-1.1920928955078125e-07,1.0,25.56,1388,5032536914.4,-133089.30197755003
10,0.039426565170288086,0.0049216789193451405,0.9462010264396667,0.001,90000,64,-1.1920928955078125e-07,1.0,27.87,1389,4649460163.6,-141324.7792587
12,0.04903193190693855,0.00650427583605051,0.9330462217330933,0.001,100000,73,-1.1920928955078125e-07,1.0,27.66,1362,4176186184.4,-124999.45960528997
13,0.04469086974859238,0.006278478540480137,0.9238079786300659,0.001,110000,80,0.0,1.0,28.42,1364,3992427271.6,-112647.10354985
14,0.04407437518239021,0.00639200396835804,0.9119694828987122,0.001,120000,87,1.7881393432617188e-07,1.0,31.62,1364,3870834217.6,-116780.05369754
15,0.04760783538222313,0.006552568636834621,0.898489236831665,0.001,130000,95,0.0,1.0,31.1,1366,3862848903.6,-110474.28144207
17,0.05564729869365692,0.00991145707666874,0.8893144130706787,0.001,140000,103,0.0,1.0,34.4,1348,3309713073.6,-85743.47054624998
18,0.05174820125102997,0.007638163864612579,0.8715870976448059,0.001,150000,111,0.0,1.0,32.52,1350,2999128187.6,-42488.96692414
19,0.04821321368217468,0.007054606452584267,0.864630401134491,0.001,160000,118,0.0,1.0,34.91,1352,2887156841.4,-13725.156137799997
20,0.04649702459573746,0.006455862428992987,0.8649207353591919,0.001,170000,125,0.0,1.0,34.98,1353,2275569077.2,7407.28370452
21,0.05065307766199112,0.007610403932631016,0.8541713356971741,0.001,180000,132,0.0,1.0,33.61,1354,2252615892.2,27435.876298270003
23,0.044959597289562225,0.007313576061278582,0.8337557315826416,0.001,190000,141,1.1920928955078125e-07,1.0,25.83,1341,2375346616.4,72294.1551877
24,0.045134030282497406,0.007314411923289299,0.8291980028152466,0.001,200000,149,0.0,1.0,26.14,1342,2541915055.2,68149.37517001
25,0.04955224692821503,0.007913348264992237,0.8195074200630188,0.001,210000,156,0.0,1.0,22.42,1342,2579379882.2,87073.35018077001
26,0.045724496245384216,0.007432589773088694,0.8141844272613525,0.001,220000,163,-1.1920928955078125e-07,1.0,23.11,1343,2824711819.4,81261.45078845
28,0.05266885831952095,0.007865416817367077,0.7988812327384949,0.001,230000,172,0.0,1.0,20.89,1332,3497258465.6,94228.96925639
29,0.046372190117836,0.00863741710782051,0.7906073331832886,0.001,240000,180,0.0,1.0,19.45,1333,3581730672.4,98903.04655985
30,0.043964684009552,0.008171197958290577,0.7818052768707275,0.001,250000,187,0.0,1.0,20.17,1333,3769230226.0,99161.94590778001
31,0.034407638013362885,0.007976975291967392,0.7759211659431458,0.001,260000,194,5.960464477539063e-08,1.0,19.54,1333,3859401518.4,98463.55172811
32,0.0399242639541626,0.00831597764045,0.7644738554954529,0.001,270000,202,-1.1920928955078125e-07,1.0,19.73,1333,4048199050.8,102902.64199107
34,0.03861713409423828,0.008249763399362564,0.7556195855140686,0.001,280000,211,0.0,1.0,17.83,1324,4437234394.0,111231.3830931
