time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,train/std,train/entropy_loss,time/fps,train/n_updates,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/value_loss,time/time_elapsed
10000,-902611.0,-347650.22540203994,1.0067082643508911,-17.107114791870117,1561,499,0.0,19.09,0.0007,3936203520.0,6
20000,-921677.8125,-516793.98180081,1.0156095027923584,-17.207365036010742,1555,999,0.0,25.85,0.0007,4424389632.0,12
30000,-858467.625,-560887.5097568899,1.0168896913528442,-17.22927474975586,1540,1499,0.0,26.33,0.0007,2880849408.0,19
40000,-848551.6875,-703340.4634260801,1.0235086679458618,-17.298067092895508,1534,1999,1.1920928955078125e-07,36.72,0.0007,3444521472.0,26
50000,-870613.8125,-533588.1577512899,1.0245939493179321,-17.31440544128418,1538,2499,0.0,28.92,0.0007,3439708928.0,32
60000,-869801.1875,-487114.04195343005,1.0362540483474731,-17.44424057006836,1544,2999,-1.1920928955078125e-07,26.73,0.0007,3604231680.0,38
70000,-780998.75,-559761.1640934399,1.0349582433700562,-17.431413650512695,1546,3499,-1.1920928955078125e-07,29.04,0.0007,2588700416.0,45
80000,-597781.4375,-546291.65704759,1.0417320728302002,-17.50860023498535,1545,3999,0.0,27.56,0.0007,1744756352.0,51
90000,-1005105.0,-438391.3122281501,1.0457566976547241,-17.558320999145508,1540,4499,-1.1920928955078125e-07,19.16,0.0007,3630341376.0,58
100000,-980804.3125,-828422.37540892,1.0483837127685547,-17.580642700195312,1537,4999,0.0,41.01,0.0007,4027692288.0,65
110000,-1010501.625,-679647.23530505,1.0541144609451294,-17.647111892700195,1520,5499,0.0,36.97,0.0007,4024580608.0,72
120000,-1197698.375,-394604.18249427003,1.064700961112976,-17.766923904418945,1509,5999,2.384185791015625e-07,20.87,0.0007,5870018560.0,79
130000,-761502.6875,-553317.7522975601,1.077224612236023,-17.9077205657959,1499,6499,-1.1920928955078125e-07,31.83,0.0007,2356055296.0,86
140000,-934591.625,-476590.01285332,1.0817824602127075,-17.96009635925293,1488,6999,-1.1920928955078125e-07,26.75,0.0007,3264222720.0,94
150000,-651160.875,-516995.23635343,1.09482741355896,-18.10096549987793,1482,7499,0.0,29.19,0.0007,1756188928.0,101
160000,-735676.1875,-478679.49121248996,1.0930505990982056,-18.078033447265625,1474,7999,0.0,27.97,0.0007,2068938752.0,108
170000,-1008918.6875,-420789.8202440101,1.1004447937011719,-18.156126022338867,1470,8499,-1.1920928955078125e-07,22.75,0.0007,4040323072.0,115
180000,-823522.875,-484754.94252358004,1.1020596027374268,-18.17658805847168,1466,8999,1.7881393432617188e-07,26.46,0.0007,2622475776.0,122
190000,-817766.125,-370762.9926645101,1.1000210046768188,-18.14610481262207,1463,9499,0.0,21.22,0.0007,3249988096.0,129
200000,-488064.6875,-641971.15477437,1.1026315689086914,-18.162019729614258,1459,9999,0.0,37.8,0.0007,3073257984.0,137
210000,-1019149.5,-867063.8871134701,1.1045132875442505,-18.196592330932617,1457,10499,-1.1920928955078125e-07,44.41,0.0007,3528864256.0,144
220000,-910121.1875,-479851.30011452007,1.1076549291610718,-18.222017288208008,1453,10999,1.1920928955078125e-07,23.24,0.0007,3582631936.0,151
230000,-1272942.375,-671103.7103549301,1.110472559928894,-18.254762649536133,1450,11499,-1.1920928955078125e-07,36.15,0.0007,5778383872.0,158
240000,-928687.125,-467010.22485942,1.1218091249465942,-18.369836807250977,1447,11999,-1.1920928955078125e-07,25.42,0.0007,3621118720.0,165
250000,-1408005.375,-550244.0756565501,1.131553053855896,-18.477231979370117,1443,12499,0.0,26.36,0.0007,7757383168.0,173
260000,-563932.0625,-701453.67197228,1.1430050134658813,-18.579055786132812,1440,12999,1.1920928955078125e-07,37.81,0.0007,1330951424.0,180
270000,-959532.0,-529689.4091293099,1.1392489671707153,-18.552196502685547,1437,13499,-1.1920928955078125e-07,28.23,0.0007,4153156864.0,187
280000,-824838.6875,-555051.56507168,1.1520049571990967,-18.683942794799805,1435,13999,0.0,31.19,0.0007,2500537856.0,195
290000,-1019948.3125,-412591.80535076,1.1569913625717163,-18.743757247924805,1432,14499,5.960464477539063e-08,23.89,0.0007,4473116672.0,202
300000,-1025594.6875,-417580.92999621003,1.1647663116455078,-18.820646286010742,1430,14999,-1.1920928955078125e-07,21.26,0.0007,3933139456.0,209
310000,-1165373.625,-447387.5559361799,1.167441487312317,-18.849943161010742,1428,15499,-1.1920928955078125e-07,19.21,0.0007,4751306752.0,216
320000,-1036193.1875,-602597.3633888601,1.1720890998840332,-18.896867752075195,1426,15999,0.0,25.25,0.0007,4307204096.0,224
330000,-1042704.375,-694625.5583299302,1.183478593826294,-19.009496688842773,1425,16499,0.0,30.08,0.0007,4115258624.0,231
340000,-1754430.0,-1299636.78678264,1.1978892087936401,-19.15777015686035,1424,16999,0.0,44.87,0.0007,10264162304.0,238
350000,-1429211.5,-904638.8469057699,1.2117633819580078,-19.299394607543945,1423,17499,2.980232238769531e-07,32.65,0.0007,6306508288.0,245
360000,-821879.0,-530364.1076976799,1.2221012115478516,-19.397491455078125,1421,17999,0.0,21.11,0.0007,2197953024.0,253
370000,-1549548.0,-702817.1968487799,1.226594090461731,-19.440582275390625,1420,18499,0.0,27.78,0.0007,7779597312.0,260
380000,-1829042.75,-721530.6066627201,1.2357077598571777,-19.530675888061523,1419,18999,-2.384185791015625e-07,30.86,0.0007,10140129280.0,267
390000,-1465576.25,-604629.80512139,1.2358660697937012,-19.530353546142578,1419,19499,0.0,27.2,0.0007,7036745216.0,274
400000,-817546.25,-397479.9621322501,1.2461532354354858,-19.620634078979492,1417,19999,0.0,17.49,0.0007,2233681920.0,282
410000,-1339191.0,-427502.2712843599,1.258971095085144,-19.7410945892334,1416,20499,0.0,16.38,0.0007,6183763968.0,289
420000,-1413805.125,-853892.4379835699,1.2661834955215454,-19.799135208129883,1416,20999,-1.1920928955078125e-07,33.71,0.0007,6111762432.0,296
430000,-1007734.375,-706586.68436528,1.2649627923965454,-19.789535522460938,1417,21499,0.0,31.63,0.0007,3749871616.0,303
440000,-1504330.625,-712155.73043672,1.2658910751342773,-19.783044815063477,1417,21999,-1.1920928955078125e-07,30.9,0.0007,8021329408.0,310
450000,-1356979.375,-1159943.0960913799,1.2736334800720215,-19.86651611328125,1418,22499,0.0,44.11,0.0007,6132530176.0,317
