rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/std,time/time_elapsed,train/policy_loss,time/fps,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/learning_rate
-810648.87353793,499,-17.14061164855957,1.0095106363296509,13,-759443.1875,767,10000,1.1920928955078125e-07,2297664000.0,51.69,0.0007
-902947.29601822,999,-17.238859176635742,1.018429160118103,19,-898996.1875,1010,20000,0.0,4344175104.0,55.99,0.0007
-854706.6941160702,1499,-17.25800132751465,1.019350528717041,26,-782354.1875,1122,30000,-1.1920928955078125e-07,2564708608.0,49.16,0.0007
-850905.6073213399,1999,-17.320999145507812,1.025443196296692,33,-670688.5625,1189,40000,5.960464477539063e-08,2504282624.0,53.87,0.0007
-585664.1560452001,2499,-17.357030868530273,1.028438925743103,40,-1013072.5,1234,50000,0.0,4360681984.0,29.38,0.0007
-723669.6295786799,2999,-17.48334312438965,1.039866328239441,47,-782510.8125,1264,60000,0.0,3140277248.0,47.22,0.0007
-647062.05727141,3499,-17.459577560424805,1.0374075174331665,54,-671421.125,1286,70000,0.0,1687932160.0,43.57,0.0007
-607734.0149192,3999,-17.52387809753418,1.043131947517395,64,-627891.625,1242,80000,0.0,1867062016.0,39.43,0.0007
-1115136.01383803,4499,-17.54078483581543,1.0443464517593384,80,-646922.125,1119,90000,-1.1920928955078125e-07,1561196160.0,70.64,0.0007
-783071.47399537,4999,-17.544641494750977,1.0455290079116821,87,-594019.125,1138,100000,1.1920928955078125e-07,1422874368.0,50.08,0.0007
-892189.00705999,5499,-17.577665328979492,1.0482933521270752,95,-798333.625,1154,110000,-1.1920928955078125e-07,2435794432.0,57.86,0.0007
-589101.54362412,5999,-17.673553466796875,1.0564841032028198,103,-953642.1875,1160,120000,-1.1920928955078125e-07,4035441408.0,40.71,0.0007
-499574.75483327993,6499,-17.803037643432617,1.0679620504379272,112,-575114.75,1153,130000,0.0,1297213056.0,33.96,0.0007
-540879.3319683201,6999,-17.891599655151367,1.0756405591964722,120,-722812.1875,1157,140000,1.1920928955078125e-07,2023176576.0,37.9,0.0007
-416500.9937947199,7499,-17.964065551757812,1.0828652381896973,129,-1013610.5,1155,150000,0.0,4973008896.0,29.82,0.0007
-484115.79794481,7999,-17.973554611206055,1.0841275453567505,138,-677318.0,1157,160000,0.0,2181858304.0,33.67,0.0007
-692549.8404625701,8499,-18.050737380981445,1.0913785696029663,145,-870394.1875,1164,170000,0.0,2931941120.0,46.27,0.0007
-701035.4839570001,8999,-18.124357223510742,1.0981932878494263,153,-625979.625,1169,180000,5.960464477539063e-08,1494825728.0,49.68,0.0007
-622587.25445052,9499,-18.100366592407227,1.0967015027999878,161,-650862.125,1175,190000,5.960464477539063e-08,2173675008.0,42.9,0.0007
-616618.30169168,9999,-18.093074798583984,1.096377968788147,169,-1421680.5,1179,200000,0.0,8948671488.0,40.5,0.0007
-813565.0336821201,10499,-18.129106521606445,1.0991542339324951,177,-722561.4375,1184,210000,1.1920928955078125e-07,1796203776.0,53.13,0.0007
-844556.1027446999,10999,-18.16399574279785,1.1024603843688965,185,-832814.125,1188,220000,-1.1920928955078125e-07,2810674432.0,53.0,0.0007
-656770.98707052,11499,-18.199541091918945,1.1060068607330322,193,-824700.125,1189,230000,0.0,2510859776.0,44.79,0.0007
-608025.19531176,11999,-18.334577560424805,1.1191246509552002,213,-617267.375,1123,240000,0.0,1486255616.0,40.98,0.0007
-665797.47320575,12499,-18.409772872924805,1.1258927583694458,230,-872949.0,1083,250000,1.1920928955078125e-07,3442884096.0,38.54,0.0007
-753851.50264956,12999,-18.479833602905273,1.1338192224502563,238,-981734.125,1090,260000,0.0,4529255424.0,52.13,0.0007
-530050.91474391,13499,-18.48863410949707,1.133506178855896,247,-805584.375,1092,270000,1.1920928955078125e-07,2959881472.0,38.07,0.0007
