time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/return_std,train/iterations,train/delta_std,train/step_size
1713,10000,670.3333333333334,5,-26671527.888323665,,,,,
1770,20000,802.2,11,-31698383.077067595,,,,,
1789,30000,876.375,16,-34747550.205313995,,,,,
1800,40000,901.1,22,-35757952.208097294,,,,,
1807,50000,859.4285714285714,27,-34102078.00023907,,,,,
1810,60000,1000.0,33,-39835053.383644,0.02,15945475.0,0,0.05,1.5678429388099602e-10
1814,70000,802.6,38,-31953465.2677478,,,,,
1820,80000,859.0,43,-34187973.91183157,,,,,
1830,90000,754.1666666666666,49,-29983439.18920517,,,,,
1836,100000,789.2857142857143,54,-31389102.404277857,,,,,
1842,110000,1000.0,59,-40076993.47382,0.02,15994070.0,1,0.05,1.5630792493670498e-10
1846,120000,1000.0,64,-39858303.210674,,,,,
1849,130000,859.0,70,-34201040.89832286,,,,,
1851,140000,579.4285714285714,75,-22831409.031154785,,,,,
1853,150000,507.0,80,-19898995.120213002,0.02,19752340.0,2,0.05,1.265672844308341e-10
1854,160000,753.5,86,-29821768.902020752,,,,,
1856,170000,753.875,91,-29879964.425860625,,,,,
1859,180000,803.1,96,-31822827.827966798,,,,,
1861,190000,737.8,102,-29235753.09141353,,,,,
1864,200000,508.0,107,-19892348.287383,0.02,17676616.0,3,0.05,1.4142978455033983e-10
1866,210000,671.6666666666666,112,-26585182.309129834,,,,,
1867,220000,672.7777777777778,117,-25515410.245159,,,,,
1869,230000,648.9285714285714,123,-24961874.176993143,,,,,
1870,240000,23.0,128,-260410.0,0.02,18666498.0,4,0.05,1.3392978392978705e-10
1873,250000,755.75,133,-29868639.532504,,,,,
1876,260000,719.0,138,-28511836.388362855,,,,,
1878,270000,671.3333333333334,143,-26600302.538891,,,,,
1880,280000,,148,,0.02,19826664.0,5,0.05,1.2609281674347272e-10
1882,290000,604.6,154,-23926357.3868514,,,,,
1884,300000,717.5714285714286,159,-28486683.444550145,,,,,
1886,310000,730.1818181818181,164,-28998344.926535357,,,,,
1887,320000,717.3571428571429,169,-28478215.487771995,,,,,
1886,330000,16.0,174,-154736.635793,0.02,17759152.0,6,0.05,1.407724770086105e-10
1884,340000,754.0,180,-29974764.68131975,,,,,
1883,350000,836.0,185,-33242968.354747172,,,,,
1882,360000,732.0909090909091,191,-29038220.561499,,,,,
1881,370000,,196,,0.02,19799118.0,7,0.05,1.262682458591513e-10
1880,380000,438.42857142857144,202,-17194321.04538586,,,,,
1879,390000,563.2222222222222,207,-22197912.946378224,,,,,
1878,400000,621.3846153846154,212,-24594273.017970227,,,,,
1878,410000,671.8666666666667,218,-26630262.59652853,,,,,
1877,420000,506.0,223,-19970580.553550754,0.02,18960236.0,8,0.05,1.318549019968529e-10
1876,430000,670.6666666666666,229,-26616067.330975667,,,,,
1876,440000,703.2,234,-27904554.7795371,,,,,
1875,450000,752.6666666666666,239,-29877843.61667925,,,,,
1874,460000,259.5,245,-10072125.999797001,0.02,18991644.0,9,0.05,1.3163684031702871e-10
1873,470000,343.3333333333333,250,-13394917.833794335,,,,,
1872,480000,437.5,256,-17170294.013282858,,,,,
1872,490000,339.6666666666667,261,-13341349.592960669,0.02,20288424.0,10,0.05,1.2322297349154354e-10
1871,500000,669.8333333333334,267,-26605411.099757835,,,,,
1870,510000,604.7,272,-23967107.332437504,,,,,
1870,520000,647.2142857142857,278,-25670924.764142934,,,,,
1869,530000,,283,,0.02,18985672.0,11,0.05,1.3167825163584723e-10
1869,540000,753.25,288,-29987440.849158496,,,,,
1868,550000,835.5,294,-33244275.62401433,,,,,
1868,560000,730.6363636363636,299,-29037010.641683448,,,,,
1867,570000,772.0769230769231,305,-30720568.00618476,,,,,
1867,580000,256.5,310,-10090465.42910275,0.02,17780432.0,12,0.05,1.4060400066462364e-10
1867,590000,433.85714285714283,315,-17157008.07186057,,,,,
1866,600000,559.6666666666666,321,-22215074.928925555,,,,,
1867,610000,538.8,326,-21331638.624370195,,,,,
1868,620000,503.5,331,-20055376.9013265,0.02,20330884.0,13,0.05,1.2296562379443543e-10
1869,630000,801.4,336,-31948572.390893597,,,,,
1870,640000,858.1428571428571,342,-34160769.66256528,,,,,
1870,650000,753.0,347,-29934048.453424584,,,,,
1870,660000,788.2857142857143,352,-31345525.81832864,,,,,
1871,670000,506.5,357,-19964989.312552,0.02,16011506.0,14,0.05,1.5613771386924213e-10
1872,680000,507.0,363,-20033455.036060166,,,,,
1873,690000,671.3333333333334,368,-26676640.525581554,,,,,
1874,700000,670.75,373,-26646338.3481545,,,,,
1875,710000,16.0,378,-331034.363539,0.02,19021916.0,15,0.05,1.3142734123228195e-10
1876,720000,672.0,383,-26718758.301363334,,,,,
1877,730000,560.8888888888889,388,-22194270.966300223,,,,,
1877,740000,,394,,0.02,20294452.0,16,0.05,1.2318637776509433e-10
1878,750000,510.6666666666667,399,-20137214.432256166,,,,,
1879,760000,563.6666666666666,404,-22276704.07469478,,,,,
1878,770000,621.5384615384615,409,-24600131.88105646,,,,,
1878,780000,,415,,0.02,19794394.0,17,0.05,1.2629838841426988e-10
1877,790000,751.5,420,-29902665.870694,,,,,
1878,800000,718.8571428571429,425,-28518950.788291715,,,,,
1879,810000,732.2727272727273,430,-29035912.68205409,,,,,
1880,820000,719.0,436,-28540520.676054645,,,,,
1881,830000,1000.0,441,-39650175.6537565,0.02,18947220.0,18,0.05,1.319454684400867e-10
1882,840000,1000.0,446,-39744021.7040125,,,,,
1882,850000,1000.0,451,-39794417.34269029,,,,,
