time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/step_size,train/delta_std,train/iterations,train/learning_rate,rollout/return_std
10000,2358,4,671.6666666666666,-26665405.022999663,,,,,
20000,2367,8,671.8333333333334,-26641636.595616996,,,,,
30000,2370,12,641.8181818181819,-25438891.44930837,,,,,
40000,2369,16,648.1428571428571,-25676820.627437647,,,,,
50000,2371,21,1000.0,-39940543.079142,1.3181722380295469e-10,0.05,0,0.02,18965654.0
60000,2370,25,1000.0,-39906523.29576,,,,,
70000,2371,29,1000.0,-39865854.62206666,,,,,
80000,2371,33,1000.0,-38854662.5855815,,,,,
90000,2372,37,917.8333333333334,-35916395.99451267,,,,,
100000,2372,42,929.5714285714286,-36488142.951326855,,,,,
110000,2372,46,1000.0,-39921499.098954,2.493570350203811e-10,0.05,1,0.02,10025785.0
120000,2373,50,752.0,-29925126.544997998,,,,,
130000,2372,54,858.2857142857143,-34254247.941000424,,,,,
140000,2372,59,889.7777777777778,-35507234.680820666,,,,,
150000,2371,63,847.1538461538462,-33776940.70171315,,,,,
160000,2371,67,,,1.7696082099671884e-10,0.05,2,0.02,14127421.0
170000,2370,71,670.0,-26620413.091856003,,,,,
180000,2370,75,835.0,-33280553.05413234,,,,,
190000,2366,80,642.0,-25452359.580939997,,,,,
200000,2367,84,672.2666666666667,-26670255.83814267,,,,,
210000,2367,88,353.3333333333333,-13565438.000144333,1.317217168672613e-10,0.05,3,0.02,18979406.0
220000,2368,92,676.6666666666666,-26640308.976979833,,,,,
230000,2368,97,607.7,-23953729.5712694,,,,,
240000,2368,101,698.2307692307693,-27603293.356910612,,,,,
250000,2368,105,11.5,-199176.414321,1.3296068412937956e-10,0.05,4,0.02,18802550.0
260000,2368,109,604.6,-24034434.373228,,,,,
270000,2368,113,717.5714285714286,-28568569.501003426,,,,,
280000,2369,118,730.1818181818181,-29071849.839882635,,,,,
290000,2369,122,717.9285714285714,-28577254.590397354,,,,,
300000,2368,126,1000.0,-39804365.916286,1.316339537371647e-10,0.05,5,0.02,18992060.0
310000,2368,130,1000.0,-39876090.633938245,,,,,
