train/actor_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss
3840.74267578125,123,10000,2474,235,2.243846893310547,29.28,122655264.0,80,-265641.70184051,0.001,-22.619964599609375
8505.4375,248,20000,4974,523,4.824505805969238,30.47,73059472.0,80,-142998.17305022,0.001,-34.121177673339844
11720.966796875,373,30000,7474,823,9.032791137695312,30.56,54712872.0,80,-118955.40261340002,0.001,-34.45243835449219
13678.8095703125,498,40000,9974,1100,15.972233772277832,42.11,48507088.0,80,-138407.16954401,0.001,-29.36441993713379
16248.6533203125,623,50000,12474,1392,25.64361000061035,31.65,67489568.0,80,-105927.65973012001,0.001,-18.233749389648438
16990.93359375,748,60000,14974,1703,38.12445831298828,33.51,54761284.0,80,-106849.46078619,0.001,-14.85265827178955
19693.060546875,873,70000,17474,1993,50.692970275878906,30.86,98446192.0,80,-141008.66579002002,0.001,-6.990956783294678
21800.21484375,998,80000,19974,2220,59.370582580566406,50.81,55263296.0,80,-117203.01125930002,0.001,-3.305211305618286
27050.453125,1122,90000,22474,2464,58.54650115966797,30.95,121499232.0,80,-95273.71002224,0.001,0.30731719732284546
31580.443359375,1247,100000,24974,2683,58.50865936279297,50.2,60954700.0,80,-103074.99951549998,0.001,0.10451614856719971
32098.82421875,1372,110000,27474,2852,56.61103057861328,51.09,55651984.0,80,-104116.70855120002,0.001,-0.7897391319274902
34256.1953125,1496,120000,29974,3004,46.1284294128418,73.15,86008160.0,80,-135021.71372988002,0.001,-1.1172380447387695
32243.5703125,1621,130000,32474,3159,45.385047912597656,50.32,48487488.0,80,-93901.19811429997,0.001,-1.2864781618118286
35462.1953125,1745,140000,34974,3282,41.78520202636719,87.2,26629254.0,80,-98202.64478331,0.001,-0.7232787013053894
33825.30859375,1870,150000,37474,3396,38.886898040771484,88.4,38616252.0,80,-101503.79782752001,0.001,-0.2774386405944824
35459.6875,1994,160000,39974,3548,39.180477142333984,64.95,35157000.0,80,-100036.82489016,0.001,-0.6619569063186646
37019.6875,2121,170000,42474,3665,41.698699951171875,78.33,19374884.0,80,-98660.40453559002,0.001,-1.6795239448547363
37356.9375,2247,180000,44974,3743,35.7169189453125,111.99,27957484.0,80,-99955.47643710999,0.001,0.5296057462692261
37688.6171875,2373,190000,47474,3849,35.467079162597656,100.47,12911477.0,80,-95964.05516250998,0.001,-0.11493966728448868
39540.00390625,2500,200000,49974,3913,35.83494186401367,121.73,42303552.0,79,-113057.37677608996,0.001,1.3723541498184204
37311.046875,2626,210000,52474,3969,35.24067687988281,169.78,47550656.0,79,-140127.50263034,0.001,-0.15725839138031006
37471.9609375,2753,220000,54974,4013,35.10407257080078,202.43,20317360.0,79,-120976.35903038998,0.001,0.06987285614013672
37568.3359375,2879,230000,57474,4056,34.07434844970703,198.5,49940232.0,79,-98862.71577730999,0.001,0.0038055479526519775
33814.6015625,3005,240000,59974,4085,35.29732894897461,252.55,38031812.0,79,-102322.69632470001,0.001,-0.26049190759658813
34500.25,3132,250000,62474,4111,35.172401428222656,294.32,20818296.0,79,-98821.89783925,0.001,-1.460113286972046
32214.03125,3259,260000,64974,4151,35.51729202270508,322.36,47876148.0,79,-110284.1458368,0.001,-0.2774146497249603
31195.44140625,3385,270000,67474,4176,34.58729934692383,358.68,28251072.0,79,-111568.40396321,0.001,-0.6416547298431396
28363.607421875,3512,280000,69974,4208,34.82400131225586,325.14,28437112.0,79,-135973.00091868002,0.001,0.23152711987495422
28396.021484375,3639,290000,72474,4232,35.15525817871094,298.54,13841016.0,79,-122875.97317971001,0.001,1.4979079961776733
29411.89453125,3766,300000,74974,4253,32.542442321777344,379.97,42558372.0,79,-127460.67217350999,0.001,-0.3485865294933319
25291.212890625,3893,310000,77474,4275,35.612449645996094,422.18,37412896.0,79,-124614.88999154996,0.001,-0.003966964781284332
24043.74609375,4019,320000,79974,4294,32.11589431762695,438.8,63123676.0,79,-100182.02163179999,0.001,1.0403435230255127
24826.451171875,4146,330000,82474,4340,32.1848030090332,367.8,30942840.0,79,-93118.78213918001,0.001,1.025849461555481
22388.234375,4272,340000,84974,4384,34.615169525146484,258.91,32252196.0,79,-80508.67898706,0.001,0.8020599484443665
20055.40234375,4399,350000,87474,4416,36.11224365234375,259.38,29316130.0,79,-69845.67451311,0.001,-2.165142059326172
21395.296875,4525,360000,89974,4482,36.054683685302734,193.74,40550628.0,79,-125678.58129756,0.001,0.6457637548446655
20550.0234375,4651,370000,92474,4527,34.896881103515625,156.65,18418158.0,79,-143269.36017754,0.001,0.2705782949924469
17970.220703125,4778,380000,94974,4543,34.754642486572266,232.98,11404480.0,79,-145896.3038582,0.001,-0.8388916254043579
17851.029296875,4904,390000,97474,4564,34.77366256713867,331.83,75487120.0,79,-134957.69398814,0.001,0.6106390357017517
16132.138671875,5031,400000,99974,4591,34.03939437866211,359.5,30487626.0,79,-56238.07182722,0.001,0.053263455629348755
