rollout/ep_len_mean,train/n_updates,train/loss,time/fps,train/std,train/clip_fraction,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/entropy_loss
65.77,10,20355782656.0,1387,1.0001009702682495,0.0,10000,-1.1920928955078125e-06,-0.0007829582998965634,0.00020752665,40635772929.6,-958253.6021908501,7,0.0003,0.2,-17.027852873504163
64.39,20,21480189952.0,1388,1.0000776052474976,0.0,20000,0.0,-0.0007612626213813201,0.00019693899,40703017459.2,-937154.0453786999,14,0.0003,0.2,-17.02835610061884
54.06,30,21045522432.0,1389,1.0000033378601074,0.0,30000,5.960464477539063e-08,-0.000620816883383668,0.00016137774,40169409126.4,-786702.9403719498,21,0.0003,0.2,-17.027753207087517
55.66,40,18719944704.0,1390,1.0000759363174438,0.0,40000,0.0,-0.0007235433637106326,0.00018413164,38363222657.6,-811879.2914274799,28,0.0003,0.2,-17.027731092274188
55.89,60,18568427520.0,1282,1.0001386404037476,0.0,50000,-1.1920928955078125e-07,-0.00036907534558849875,8.205541e-05,37453740236.8,-809264.45628298,38,0.0003,0.2,-17.02844621539116
54.6,70,18710441984.0,1300,1.000156044960022,0.0,60000,-1.1920928955078125e-07,-0.00044545476048369893,0.00011304293,38369435742.4,-807638.0007427,46,0.0003,0.2,-17.02905096411705
63.45,80,19145076736.0,1315,1.0000981092453003,0.0,70000,5.960464477539063e-08,-0.000532519939224585,0.00013611832,38286516105.6,-918917.7498603499,53,0.0003,0.2,-17.028771744668482
73.01,90,20067313664.0,1326,1.0000956058502197,0.0,80000,5.960464477539063e-08,-0.00029638290652655996,6.345235e-05,39590576283.2,-1054156.87434232,60,0.0003,0.2,-17.0284386202693
67.21,100,20409020416.0,1335,1.0000964403152466,0.0,90000,5.960464477539063e-08,-0.0005679890809915378,0.00014552745,41347310292.8,-967337.58865497,67,0.0003,0.2,-17.028421549499036
52.52,120,18788517888.0,1289,1.0001051425933838,0.0,100000,-1.1920928955078125e-07,-0.0005805898421385791,0.00015189749,39324892982.4,-770176.4306149201,77,0.0003,0.2,-17.0284402102232
50.36,130,19077574656.0,1299,1.000228762626648,0.0,110000,0.0,-0.00037153920020500665,8.010742e-05,37113294411.2,-740923.4293144301,84,0.0003,0.2,-17.02923878878355
63.52,140,19379654656.0,1308,1.0002968311309814,0.0,120000,0.0,-0.00026639214438546334,5.789727e-05,37264312003.2,-920118.6244327702,91,0.0003,0.2,-17.030423726141453
57.22,150,19258718208.0,1315,1.0002866983413696,0.0,130000,0.0,-0.0005489682355801051,0.00013536173,39981455240.0,-835929.01056574,98,0.0003,0.2,-17.030773878097534
58.23,170,18178222080.0,1285,1.0002890825271606,0.0,140000,5.960464477539063e-08,-0.0005124672194142477,0.00013081101,38202861152.0,-840983.8417103599,108,0.0003,0.2,-17.030725257098673
47.57,180,19558010880.0,1293,1.0002151727676392,0.0,150000,0.0,-0.00025011552088471944,4.568405e-05,38129831739.2,-704310.3436131302,116,0.0003,0.2,-17.030303385853767
52.06,190,17836310528.0,1300,1.0002912282943726,0.0,160000,-1.1920928955078125e-07,-0.00041070985771511913,9.49254e-05,37433866478.4,-772135.62352672,123,0.0003,0.2,-17.030300395190714
68.77,200,21012459520.0,1306,1.0001962184906006,0.0,170000,5.960464477539063e-08,-0.00025200311702064935,5.349303e-05,39891888902.4,-987237.78185299,130,0.0003,0.2,-17.03018012046814
53.06,210,20706365440.0,1312,1.0001496076583862,0.0,180000,-1.1920928955078125e-07,-0.0003888029670633841,9.690715e-05,39774467878.4,-782168.7490445599,137,0.0003,0.2,-17.02932239025831
61.15,230,19831633920.0,1290,1.000166893005371,0.0,190000,-1.1920928955078125e-07,-0.0004216716110022389,9.867938e-05,39256588532.8,-887859.2632893902,147,0.0003,0.2,-17.029253463447095
50.53,240,19574374400.0,1296,1.000157117843628,0.0,200000,0.0,-0.0003371887998582679,7.831788e-05,40072947492.8,-741429.0406294799,154,0.0003,0.2,-17.0291857406497
54.46,250,20493613056.0,1301,1.000186562538147,0.0,210000,-1.1920928955078125e-07,-0.00046243045253504535,0.00012410167,37574962412.8,-788539.0025449101,161,0.0003,0.2,-17.029319082200526
60.68,260,18541883392.0,1306,1.0001853704452515,0.0,220000,1.1920928955078125e-07,-0.0003658312967672828,9.404274e-05,37336802467.2,-867442.3301903799,168,0.0003,0.2,-17.029482287168502
48.67,280,17777565696.0,1289,1.0001362562179565,0.0,230000,-1.1920928955078125e-07,-0.000452734705140756,0.00010869043,37054436328.0,-719328.6322483001,178,0.0003,0.2,-17.028582130372524
54.69,290,20526245888.0,1293,1.0001283884048462,0.0,240000,0.0,-0.00038724000860383966,8.952628e-05,39247171832.0,-805410.9107820003,185,0.0003,0.2,-17.028840278089046
60.13,300,19835322368.0,1298,1.0000457763671875,0.0,250000,5.960464477539063e-08,-0.00024877353871488594,3.950931e-05,39619869779.2,-876228.4426600599,192,0.0003,0.2,-17.02831072062254
56.48,310,18912905216.0,1302,0.9999692440032959,0.0,260000,0.0,-0.0002961128875540453,5.838261e-05,38496149772.8,-830604.01835614,199,0.0003,0.2,-17.02734730243683
58.34,320,18687950848.0,1306,0.9999399185180664,0.0,270000,-1.1920928955078125e-07,-0.00034760606886266034,8.387405e-05,39042183464.0,-853982.82746289,206,0.0003,0.2,-17.026702135801315
57.4,340,18453145600.0,1291,1.0000154972076416,0.0,280000,0.0,-0.0005612562288661138,0.00015984356,37955629310.4,-832793.85945336,216,0.0003,0.2,-17.027194866538046
49.72,350,19224739840.0,1295,1.0000324249267578,0.0,290000,0.0,-0.000356942838334362,8.233791e-05,38692894904.0,-739855.6707711901,223,0.0003,0.2,-17.02754825949669
56.66,360,20334690304.0,1299,1.000029444694519,0.0,300000,1.1920928955078125e-07,-0.00047129406902968185,0.0001085119,38842044472.0,-818870.3052131899,230,0.0003,0.2,-17.027635969221592
58.75,370,19514935296.0,1303,1.0000078678131104,0.0,310000,-1.1920928955078125e-07,-0.00033247084902541244,7.8370984e-05,38811727102.4,-846278.96298693,237,0.0003,0.2,-17.027460384368897
50.47,390,20347543552.0,1290,1.0000170469284058,0.0,320000,0.0,-0.00030219461395972755,6.2683976e-05,37545928145.6,-743445.21488243,248,0.0003,0.2,-17.027184930443763
47.82,400,19131865088.0,1293,0.9999379515647888,0.0,330000,0.0,-0.0005719113023587852,0.00015355283,36694988238.4,-703899.9970647699,255,0.0003,0.2,-17.026964943110944
56.13,410,18352893952.0,1297,0.9999355673789978,0.0,340000,5.960464477539063e-08,-0.00038513089166372085,9.0508525e-05,37735022056.0,-823794.6915266201,262,0.0003,0.2,-17.02647938132286
62.05,420,20121145344.0,1300,0.9998483657836914,0.0,350000,0.0,-0.0004961016795277829,0.00013065408,38791080774.4,-901830.75136881,269,0.0003,0.2,-17.025960840284824
51.55,430,21132900352.0,1302,0.9997987151145935,0.0,360000,1.1920928955078125e-07,-0.00022855124589113985,4.8549795e-05,38315492584.0,-744289.53438027,276,0.0003,0.2,-17.025125390291215
52.93,450,20513191936.0,1291,0.9997641444206238,0.0,370000,0.0,-0.0002025051251621335,3.0467869e-05,38394062889.6,-773569.25491468,286,0.0003,0.2,-17.024244302511214
59.1,460,18008999936.0,1294,0.9997612833976746,0.0,380000,-1.1920928955078125e-07,-0.00033285235758739873,6.80177e-05,37223909779.2,-852007.59427945,293,0.0003,0.2,-17.024392668902873
57.26,470,18424156160.0,1297,0.9996045231819153,0.0,390000,0.0,-0.00033694734866003274,7.9149715e-05,37809913955.2,-833282.37897421,300,0.0003,0.2,-17.023443584144115
46.44,480,18996924416.0,1299,0.9996790885925293,0.0,400000,0.0,-0.0002673973892342474,6.209073e-05,38478233723.2,-684241.42439623,307,0.0003,0.2,-17.022932767868042
47.5,500,18903695360.0,1289,0.9995962977409363,0.0,410000,0.0,-0.0001662429100178997,2.2988519e-05,36047947190.4,-703608.1320505298,317,0.0003,0.2,-17.022897797822953
45.09,510,19128184832.0,1292,0.9996487498283386,0.0,420000,-1.1920928955078125e-07,-0.0006206474507052917,0.00018309391,36300024193.6,-669350.90925307,324,0.0003,0.2,-17.02269735187292
46.99,520,16567048192.0,1295,0.9995833039283752,0.0,430000,0.0,-0.0004883392743067816,0.0001190391,37799250211.2,-695167.06404521,332,0.0003,0.2,-17.022656840085983
64.92,530,18383439872.0,1297,0.9996433854103088,0.0,440000,-1.1920928955078125e-07,-0.00023434269478457282,4.2152533e-05,37402711817.6,-935693.1579626701,339,0.0003,0.2,-17.022598138451578
50.21,540,17315102720.0,1299,0.999596893787384,0.0,450000,0.0,-0.0005119344722515961,0.00013057924,38912570798.4,-742528.4769017899,346,0.0003,0.2,-17.022673034667967
53.55,560,20131540992.0,1290,0.9996545910835266,0.0,460000,0.0,-0.00032395374291809275,6.557054e-05,38382122796.8,-787432.7034931799,356,0.0003,0.2,-17.022836692631245
56.88,570,18233053184.0,1293,0.9996349215507507,0.0,470000,0.0,-0.0006969573234528071,0.00021240785,37241272563.2,-815317.1518082299,363,0.0003,0.2,-17.022966560721397
53.97,580,17707751424.0,1295,0.9996585249900818,0.0,480000,0.0,-0.0003400300480734586,7.5009775e-05,36340442710.4,-783585.87314444,370,0.0003,0.2,-17.022961089015006
61.82,590,20723458048.0,1297,0.999569833278656,0.0,490000,0.0,-0.00025285491055910826,5.4745753e-05,37874719480.0,-893140.3040575901,377,0.0003,0.2,-17.02260155379772
47.97,610,18807306240.0,1289,0.9994880557060242,0.0,500000,0.0,-0.00032489141822225067,9.015133e-05,35375219691.2,-688083.0289568,387,0.0003,0.2,-17.021315293014048
47.04,620,16337787904.0,1291,0.9993793368339539,0.0,510000,0.0,-0.00055936498047231,0.00014785765,35743057964.8,-689542.0039743799,394,0.0003,0.2,-17.02045131623745
51.33,630,17813450752.0,1293,0.9994156360626221,0.0,520000,0.0,-0.00038317726630339167,8.697593e-05,36733137622.4,-750289.17249413,401,0.0003,0.2,-17.01997785717249
49.64,640,18696187904.0,1296,0.9994466304779053,0.0,530000,-1.1920928955078125e-07,-0.0006506485180580058,0.00019190402,36428104787.2,-721549.3082263498,408,0.0003,0.2,-17.020404961705207
48.28,650,17973479424.0,1298,0.9994087219238281,0.0,540000,0.0,-0.00037079332269058797,9.2676666e-05,36283287675.2,-708752.92610412,416,0.0003,0.2,-17.02034896761179
54.18,670,18890784768.0,1290,0.9992952942848206,0.0,550000,0.0,-0.0003182242766342824,6.9096175e-05,38172698480.0,-781461.70093154,426,0.0003,0.2,-17.019358412921427
53.14,680,19358642176.0,1293,0.9992669224739075,0.0,560000,0.0,-0.0004153451714955736,0.000103036284,37807050848.0,-774261.3117870499,433,0.0003,0.2,-17.018577685952188
44.67,690,19039899648.0,1295,0.9992232322692871,0.0,570000,5.960464477539063e-08,-0.000454926507336495,0.00010914395,37942161000.0,-665133.7285849099,440,0.0003,0.2,-17.018177764117716
49.75,700,17802825728.0,1297,0.9990503191947937,0.0,580000,0.0,-0.00032329820896848105,6.958376e-05,35839572584.0,-727602.7146922,447,0.0003,0.2,-17.016865132749082
46.51,720,17885353984.0,1290,0.9990280270576477,0.0,590000,5.960464477539063e-08,-0.0004381674967135041,0.00010401961,36002548995.2,-681598.9053315701,457,0.0003,0.2,-17.01529543697834
57.72,730,19314753536.0,1292,0.9990858435630798,0.0,600000,0.0,-0.0005360015180485789,0.00014966074,36934278932.8,-836127.6673976801,464,0.0003,0.2,-17.015885181725025
54.97,740,18149152768.0,1294,0.9990376830101013,0.0,610000,1.7881393432617188e-07,-0.0004478974182347883,0.000115240924,38295562793.6,-795102.4249598101,471,0.0003,0.2,-17.015940754115583
52.33,750,18228334592.0,1296,0.9991292357444763,0.0,620000,-1.1920928955078125e-07,-0.00035550043794501106,8.35831e-05,37142855630.4,-761570.96923553,478,0.0003,0.2,-17.01621208935976
50.78,760,19496239104.0,1298,0.9991369843482971,0.0,630000,0.0,-0.00028564945196194456,6.622424e-05,38308241699.2,-737611.2706554198,485,0.0003,0.2,-17.016813524067402
41.59,780,17647212544.0,1292,0.9991700053215027,0.0,640000,0.0,-0.0004759965748235118,0.00012927334,36471474422.4,-622351.3380677999,495,0.0003,0.2,-17.017080603539945
48.24,790,20390862848.0,1293,0.9991307258605957,0.0,650000,-1.1920928955078125e-07,-0.0003532294561409799,7.7812554e-05,36814061627.2,-704739.18822374,502,0.0003,0.2,-17.017013297975062
50.52,800,17032890368.0,1295,0.9991490840911865,0.0,660000,-1.1920928955078125e-07,-0.00037950644746160834,8.492438e-05,35651454240.0,-742385.2522696501,509,0.0003,0.2,-17.016895912587643
43.9,810,18406232064.0,1297,0.9992194771766663,0.0,670000,-1.1920928955078125e-07,-0.0006532072398840683,0.00018755019,38295361256.0,-643031.35145167,516,0.0003,0.2,-17.017392402887346
55.02,830,18750902272.0,1291,0.9990103244781494,0.0,680000,-1.1920928955078125e-07,-0.00035030614399147455,8.705173e-05,36816554958.4,-787467.8288970201,526,0.0003,0.2,-17.016221012175084
51.85,840,15872350208.0,1293,0.9989414811134338,0.0,690000,0.0,-0.000514207977175829,0.00012924382,36237382168.0,-764115.94147514,533,0.0003,0.2,-17.014898869395257
49.0,850,16535228416.0,1295,0.9989762306213379,0.0,700000,5.960464477539063e-08,-0.0004032102888231748,0.00010399148,35970169915.2,-719292.2665147601,540,0.0003,0.2,-17.014693877100946
54.29,860,17979301888.0,1296,0.9989562630653381,0.0,710000,0.0,-0.00040567290616309035,0.00010291684,36644579857.6,-786229.08466915,547,0.0003,0.2,-17.014787688851357
54.96,870,17053150208.0,1298,0.9989657402038574,0.0,720000,0.0,-0.0008420423400821164,0.0002502755,37183326512.0,-795235.1453504099,554,0.0003,0.2,-17.01473622918129
49.86,890,18422614016.0,1293,0.9988923668861389,0.0,730000,0.0,-0.00025738172844285144,5.2715004e-05,34970122076.8,-717514.4146595299,564,0.0003,0.2,-17.013904081285
43.14,900,18654846976.0,1294,0.9989421367645264,0.0,740000,0.0,-0.0002898906885093311,6.1342376e-05,35328263524.8,-620838.32897825,571,0.0003,0.2,-17.014198265969753
42.3,910,19327193088.0,1296,0.9989525675773621,0.0,750000,0.0,-0.00036323266758699904,8.6928e-05,37651659552.0,-625260.53596121,578,0.0003,0.2,-17.014582785964013
58.04,920,17683648512.0,1297,0.9989613890647888,0.0,760000,-1.1920928955078125e-07,-0.0003805014273893903,9.7856224e-05,34957180956.8,-834303.0396492298,585,0.0003,0.2,-17.014686000347137
44.09,930,19363741696.0,1299,0.9989709258079529,0.0,770000,0.0,-0.00026004537839980913,5.059231e-05,37839982558.4,-641320.4381276299,592,0.0003,0.2,-17.01478790193796
47.77,950,18729693184.0,1294,0.9989199042320251,0.0,780000,1.1920928955078125e-07,-0.0005857079738234461,0.00016186244,36286819704.0,-697111.7194995501,602,0.0003,0.2,-17.014698934555053
53.94,960,16460610560.0,1295,0.9988313317298889,0.0,790000,0.0,-0.0004041542496452166,9.913335e-05,36021667422.4,-778741.2135221502,609,0.0003,0.2,-17.013707594573496
51.44,970,18633205760.0,1297,0.9988605380058289,0.0,800000,-1.1920928955078125e-07,-0.0002837903422914678,5.5930257e-05,36985538134.4,-741721.9645477501,616,0.0003,0.2,-17.013335345685483
48.09,980,18471944192.0,1298,0.9988265037536621,0.0,810000,1.1920928955078125e-07,-0.0005575554909228231,0.00014016434,35750035184.0,-697853.4069529702,623,0.0003,0.2,-17.01329747736454
47.26,1000,18771243008.0,1294,0.998737633228302,0.0,820000,-1.1920928955078125e-07,-0.0008544451273337472,0.000228146,35942939040.0,-690571.5692717897,633,0.0003,0.2,-17.012205283343793
45.0,1010,17864921088.0,1295,0.9986293315887451,0.0,830000,1.1920928955078125e-07,-0.0007508252680054284,0.00022435447,33580532996.8,-663153.4639094599,640,0.0003,0.2,-17.011416149139404
48.55,1020,17851631616.0,1297,0.9986806511878967,0.0,840000,-1.1920928955078125e-07,-0.0009132057317401632,0.00028055388,34898619769.6,-703267.6287206401,647,0.0003,0.2,-17.011054752767087
50.87,1030,17484056576.0,1298,0.9986392855644226,0.0,850000,0.0,-0.00036029029806741166,7.5757445e-05,36577506476.8,-727694.40673377,654,0.0003,0.2,-17.011110834777355
54.46,1040,17726238720.0,1299,0.9986200332641602,0.0,860000,5.960464477539063e-08,-0.00020977507319912546,3.3787517e-05,35977871174.4,-789533.5252718702,661,0.0003,0.2,-17.01074074059725
44.29,1060,15444803584.0,1295,0.9985737800598145,0.0,870000,0.0,-0.0003927478728655842,9.115459e-05,35300925355.2,-640126.6735478302,671,0.0003,0.2,-17.01022967249155
53.52,1070,16853607424.0,1296,0.9986363053321838,0.0,880000,0.0,-0.0004247471410053549,0.00011451951,35156057953.6,-766174.88276437,678,0.0003,0.2,-17.010438826680183
49.57,1080,19265079296.0,1297,0.9985619187355042,0.0,890000,-1.1920928955078125e-07,-0.0006368006022967165,0.00018183867,37355834744.0,-723189.5656493797,685,0.0003,0.2,-17.010374686121942
52.67,1090,19142977536.0,1299,0.998572826385498,0.0,900000,0.0,-0.00045864159292250404,0.00012523905,34888314649.6,-766914.7999512802,692,0.0003,0.2,-17.009973752498627
47.68,1110,17017492480.0,1295,0.9985948204994202,0.0,910000,5.960464477539063e-08,-0.00027658711314870743,6.804285e-05,34643734411.2,-686669.8030054301,702,0.0003,0.2,-17.010033099353315
50.83,1120,18897248256.0,1296,0.9986034035682678,0.0,920000,5.960464477539063e-08,-0.0006038337089194102,0.0001700968,36044437912.0,-732318.87941552,709,0.0003,0.2,-17.010354003310205
54.17,1130,20769761280.0,1297,0.9986726641654968,0.0,930000,0.0,-0.00034513190948928243,8.9512694e-05,36624642179.2,-774143.4558297101,716,0.0003,0.2,-17.010806865990162
52.14,1140,17224073216.0,1299,0.9985501766204834,0.0,940000,5.960464477539063e-08,-0.0003710616441821912,8.665065e-05,35670665840.0,-749385.8140521998,723,0.0003,0.2,-17.01051927357912
39.97,1150,18599528448.0,1300,0.9985567927360535,0.0,950000,5.960464477539063e-08,-0.00044443761344155065,0.0001141642,36513765542.4,-587278.6944492301,730,0.0003,0.2,-17.009836792945862
44.34,1170,17976745984.0,1296,0.998515784740448,0.0,960000,0.0,-0.0004361942346804426,0.00011089841,36568851113.6,-651334.16693725,740,0.0003,0.2,-17.009666216373443
