train/value_loss,train/approx_kl,time/total_timesteps,train/learning_rate,train/n_updates,train/explained_variance,time/time_elapsed,train/entropy_loss,time/fps,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/loss,train/std
4668931498.8,0.0020488491,10000,0.0003,10,3.874301910400391e-06,10,-17.02740058004856,967,-0.002811779909825418,92.47,0.000439453125,-388138.6720521,0.2,2426876928.0,1.0000096559524536
4866802124.8,0.0013725169,20000,0.0003,20,-1.1920928955078125e-07,20,-17.026480121910573,967,-0.0020823090268095256,92.87,2.44140625e-05,-408592.1205891699,0.2,2509753856.0,0.9998553395271301
4834176078.8,0.0007572862,30000,0.0003,30,1.1920928955078125e-07,31,-17.024568347632886,967,-0.0013335256264326745,79.82,0.0,-334752.97396135,0.2,2522928896.0,0.9996922016143799
4678613154.0,0.00046669607,40000,0.0003,40,0.0,41,-17.02426745444536,967,-0.0010178583484957925,80.69,0.0,-349128.70659986004,0.2,2453919232.0,0.9997973442077637
4616918693.2,0.000763451,50000,0.0003,60,-2.384185791015625e-07,56,-17.025209741294383,890,-0.0014686831730614358,91.79,0.0,-384064.0699399699,0.2,1821301760.0,0.9998826384544373
4589527077.0,0.0012104743,60000,0.0003,70,0.0,66,-17.025357657670973,902,-0.002091303286215407,100.09,0.0,-412630.32366997,0.2,2243847680.0,0.9998035430908203
4442391779.2,0.00047257327,70000,0.0003,80,1.7881393432617188e-07,76,-17.024272829294205,911,-0.0009488049612627947,91.55,0.0,-380345.69944552996,0.2,2534340608.0,0.999704897403717
4578518718.0,0.0014695269,80000,0.0003,90,0.0,87,-17.022546522319317,918,-0.002058393371771672,77.3,3.662109375e-05,-326348.4789630101,0.2,2341497856.0,0.9995144009590149
4705183868.2,0.00079522317,90000,0.0003,100,1.1920928955078125e-07,97,-17.019995225965978,923,-0.0014225367158360314,85.05,0.0,-355210.03426772996,0.2,2454637568.0,0.9992711544036865
4485689167.0,0.0010276737,100000,0.0003,120,-1.1920928955078125e-07,112,-17.021196210384367,890,-0.0016986317554255948,84.18,0.0,-354384.16624849004,0.2,1979574784.0,0.999458372592926
4469315626.8,0.0013532466,110000,0.0003,130,-1.1920928955078125e-07,122,-17.021390645205976,897,-0.0019360000816959655,88.2,4.8828125e-05,-364946.70472399995,0.2,1787063424.0,0.9995687007904053
4631895153.6,0.00064267765,120000,0.0003,140,1.1920928955078125e-07,132,-17.02210772782564,902,-0.0010764364298665896,77.02,0.0,-323364.06335048,0.2,2555544576.0,0.99957674741745
4232354256.0,0.0011311239,130000,0.0003,150,1.1920928955078125e-07,143,-17.02106196731329,907,-0.0018436222528180224,79.19,1.220703125e-05,-330884.57692465,0.2,1974189568.0,0.9993906617164612
4499592485.4,0.00044193247,140000,0.0003,170,0.0,158,-17.018201684951784,885,-0.0009653071925640688,76.61,0.0,-324074.60703106003,0.2,2265961984.0,0.999226987361908
4553964836.4,0.0006382064,150000,0.0003,180,0.0,168,-17.016302500665187,890,-0.0010982461263211007,77.0,0.0,-328171.28175757994,0.2,2119318016.0,0.9989593029022217
4547010897.8,0.0012225192,160000,0.0003,190,0.0,178,-17.013035064935686,895,-0.0018392027312074787,82.45,1.220703125e-05,-336139.59900454996,0.2,2517310464.0,0.9986863136291504
4363268451.8,0.0009360707,170000,0.0003,200,-2.384185791015625e-07,189,-17.011266265809535,899,-0.0015368842943644268,85.45,0.0,-335898.93853429996,0.2,2368882688.0,0.9986600875854492
4367105481.0,0.0011894265,180000,0.0003,210,1.1920928955078125e-07,199,-17.008488015830515,902,-0.0018430028776037944,81.99,2.44140625e-05,-331430.13980147,0.2,2333122048.0,0.9982169270515442
4444884259.6,0.00048547587,190000,0.0003,230,0.0,214,-17.003247340023517,886,-0.0010188936344093236,74.13,0.0,-302751.94857109,0.2,1979760256.0,0.9979941844940186
4298810743.6,0.0009815672,200000,0.0003,240,2.384185791015625e-07,224,-17.002433894574644,890,-0.001595531398197636,78.31,0.0,-321190.99293621996,0.2,2295797248.0,0.9978914856910706
4213144121.4,0.00061416766,210000,0.0003,250,2.384185791015625e-07,235,-17.001747228205204,893,-0.0009674851429736009,76.34,0.0,-306855.61032900994,0.2,2218444800.0,0.9978752732276917
4199506040.0,0.00041486957,220000,0.0003,260,0.0,245,-17.00084825605154,895,-0.0008098970090941293,73.17,0.0,-293155.9423359,0.2,1979531392.0,0.997755765914917
4589443535.8,0.0008373207,230000,0.0003,280,-2.384185791015625e-07,260,-16.996462151408195,882,-0.0014617706703575096,77.08,0.0,-317232.28231096006,0.2,2091446784.0,0.9974308609962463
4023439098.8,0.0004569022,240000,0.0003,290,1.7881393432617188e-07,270,-16.993383342027663,885,-0.0010895479203099968,80.66,0.0,-327639.9987307,0.2,1895418624.0,0.9969366192817688
4198475082.2,0.0006018146,250000,0.0003,300,0.0,281,-16.989395140111448,888,-0.0011674041426886106,88.16,0.0,-348520.2622909301,0.2,2094265344.0,0.9967628121376038
