train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef,train/actor_loss,time/fps,train/ent_coef_loss
7149.8427734375,0.0003,75,-3362416.702089307,2474,113.09333333333333,10000,62,1.649397373199463,296979.34375,160,-11.77315902709961
7798.71923828125,0.0003,104,-6112372.984566241,4974,180.32,20000,126,3.7727019786834717,691185.5,157,-23.850629806518555
11364.94921875,0.0003,165,-7694333.570402771,7474,221.49,30000,191,7.21217679977417,976121.0625,156,-18.859928131103516
8255.9638671875,0.0003,212,-5550389.5903729,9974,182.82,40000,255,15.04461669921875,1185765.375,156,-40.22963333129883
14467.12890625,0.0003,248,-6326852.64166282,12474,216.99,50000,319,27.668230056762695,1323212.375,156,-23.485986709594727
11786.1748046875,0.0003,273,-8213980.84709084,14974,274.35,60000,384,50.83928680419922,1481170.5,156,-20.79734230041504
22626.408203125,0.0003,340,-7043584.025688111,17474,234.69,70000,448,86.042236328125,1513184.75,156,-2.929304361343384
23916.765625,0.0003,368,-5911526.599662141,19974,216.75,80000,512,106.36903381347656,1588449.875,156,1.8350310325622559
22328.61328125,0.0003,384,-7081023.64284766,22474,258.99,90000,576,99.82544708251953,1649489.125,156,2.747037887573242
21494.3203125,0.0003,413,-9013127.43166272,24974,329.2,100000,640,117.33680725097656,1676528.625,156,-1.4870771169662476
16032.9638671875,0.0003,651,-640544.12843535,27474,24.3,110000,705,134.79745483398438,1714990.5,156,1.745155692100525
19495.93359375,0.0003,835,-1820104.4480033796,29974,64.38,120000,769,140.27227783203125,1766606.875,155,-4.457475662231445
22060.44140625,0.0003,933,-3368772.18101961,32474,112.16,130000,833,129.7682647705078,1793881.125,155,-1.4731452465057373
28336.984375,0.0003,977,-4103949.58555766,34974,139.1,140000,898,135.72227478027344,1828062.25,155,-0.1326470971107483
21901.904296875,0.0003,1037,-5829973.23286723,37474,195.32,150000,962,118.89391326904297,1878380.875,155,-0.5303057432174683
