train/learning_rate,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/is_line_search_success,rollout/ep_len_mean,train/std,time/fps,train/kl_divergence_loss,time/total_timesteps,rollout/ep_rew_mean,train/policy_objective
0.001,29,-1.1920928955078125e-06,1,40632528569.6,1.0,67.1,1.010870337486267,342,0.0052326396107673645,10000,-966942.56460971,0.06435920298099518
0.001,65,0.0,2,34877529734.4,1.0,49.66,1.0057207345962524,304,0.005519898608326912,20000,-695737.37071554,0.054356496781110764
0.001,76,5.960464477539063e-08,3,32603807785.6,1.0,46.64,0.9992660880088806,393,0.004994137678295374,30000,-641338.06367781,0.05009270831942558
0.001,98,-1.1920928955078125e-07,4,30542175459.2,1.0,38.91,1.0041645765304565,405,0.00549807446077466,40000,-539427.16852598,0.058669254183769226
0.001,130,0.0,6,26853977142.4,1.0,35.52,0.9738430380821228,382,0.005801134277135134,50000,-487797.6597220499,0.05891181156039238
0.001,146,-2.384185791015625e-07,7,24506961756.8,1.0,29.53,0.9688713550567627,410,0.004373718053102493,60000,-414490.28393584996,0.0540146678686142
0.001,160,0.0,8,24228062870.4,1.0,28.15,0.9638573527336121,435,0.005460756365209818,70000,-394967.74623367994,0.05627083033323288
0.001,174,0.0,9,23352656585.6,1.0,24.93,0.966815173625946,459,0.005567464511841536,80000,-351436.85995102004,0.06279387325048447
0.001,186,2.384185791015625e-07,10,21933292208.0,1.0,21.54,0.9723823070526123,483,0.004775212612003088,90000,-314265.13999988,0.05384203791618347
0.001,205,1.7881393432617188e-07,12,20209750761.6,1.0,19.29,0.9680412411689758,485,0.005638621747493744,100000,-288663.23133231,0.06261733174324036
0.001,220,0.0,13,19402836211.2,1.0,16.17,0.9645203948020935,498,0.006089737173169851,110000,-250451.2392842,0.05232338234782219
0.001,233,0.0,14,18030960428.8,1.0,12.45,0.9584410190582275,513,0.006205376237630844,120000,-212101.28886864,0.05802310258150101
0.001,250,0.0,15,16853760489.6,1.0,12.55,0.9474215507507324,519,0.005893958266824484,130000,-213178.98722831,0.0653725117444992
0.001,280,0.0,17,15348516502.4,1.0,11.56,0.9182719588279724,498,0.0060066841542720795,140000,-202716.36196737998,0.05996076762676239
0.001,297,-3.5762786865234375e-07,18,14857190056.0,1.0,10.48,0.914013147354126,504,0.005939984228461981,150000,-190330.76446247997,0.05225762352347374
0.001,311,-2.384185791015625e-07,19,14535009588.8,1.0,9.53,0.9047858119010925,514,0.006465032231062651,160000,-180306.65057938002,0.04628013074398041
0.001,330,1.7881393432617188e-07,20,14262603876.8,1.0,9.1,0.891570508480072,514,0.006594745442271233,170000,-175864.29878145,0.050681665539741516
0.001,351,0.0,21,13532537108.8,1.0,9.16,0.8841724991798401,512,0.006191404070705175,180000,-176284.17248475004,0.04751982167363167
0.001,378,0.0,23,13121378174.4,1.0,8.57,0.8646064400672913,501,0.008474030531942844,190000,-169731.42264597001,0.05748319625854492
0.001,396,-2.384185791015625e-07,24,12881232542.4,1.0,8.93,0.8620620369911194,504,0.006667258683592081,200000,-173268.51185711005,0.04184660315513611
0.001,415,0.0,25,13018454462.4,1.0,8.84,0.8521214127540588,504,0.006950961891561747,210000,-173148.35717282994,0.052174296230077744
0.001,431,0.0,26,12408232699.2,1.0,7.58,0.8423521518707275,510,0.00832830835133791,220000,-159308.42084742998,0.053711555898189545
0.001,456,0.0,28,12604120096.0,1.0,8.05,0.8309200406074524,504,0.006514884997159243,230000,-163504.13514892999,0.04264143854379654
0.001,478,0.0,29,12118270593.6,1.0,7.67,0.8297725319862366,501,0.009088623337447643,240000,-159395.44807406,0.04742775484919548
0.001,503,0.0,30,12156335105.6,1.0,8.43,0.8281572461128235,496,0.008243019692599773,250000,-167626.92273519,0.048009056597948074
0.001,519,0.0,31,12101824473.6,1.0,7.54,0.824484646320343,500,0.006479952018707991,260000,-157756.42301549998,0.053313884884119034
0.001,537,0.0,32,11719361977.6,1.0,7.8,0.8147268295288086,502,0.008197840303182602,270000,-160103.20062491,0.048897355794906616
0.001,565,0.0,34,11824774312.0,1.0,7.76,0.8052704930305481,495,0.007705023046582937,280000,-159719.4583707,0.040406953543424606
0.001,585,1.1920928955078125e-07,35,11866721654.4,1.0,7.43,0.8031406402587891,494,0.006974790245294571,290000,-155696.95496652002,0.06437818706035614
0.001,600,0.0,36,11531584040.0,1.0,8.05,0.8016354441642761,499,0.00755457254126668,300000,-164750.89509638998,0.03714216873049736
0.001,616,0.0,37,11916132428.8,1.0,8.4,0.7985243797302246,503,0.009364639408886433,310000,-165924.40463097,0.05053971707820892
0.001,637,1.7881393432617188e-07,39,11687028363.2,1.0,7.44,0.7921333909034729,501,0.005477405618876219,320000,-155809.46265181003,0.04172365739941597
0.001,650,0.0,40,11435635697.6,1.0,7.59,0.7855793833732605,507,0.007601158693432808,330000,-156859.61693726003,0.041509438306093216
0.001,663,0.0,41,11376335678.4,1.0,7.43,0.7816319465637207,512,0.007876900024712086,340000,-155306.74549742998,0.02096022106707096
0.001,676,0.0,42,11563578643.2,1.0,7.62,0.7789551615715027,517,0.009686746634542942,350000,-157954.88335098003,0.0326496846973896
0.001,687,0.0,43,11405302707.2,1.0,7.71,0.7796817421913147,523,0.006736369337886572,360000,-158336.48134738003,0.04109863191843033
0.001,710,1.7881393432617188e-07,45,11491770595.2,1.0,7.42,0.7749094367027283,520,0.009160422720015049,370000,-155503.85132015997,0.049112915992736816
0.001,724,0.0,46,11493164192.0,1.0,7.33,0.7742774486541748,524,0.007794132921844721,380000,-154443.20357879,0.040842968970537186
0.001,735,0.0,47,11353497548.8,1.0,7.29,0.7727031707763672,530,0.005340529140084982,390000,-154065.71823614,0.01753314584493637
0.001,747,-1.1920928955078125e-07,48,11319162424.0,1.0,7.31,0.7712917327880859,535,0.008286567404866219,400000,-154566.50321201,0.038556426763534546
0.001,766,-1.1920928955078125e-07,50,11216227315.2,1.0,7.6,0.7673490047454834,535,0.007567543536424637,410000,-157081.94087219,0.04192166030406952
0.001,780,0.0,51,11210564680.0,1.0,7.21,0.7664744853973389,538,0.008863991126418114,420000,-153475.43540448998,0.04461324214935303
0.001,793,-1.1920928955078125e-07,52,11344775571.2,1.0,7.38,0.7656741142272949,541,0.006839752662926912,430000,-154877.85863765,0.031621500849723816
0.001,807,0.0,53,11332842545.6,1.0,7.17,0.7647026181221008,544,0.0070802620612084866,440000,-152641.29826577997,0.04260135814547539
0.001,819,0.0,54,11157282056.0,1.0,7.08,0.7638352513313293,548,0.006970176473259926,450000,-152048.91508728,0.026299074292182922
0.001,844,0.0,56,11292502699.2,1.0,7.32,0.7611655592918396,544,0.009721954353153706,460000,-154278.39868274002,0.04182501509785652
0.001,859,0.0,57,11244871352.0,1.0,7.12,0.7571576237678528,546,0.009576004929840565,470000,-152139.06345970999,0.044042427092790604
0.001,882,0.0,58,11155790771.2,1.0,7.12,0.7548075318336487,543,0.008078283630311489,480000,-152292.14498237998,0.027538102120161057
0.001,907,0.0,59,11057739577.6,1.0,7.24,0.7515737414360046,539,0.008676824159920216,490000,-153224.9933872,0.03361699730157852
0.001,947,0.0,61,11110914345.6,1.0,7.2,0.7500637173652649,527,0.006343163549900055,500000,-152872.54893497002,0.02834511362016201
0.001,969,0.0,62,11314170102.4,1.0,7.69,0.7489330172538757,525,0.00645566126331687,510000,-157240.22265089,0.039538878947496414
0.001,990,-1.1920928955078125e-07,63,11138122600.0,1.0,7.27,0.7471179366111755,525,0.009121370501816273,520000,-153511.07555535997,0.038489583879709244
0.001,1003,0.0,64,11496751905.6,1.0,7.32,0.7470785975456238,528,0.0060822623781859875,530000,-153637.69157334,0.040962103754282
0.001,1022,0.0,65,11262446800.0,1.0,7.6,0.7443844676017761,527,0.006562560331076384,540000,-156325.99298003002,0.03179726004600525
0.001,1052,1.7881393432617188e-07,67,11098107238.4,1.0,7.58,0.7442929148674011,522,0.0060323984362185,550000,-155963.93421886998,0.019117122516036034
0.001,1070,0.0,68,11151413089.6,1.0,7.89,0.7456422448158264,523,0.006276686210185289,560000,-159521.62597249998,0.02987758442759514
0.001,1088,0.0,69,11112849923.2,1.0,7.44,0.7446539402008057,523,0.007691726554185152,570000,-155274.95518497002,0.043885499238967896
