time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/iterations,rollout/return_std,train/learning_rate,train/step_size,train/delta_std
10000,-33377408.31234533,7,670.0,1389,,,,,
20000,-39976046.459666,14,802.0,1405,,,,,
30000,-31906078.635279905,21,641.7272727272727,1416,,,,,
40000,-34588221.74366407,28,696.8461538461538,1422,,,,,
50000,,34,,1439,0,22094672.0,0.02,1.1314945508322793e-10,0.05
60000,-25094097.10411625,41,504.25,1452,,,,,
70000,-35777677.53405886,48,716.7142857142857,1455,,,,,
80000,-35084426.639336206,54,703.0,1462,,,,,
90000,-38525717.07655562,61,771.5384615384615,1463,,,,,
100000,,68,,1469,1,22267606.0,0.02,1.1227071355923712e-10,0.05
110000,-25299669.600807503,74,509.5,1473,,,,,
120000,-31492727.81563725,81,632.125,1478,,,,,
130000,-36425046.65878573,87,732.4545454545455,1483,,,,,
140000,-35887883.981721714,94,721.4285714285714,1488,,,,,
150000,-50021770.0,100,1000.0,1493,2,21963414.0,0.02,1.138256572330576e-10,0.05
160000,-50084726.51768133,106,1000.0,1496,,,,,
170000,-37609157.760149494,113,754.0,1501,,,,,
180000,-40104370.079899594,119,803.2,1505,,,,,
190000,-36833575.1650104,126,737.8666666666667,1507,,,,,
200000,-25301995.901607003,132,511.0,1510,3,22189034.0,0.02,1.1266826360767368e-10,0.05
210000,-40107817.3392122,138,804.4,1513,,,,,
220000,-42942462.026414864,145,860.2857142857143,1514,,,,,
230000,-45082395.0583047,151,902.2,1517,,,,,
240000,-45918929.39745059,158,918.5,1518,,,,,
250000,,164,,1520,4,16946716.0,0.02,1.4752120358618726e-10,0.05
260000,-25106452.829357002,170,504.0,1520,,,,,
270000,-35831952.67600686,177,716.5714285714286,1522,,,,,
280000,-38919822.467677556,183,779.5555555555555,1522,,,,,
290000,-38537661.18616677,190,771.8461538461538,1522,,,,,
300000,-40073240.96923014,197,802.2666666666667,1522,,,,,
310000,-33517873.574931,203,670.3333333333334,1522,5,20058642.0,0.02,1.246345526784154e-10,0.05
320000,-40011851.7924,210,802.2,1521,,,,,
330000,-43780099.19872,217,876.375,1520,,,,,
340000,-40969657.32236318,223,820.1818181818181,1519,,,,,
350000,,230,,1518,6,22170390.0,0.02,1.1276301420393153e-10,0.05
360000,-49880715.929800496,237,1000.0,1517,,,,,
370000,-41731517.730166994,243,836.0,1516,,,,,
380000,-43767120.795209125,250,877.0,1515,,,,,
390000,-45468851.793631904,257,910.5454545454545,1514,,,,,
400000,-46179194.11548846,264,924.3076923076923,1514,,,,,
410000,,270,,1513,7,12427916.0,0.02,2.011600330753538e-10,0.05
420000,-50107870.014919505,277,1000.0,1514,,,,,
430000,-49972421.132165395,283,1000.0,1515,,,,,
440000,-49919867.206954576,290,1000.0,1515,,,,,
450000,-49951705.70323239,296,1000.0,1516,,,,,
460000,-49965701.54116433,303,1000.0,1517,,,,,
470000,-49952417.38925266,309,1000.0,1517,,,,,
480000,-25136011.201324,316,504.5,1518,8,178305.1875,0.02,1.4020904437472836e-08,0.05
490000,-33400943.402778998,322,671.5,1518,,,,,
500000,-37597185.51441662,329,753.625,1517,,,,,
510000,-40969908.75359691,336,820.8181818181819,1516,,,,,
520000,-42378418.817421235,342,848.3846153846154,1516,,,,,
530000,-695436.855116,349,20.0,1515,9,16980900.0,0.02,1.4722423280488783e-10,0.05
540000,-25257167.086649,356,509.0,1514,,,,,
550000,-35787928.02966143,363,719.4285714285714,1514,,,,,
560000,-38972305.13418111,369,781.7777777777778,1514,,,,,
570000,-41707745.14138867,376,836.3333333333334,1513,,,,,
