train/actor_loss,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_len_mean
2621.7412109375,358,0.001,2474,-305748.40432467,240,-39.90299987792969,10000,296249856.0,2.3951075077056885,41,23.21
9478.177734375,805,0.001,4974,-158839.49502467,248,-58.62313461303711,20000,128170144.0,5.506532669067383,80,26.42
14712.3330078125,1269,0.001,7474,-122512.15940697999,250,-50.993446350097656,30000,122985664.0,10.444437980651855,119,22.88
16272.55078125,1716,0.001,9974,-101980.78404746001,251,-44.064857482910156,40000,57253000.0,17.82988166809082,159,24.82
20834.94921875,2095,0.001,12474,-149191.11469953,251,-28.45844268798828,50000,109552448.0,27.97564697265625,198,26.44
24067.654296875,2521,0.001,14974,-99558.50583567,252,-21.808277130126953,60000,68036048.0,39.98833084106445,237,20.66
22801.564453125,2868,0.001,17474,-99338.57736583,252,-11.306446075439453,70000,72141896.0,52.894412994384766,276,27.09
26078.89453125,3232,0.001,19974,-103087.21197513999,252,-0.6367883682250977,80000,81831200.0,60.29090118408203,316,36.93
30835.36328125,3585,0.001,22474,-103576.00891669998,253,1.1419095993041992,90000,95036928.0,62.33341979980469,355,28.64
34794.6875,3934,0.001,24974,-100398.10267035,253,-1.203869104385376,100000,46106508.0,65.0953598022461,394,30.07
36496.90234375,4207,0.001,27474,-92142.46222534003,253,-0.3178548812866211,110000,52619172.0,55.63686752319336,434,47.23
36630.578125,4413,0.001,29974,-88770.3720182,253,-0.3938460946083069,120000,41387040.0,54.50645446777344,473,47.24
38421.203125,4605,0.001,32474,-92987.86883616999,253,0.12274827063083649,130000,36426296.0,43.02426528930664,512,56.27
40138.4765625,4784,0.001,34974,-120961.82925033997,253,-2.2176241874694824,140000,44122520.0,37.24132537841797,552,54.57
38127.51171875,4956,0.001,37474,-87204.06581789002,253,-0.7763984203338623,150000,30386696.0,37.48481750488281,591,59.83
40034.03515625,5150,0.001,39974,-100264.84788555001,253,0.09591135382652283,160000,31533848.0,35.910240173339844,630,45.67
42011.828125,5303,0.001,42474,-86945.46563449001,253,-1.0182875394821167,170000,32045280.0,34.944862365722656,669,54.06
42751.7109375,5352,0.001,44974,-120361.61798266001,253,0.2918570041656494,180000,13840388.0,34.90814208984375,709,132.07
44403.9453125,5408,0.001,47474,-115495.99912053999,253,-0.20906764268875122,190000,21419064.0,33.569671630859375,748,181.0
41124.23046875,5427,0.001,49974,-128155.63890153001,253,-0.07851624488830566,200000,28888956.0,31.149023056030273,787,251.48
41516.515625,5446,0.001,52474,-125006.14494084999,254,0.41915732622146606,210000,24973096.0,30.346677780151367,826,304.26
39972.625,5465,0.001,54974,-127749.00619930003,254,0.04889988899230957,220000,23298110.0,29.905471801757812,865,386.88
37559.421875,5498,0.001,57474,-149049.11068313,254,1.432340383529663,230000,14909812.0,28.42790985107422,905,420.37
