time/fps,rollout/ep_rew_mean,time/total_timesteps,train/std,train/learning_rate,train/clip_range,time/time_elapsed,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction
670,-237299.61021751992,10000,0.9998970031738281,0.0003,0.2,14,-21.283368790149687,33.15,8324595623.2,-0.005017212218263012,9.59634780883789e-06,3689909760.0,0.003120529,10,0.00255126953125
668,-214296.49972451996,20000,0.9996609091758728,0.0003,0.2,29,-21.28081194013357,30.94,8053960510.8,-0.003522228798465221,0.0,3536841472.0,0.0021411208,20,0.000341796875
668,-218253.92365636,30000,0.9996988773345947,0.0003,0.2,44,-21.279284773766996,32.08,8051830886.0,-0.0029224933165096444,0.0,4054314496.0,0.0016849127,30,0.00025634765625
670,-217817.33525593003,40000,0.99949049949646,0.0003,0.2,59,-21.277963368594648,30.14,7987419316.8,-0.0017844410735051498,-1.1920928955078125e-07,3842911744.0,0.000947833,40,0.0
614,-208742.73418640997,50000,0.9992682933807373,0.0003,0.2,81,-21.273472909629344,30.31,7427999864.0,-0.0015560644276774837,-1.1920928955078125e-07,3234908416.0,0.0008348791,60,0.0
621,-204882.57167989,60000,0.9991893172264099,0.0003,0.2,96,-21.272463098168373,29.21,7851610622.0,-0.0014908379518601578,1.1920928955078125e-07,4234548224.0,0.0007353823,70,0.0
628,-191871.54612817997,70000,0.9990630745887756,0.0003,0.2,111,-21.270978254079818,28.76,7930294659.6,-0.0015433675418535131,0.0,3335003136.0,0.00073843624,80,0.0
632,-198358.84571845003,80000,0.9989602565765381,0.0003,0.2,126,-21.269233854115008,29.81,7700635446.4,-0.0008650675263197627,0.0,3800077824.0,0.00038585367,90,0.0
635,-181574.74163684997,90000,0.9989017248153687,0.0003,0.2,141,-21.26797445714474,25.42,7567759024.4,-0.0011931668001125217,0.0,3641534464.0,0.0004847041,100,0.0
611,-189464.84081054002,100000,0.9989668130874634,0.0003,0.2,163,-21.26759701818228,28.43,7574888160.8,-0.0009382433552673319,0.0,3703324672.0,0.00038608362,120,0.0
616,-190725.41733936992,110000,0.9988172054290771,0.0003,0.2,178,-21.267446748912334,27.56,7924337070.4,-0.0009347992581751896,0.0,3896781824.0,0.00039758443,130,0.0
620,-192627.53313555996,120000,0.9988847970962524,0.0003,0.2,193,-21.26673631221056,27.25,7972626610.0,-0.0012060249548085267,0.0,3934114560.0,0.0004976362,140,0.0
623,-189447.50064214,130000,0.9990233778953552,0.0003,0.2,208,-21.268331737816332,26.26,7632548180.8,-0.0007867183766393282,0.0,3590425856.0,0.00024911284,150,0.0
619,-194862.17366782003,140000,0.9990545511245728,0.0003,0.2,225,-21.268956108391286,28.84,8073324850.4,-0.0013828326004841074,0.0,3580458496.0,0.0006085784,170,0.0
630,-191888.40949987996,150000,0.9991000890731812,0.0003,0.2,237,-21.27028689533472,28.02,7642197464.8,-0.0008293964661788778,0.0,3699532032.0,0.00032840366,180,0.0
640,-197872.37541424,160000,0.9989470839500427,0.0003,0.2,249,-21.2693286344409,29.03,7845438808.4,-0.0014471207543465426,0.0,4527464960.0,0.0007194432,190,0.0
649,-203207.74047282,170000,0.9989078640937805,0.0003,0.2,261,-21.26787695735693,30.42,7871105519.6,-0.0008349232485670655,-1.1920928955078125e-07,4224885760.0,0.0003253749,200,0.0
658,-197963.61505154,180000,0.9988535046577454,0.0003,0.2,273,-21.267214132845403,29.19,7692484995.2,-0.0015478128378163091,0.0,3716309760.0,0.00072241377,210,1.220703125e-05
654,-166427.82732182002,190000,0.998537003993988,0.0003,0.2,290,-21.26344575583935,24.02,7295805801.2,-0.0011777167483160156,0.0,3447566592.0,0.0004916651,230,0.0
661,-191882.00560481,200000,0.9984710216522217,0.0003,0.2,302,-21.26153068840504,27.97,7114703743.6,-0.000779508065625123,0.0,3616324608.0,0.00031341994,240,0.0
668,-185868.81083197,210000,0.998379647731781,0.0003,0.2,314,-21.260333198308945,28.3,7472643814.4,-0.0011072635326854652,0.0,3842977792.0,0.0004799747,250,0.0
674,-189394.04970196,220000,0.9982607364654541,0.0003,0.2,325,-21.258824536204337,28.63,7428778195.2,-0.00103035394786275,0.0,3567657472.0,0.00045875428,260,0.0
670,-164885.78416044998,230000,0.9982856512069702,0.0003,0.2,342,-21.258670581877233,22.62,7493632312.8,-0.001249662332702428,0.0,3529378560.0,0.0005652073,280,0.0
676,-180881.48145022002,240000,0.9981682896614075,0.0003,0.2,354,-21.25739829838276,27.92,7404756064.8,-0.0010561259003225131,0.0,3662948352.0,0.00043924013,290,0.0
682,-168629.79166535998,250000,0.9981266260147095,0.0003,0.2,366,-21.25616851001978,24.9,6962603040.4,-0.0013747801420322503,0.0,3932957952.0,0.0007166532,300,0.0
687,-196302.39340815996,260000,0.9980027079582214,0.0003,0.2,378,-21.25487488657236,30.95,7205305831.2,-0.001483951579029963,-1.1920928955078125e-07,3907008000.0,0.0007308251,310,0.0
691,-179240.0120621,270000,0.9979403018951416,0.0003,0.2,390,-21.253518155217172,26.6,7087155232.8,-0.0012713591266674483,1.1920928955078125e-07,3449158656.0,0.00064571376,320,0.0
687,-169614.09738768003,280000,0.998004138469696,0.0003,0.2,407,-21.253644040226938,24.38,7327359362.8,-0.0009770490460141446,0.0,3753749248.0,0.0003316272,340,0.0
691,-166744.54646915998,290000,0.997999370098114,0.0003,0.2,419,-21.2539266332984,24.53,7250290303.6,-0.0010250829380311188,-1.1920928955078125e-07,3894261504.0,0.00050989224,350,0.0
695,-191263.63925507996,300000,0.9980185627937317,0.0003,0.2,431,-21.254044604301452,30.25,6844734344.8,-0.0016293817330733872,-1.1920928955078125e-07,3819058688.0,0.00092028966,360,0.0
699,-163285.63759816,310000,0.9977876543998718,0.0003,0.2,443,-21.252474622428416,24.91,7060038683.2,-0.0011256588080868824,1.1920928955078125e-07,3599416320.0,0.0004968343,370,0.0
694,-188340.45441245998,320000,0.997362494468689,0.0003,0.2,460,-21.245781794190407,28.55,7198820749.2,-0.0009444894655644021,0.0,3509133568.0,0.0002789817,390,0.0
698,-179719.58252606998,330000,0.9972547888755798,0.0003,0.2,472,-21.24345024675131,26.45,7395331300.8,-0.0010894507147895637,0.0,4064266496.0,0.00048304035,400,0.0
701,-177812.27758671998,340000,0.9972236752510071,0.0003,0.2,484,-21.24243677854538,27.16,7068899402.4,-0.0011917417707081768,0.0,3198140672.0,0.0005204501,410,0.0
704,-171242.83060703997,350000,0.9971798658370972,0.0003,0.2,496,-21.24189060032368,26.36,6809835429.2,-0.0006733326768880943,0.0,3443837696.0,0.00020912994,420,0.0
707,-174248.27988008998,360000,0.9971230030059814,0.0003,0.2,508,-21.241084271669386,26.6,7079167597.2,-0.0012857120304033743,-1.1920928955078125e-07,3067532032.0,0.00067604426,430,0.0
703,-163558.88308975,370000,0.9971047043800354,0.0003,0.2,525,-21.240807595849038,24.89,6678516460.4,-0.0007954996481203125,1.1920928955078125e-07,3216062976.0,0.00035555754,450,0.0
706,-177440.18025346997,380000,0.997157871723175,0.0003,0.2,537,-21.240694350004198,26.76,6744599668.0,-0.0014088217956668813,1.1920928955078125e-07,2662443520.0,0.00073281385,460,0.0
709,-169004.03307183002,390000,0.9969303607940674,0.0003,0.2,549,-21.239427334070207,25.42,6898785284.4,-0.0008106189643513062,0.0,3417861888.0,0.00029768515,470,0.0
711,-179174.97677662,400000,0.9967247247695923,0.0003,0.2,561,-21.236196883022785,27.8,7022816814.0,-0.0014083667465456529,0.0,3478676992.0,0.0006348663,480,0.0
708,-164057.7866717,410000,0.9963920712471008,0.0003,0.2,578,-21.230950678884984,25.07,6695516691.2,-0.0016438021601061336,0.0,3326162944.0,0.0008936465,500,0.0
711,-163308.32272017,420000,0.9962819814682007,0.0003,0.2,590,-21.228722831606866,23.97,6971599743.2,-0.0010278996367560466,0.0,3586764800.0,0.00043200928,510,0.0
713,-168009.80402954,430000,0.9960607290267944,0.0003,0.2,602,-21.226245975494386,24.54,6625785704.4,-0.0010423305779113435,0.0,3322473216.0,0.00042939518,520,0.0
716,-150770.64102697,440000,0.9961130023002625,0.0003,0.2,614,-21.224876372516157,22.42,6663883544.0,-0.0011074855227889203,1.1920928955078125e-07,3481532928.0,0.0005704869,530,0.0
718,-166248.45111988002,450000,0.9961385726928711,0.0003,0.2,626,-21.22552247941494,25.36,6829193814.8,-0.0010936506965663283,0.0,3392754432.0,0.00060515583,540,0.0
715,-159238.03586473,460000,0.9960004687309265,0.0003,0.2,642,-21.223937603831292,23.37,6956931943.6,-0.0014813709778536577,0.0,3292141312.0,0.0007986137,560,0.0
717,-178466.99255323998,470000,0.9957780838012695,0.0003,0.2,654,-21.22196757644415,27.08,6506333764.8,-0.0011021039623301475,-1.1920928955078125e-07,3399290880.0,0.00052155764,570,0.0
720,-173928.05834523,480000,0.9956730604171753,0.0003,0.2,666,-21.21949351876974,28.27,7067303887.2,-0.001135102462285431,-1.1920928955078125e-07,3551176960.0,0.0005069581,580,0.0
