train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/clip_range,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/clip_fraction
-0.0011300149046292063,0.00029798958,33314787328.0,0.0,12,0.2,10000,76491338259.2,-21.28396846652031,0.0003,10,-694966.5804713801,811,26.07,0.9999839663505554,0.0
-0.0007319125164940487,0.00017111762,38792892416.0,0.0,23,0.2,20000,86600211321.6,-21.283683809638024,0.0003,20,-687306.55065312,847,25.71,0.9999624490737915,0.0
-0.000713665066723479,0.0001697192,41020309504.0,0.0,34,0.2,30000,79929005312.0,-21.28382478952408,0.0003,30,-683288.02727325,860,25.64,1.0000040531158447,0.0
-0.0008984124897324364,0.00021391314,38399762432.0,0.0,46,0.2,40000,85096683334.4,-21.28437249660492,0.0003,40,-658803.7062546299,864,24.56,1.0000338554382324,0.0
-0.0008186661780200666,0.00020328183,39961444352.0,0.0,62,0.2,50000,79212742998.4,-21.28403475433588,0.0003,60,-576000.67270745,802,21.07,0.9999818801879883,0.0
-0.0008933108323617489,0.0002203252,39439695872.0,0.0,73,0.2,60000,79052282428.8,-21.283348879218103,0.0003,70,-620538.1038068801,815,22.98,0.9999195337295532,0.0
-0.0003497882984447642,7.558841e-05,50996535296.0,0.0,84,0.2,70000,82155466803.2,-21.283050937950613,0.0003,80,-634894.98516328,825,23.53,0.999946653842926,0.0
-0.0005760848160207388,0.00014193884,41833156608.0,0.0,95,0.2,80000,77918005497.6,-21.28303309828043,0.0003,90,-606664.6442911201,834,22.39,0.999914288520813,0.0
-0.0004981546417639037,0.00012025738,39111827456.0,0.0,107,0.2,90000,78782435635.2,-21.282488086819647,0.0003,100,-589739.8326341,839,21.84,0.9998734593391418,0.0
-0.0003128033045868506,6.9546586e-05,42619977728.0,0.0,123,0.2,100000,84238060681.6,-21.28196887820959,0.0003,120,-716070.3562574901,812,26.57,0.9998349547386169,0.0
-0.0004148825033553294,9.3013325e-05,40864698368.0,1.1920928955078125e-07,134,0.2,110000,76914403686.4,-21.281185860931874,0.0003,130,-624729.9241240401,818,23.08,0.9997785091400146,0.0
-0.0005313421184837353,0.00012626019,35327389696.0,-1.1920928955078125e-07,145,0.2,120000,74399240249.6,-21.280134244263174,0.0003,140,-547017.3932143799,825,19.87,0.9996963739395142,0.0
-0.00037991317913110834,8.224176e-05,40361127936.0,0.0,156,0.2,130000,80315306192.0,-21.28008528649807,0.0003,150,-561533.55591199,831,20.79,0.9997729659080505,0.0
-0.0007688258490816224,0.00018644435,40935436288.0,0.0,172,0.2,140000,83454939932.8,-21.2806642845273,0.0003,170,-539514.45172496,813,19.78,0.9997872114181519,0.0
-0.000533614874984778,0.00012159726,36588634112.0,-1.1920928955078125e-07,182,0.2,150000,78364273660.8,-21.28055379986763,0.0003,180,-556739.3978475999,819,20.42,0.9997460246086121,0.0
-0.00042902931836579227,0.00010142297,36986667008.0,0.0,193,0.2,160000,80064397817.6,-21.280419339239597,0.0003,190,-532679.56287691,825,19.39,0.9997653961181641,0.0
-0.0006641654470513458,0.0001491808,47417413632.0,1.1920928955078125e-07,205,0.2,170000,81624524732.8,-21.280390596389772,0.0003,200,-598024.67007901,828,21.94,0.9997425079345703,0.0
-0.0005145801141225092,0.00011640203,41005334528.0,0.0,216,0.2,180000,82784097577.6,-21.280208295583726,0.0003,210,-545502.4514475,830,20.07,0.9997422099113464,0.0
-0.0004181513458206609,9.035457e-05,43688398848.0,0.0,233,0.2,190000,77966715132.8,-21.2799543261528,0.0003,230,-496939.25242575986,814,17.99,0.9997097849845886,0.0
-0.0005478400575157138,0.00013273716,38492151808.0,1.1920928955078125e-07,244,0.2,200000,79102481449.6,-21.279784747958182,0.0003,240,-580297.8525362901,816,21.75,0.9997201561927795,0.0
-0.00032505933304491916,6.471374e-05,37380935680.0,5.960464477539063e-08,256,0.2,210000,83743610060.8,-21.279936158657073,0.0003,250,-501473.38581501006,818,18.15,0.9997292160987854,0.0
-0.00041475792959317915,9.731982e-05,38148378624.0,-1.1920928955078125e-07,268,0.2,220000,75736392851.2,-21.279971000552177,0.0003,260,-538027.00063095,820,19.86,0.9997223615646362,0.0
-0.00036400054414116313,7.201336e-05,38495424512.0,0.0,284,0.2,230000,78985026396.8,-21.280536144971848,0.0003,280,-554421.56844997,808,20.11,0.9997703433036804,0.0
-0.00042679837333707836,0.00010168508,39518396416.0,0.0,296,0.2,240000,76673748633.6,-21.280143067240715,0.0003,290,-476157.46754741,810,17.22,0.9997047781944275,0.0
-0.00033497994772915265,6.610884e-05,37410406400.0,1.7881393432617188e-07,307,0.2,250000,73086379097.6,-21.27998479306698,0.0003,300,-589608.15713669,812,21.97,0.9997512698173523,0.0
-0.00033553892008058027,7.23551e-05,40812441600.0,-1.1920928955078125e-07,319,0.2,260000,81547874166.4,-21.28055641502142,0.0003,310,-512899.90453165,814,18.74,0.9997801184654236,0.0
-0.00033818968458945167,7.3224175e-05,40583233536.0,0.0,330,0.2,270000,77683999148.8,-21.281133382022382,0.0003,320,-532355.5098891001,817,19.47,0.9998303055763245,0.0
-0.00019553490442376643,4.2191714e-05,36772921344.0,0.0,346,0.2,280000,76104896252.8,-21.281207163631915,0.0003,340,-526224.86931246,808,19.02,0.9997828006744385,0.0
-0.000526681760129577,0.0001243285,36449005568.0,1.7881393432617188e-07,357,0.2,290000,76133621241.6,-21.280724117159842,0.0003,350,-402682.90279606014,811,14.14,0.9997715353965759,0.0
