train/policy_gradient_loss,train/clip_fraction,time/time_elapsed,train/std,train/n_updates,time/total_timesteps,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/learning_rate,time/fps,train/loss
-0.000403168913180707,0.0,11,0.9999918341636658,10,10000,8.009854e-05,-21.28399803340435,-1339658.25009982,107217622099.2,54.68,-3.5762786865234375e-07,0.2,0.0003,901,46749396992.0
-0.0002836060320987599,0.0,21,1.0000245571136475,20,20000,5.046148e-05,-21.284207890927792,-1539203.1414641002,113952960204.8,62.23,-1.1920928955078125e-07,0.2,0.0003,915,58530250752.0
-0.00030818744362477447,0.0,32,1.0000454187393188,30,30000,5.2894247e-05,-21.284621226787568,-1472267.20898919,111642265990.4,60.3,0.0,0.2,0.0003,925,56773820416.0
-0.0003079550999245839,0.0,43,1.0000460147857666,40,40000,5.2719755e-05,-21.284759049117564,-1380534.68690453,111981423987.2,56.06,5.960464477539063e-08,0.2,0.0003,922,56953151488.0
-0.00040643341108079765,0.0,59,1.0000197887420654,60,50000,7.823203e-05,-21.284563337266444,-1231360.7270463498,108164369996.8,50.38,-1.1920928955078125e-07,0.2,0.0003,842,54240260096.0
-0.0002552887701313011,0.0,70,1.0000355243682861,70,60000,4.0391824e-05,-21.28448247164488,-1185346.68463612,110416310611.2,47.79,0.0,0.2,0.0003,848,52633149440.0
-0.0005285189196001739,0.0,82,1.0000224113464355,80,70000,0.00010303192,-21.284498213231565,-1374275.5555155,109284020710.4,55.79,-1.1920928955078125e-07,0.2,0.0003,853,51410374656.0
-0.00022070150807849132,0.0,93,1.0000207424163818,90,80000,3.7067213e-05,-21.2843926101923,-1343067.90489406,117732665318.4,54.14,1.1920928955078125e-07,0.2,0.0003,856,61021282304.0
-0.00022850994846521644,0.0,104,1.0000324249267578,100,90000,3.706105e-05,-21.284475146234037,-1282844.3677317798,108675204595.2,52.16,-1.1920928955078125e-07,0.2,0.0003,858,52484583424.0
-0.00012655699119932252,0.0,121,1.0000245571136475,120,100000,1.772197e-05,-21.284747022390366,-1358631.97236569,113631699219.2,54.83,-2.384185791015625e-07,0.2,0.0003,826,56334790656.0
-0.0002883393161027925,0.0,132,1.0000572204589844,130,110000,5.024601e-05,-21.284682822227477,-1248183.13008117,114690588217.6,49.89,0.0,0.2,0.0003,831,60481032192.0
-0.00030419769154832466,0.0,143,1.0000180006027222,140,120000,5.428061e-05,-21.284654764831068,-1478732.50405264,105736626086.4,60.43,0.0,0.2,0.0003,835,57883119616.0
