time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,time/fps,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/approx_kl
10000,-21.284551079571248,61.86,3348235776.0,-0.002587344949643011,1.0000560283660889,0.0,0.2,7073844034.8,9.765625e-05,883,10,-351134.52372949995,0.0003,11,0.0016075945
20000,-21.284549985826015,58.91,3373195776.0,-0.002597550121390668,1.0000096559524536,-1.1920928955078125e-07,0.2,6985173756.8,1.220703125e-05,894,20,-329787.70781095995,0.0003,22,0.0015515783
30000,-21.284288208186627,53.89,3165249024.0,-0.0033270033631197294,1.0000133514404297,0.0,0.2,7149005294.8,0.00048828125,897,30,-304876.01430463,0.0003,33,0.0021330412
40000,-21.283371219038962,55.19,3223832576.0,-0.0016386590898036957,0.99989253282547,1.1920928955078125e-07,0.2,6978497266.4,0.0,896,40,-304236.08423482993,0.0003,44,0.00088388135
50000,-21.280297957360744,49.72,3529793280.0,-0.0010330459825127036,0.9996219873428345,0.0,0.2,6331600137.6,0.0,822,60,-276496.52414305,0.0003,60,0.00047646015
60000,-21.278824338316916,52.73,3150058496.0,-0.0018658661760127871,0.9996742010116577,0.0,0.2,6460201548.4,0.0,829,70,-292620.46046772,0.0003,72,0.0009625411
70000,-21.27957840412855,52.44,3340456448.0,-0.00129569198761601,0.9997304677963257,-1.1920928955078125e-07,0.2,6577155276.0,0.0,835,80,-280214.65642311005,0.0003,83,0.00066808704
80000,-21.279157324135305,62.07,3154982912.0,-0.0010329913789973943,0.9996061325073242,1.7881393432617188e-07,0.2,6467058102.8,0.0,838,90,-328037.19899039005,0.0003,95,0.00041502944
90000,-21.278295090794565,50.94,3552614400.0,-0.0017990178497711896,0.9996225237846375,1.1920928955078125e-07,0.2,6534743309.2,0.0,842,100,-291311.11404942,0.0003,106,0.00089597236
100000,-21.277949079871178,60.27,3156095744.0,-0.0010384703335148515,0.9995473027229309,0.0,0.2,6479296112.4,0.0,812,120,-325134.51882697,0.0003,123,0.00040471135
110000,-21.276096136868,50.29,2911949312.0,-0.001059001256544434,0.9993907809257507,0.0,0.2,6441996640.0,0.0,816,130,-278629.79059106,0.0003,134,0.00022630724
120000,-21.274587489664555,51.46,3632410368.0,-0.0012411458599672187,0.9993324875831604,-1.1920928955078125e-07,0.2,6619955610.8,0.0,820,140,-287177.54342577996,0.0003,146,0.0004959873
130000,-21.273451030254364,45.12,3322371328.0,-0.0012089078401913867,0.9992614984512329,-2.384185791015625e-07,0.2,6732472337.2,0.0,824,150,-263762.76931658,0.0003,157,0.00050646707
140000,-21.267726950347424,47.84,3122548992.0,-0.0014293019081378588,0.9988667368888855,0.0,0.2,6421337070.0,0.0,805,170,-267759.14003897,0.0003,173,0.0006103817
150000,-21.268592369556426,50.0,3286000128.0,-0.0012747739732731135,0.999068021774292,0.0,0.2,5750352730.8,0.0,810,180,-268201.60268154,0.0003,185,0.00061959156
160000,-21.270054744184016,53.22,3572441088.0,-0.0016184662102205038,0.9990679621696472,5.960464477539063e-08,0.2,6378924947.6,0.0,815,190,-277912.32833007,0.0003,196,0.0006639514
170000,-21.270053051412106,47.88,2991608832.0,-0.001081372515000112,0.9990691542625427,0.0,0.2,6039997819.2,0.0,818,200,-263141.89939075,0.0003,207,0.00047772317
180000,-21.268633326888086,46.35,2965730304.0,-0.0009786074006115086,0.9988778829574585,-1.1920928955078125e-07,0.2,6177410180.4,0.0,821,210,-253700.60329521997,0.0003,219,0.00036372722
190000,-21.269447535276413,66.78,2901763072.0,-0.0012130109520512634,0.9990980625152588,0.0,0.2,5925996011.6,0.0,806,230,-334101.4484361,0.0003,235,0.00047120283
200000,-21.270484121143816,53.22,2930750208.0,-0.001026133030791243,0.99909508228302,0.0,0.2,6468770232.0,0.0,809,240,-290087.64160185005,0.0003,246,0.00042099235
210000,-21.27001193910837,52.3,3164727040.0,-0.0009669232180385734,0.9990325570106506,-1.1920928955078125e-07,0.2,6459824514.4,0.0,813,250,-285298.06760351005,0.0003,258,0.0003013385
220000,-21.2668161675334,54.26,3272154624.0,-0.0008641727550639189,0.9986807703971863,1.7881393432617188e-07,0.2,6355573221.2,0.0,817,260,-278256.80012469,0.0003,269,0.00023042705
230000,-21.259543979167937,58.12,3166756352.0,-0.001273667422719882,0.9983100295066833,0.0,0.2,5950602193.6,0.0,806,280,-301237.26459748,0.0003,285,0.00052002014
240000,-21.258922828733922,42.08,2624730880.0,-0.0011141034234242396,0.9983375072479248,0.0,0.2,6435123132.4,0.0,810,290,-229395.23543793,0.0003,296,0.0003547336
250000,-21.25749868452549,53.16,3132807424.0,-0.0011928876509045949,0.9981256127357483,-2.384185791015625e-07,0.2,5795738106.2,0.0,813,300,-274918.37433193997,0.0003,307,0.00051957293
260000,-21.255757741630077,54.26,3028535808.0,-0.0012075339787770644,0.9981067776679993,1.1920928955078125e-07,0.2,6061026775.2,0.0,816,310,-271209.1334393,0.0003,318,0.0005223226
270000,-21.254403160512446,55.74,2770281472.0,-0.0013235167320999608,0.9979478120803833,0.0,0.2,5863173608.8,0.0,817,320,-278352.35718910996,0.0003,330,0.0006503302
280000,-21.251319813728333,49.84,2995706624.0,-0.001257830808390281,0.9977625608444214,-1.1920928955078125e-07,0.2,5923695221.2,0.0,809,340,-256303.94790586,0.0003,345,0.00067281787
290000,-21.250331138074397,50.76,2520085504.0,-0.0011744162542527193,0.9977432489395142,1.1920928955078125e-07,0.2,5879834892.2,0.0,812,350,-266723.19406610006,0.0003,357,0.00052188075
300000,-21.249955110251904,50.81,2919189504.0,-0.0019043233074626186,0.997718870639801,1.1920928955078125e-07,0.2,6111398487.2,0.0,813,360,-258952.49279013005,0.0003,368,0.0009483766
310000,-21.248002055287362,46.82,2925226240.0,-0.0015893694580881856,0.9974867105484009,0.0,0.2,5747075736.0,0.0,813,370,-253902.23872562998,0.0003,380,0.00077241415
320000,-21.24115006476641,58.91,3072628736.0,-0.001453058366678306,0.9970603585243225,-1.1920928955078125e-07,0.2,5954416186.8,0.0,804,390,-295427.70806443,0.0003,397,0.0005949845
330000,-21.23979327082634,50.93,2765830144.0,-0.0014950750539355795,0.9970482587814331,2.384185791015625e-07,0.2,5938983376.8,0.0,806,400,-264432.32008728,0.0003,409,0.0007090388
340000,-21.240038672089575,45.86,2461022208.0,-0.0010376897575042677,0.9971035122871399,0.0,0.2,5739392861.6,0.0,808,410,-235841.58590296004,0.0003,420,0.0004492909
350000,-21.240600095689295,52.67,2840005120.0,-0.0014583442884031684,0.9971195459365845,-2.384185791015625e-07,0.2,5560659815.0,0.0,810,420,-264823.17260666,0.0003,431,0.0006195556
360000,-21.239723348617552,46.7,2577506048.0,-0.0017210864902153845,0.9969975352287292,0.0,0.2,5629229776.4,0.0,813,430,-236071.47111932,0.0003,442,0.000992982
370000,-21.238386718928815,46.72,2884822784.0,-0.00119546559653827,0.9970971345901489,-2.384185791015625e-07,0.2,5945808133.2,0.0,806,450,-245293.75476033997,0.0003,458,0.0005711502
