train/n_updates,time/time_elapsed,train/explained_variance,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,rollout/ep_rew_mean,time/fps,train/kl_divergence_loss,train/std,train/value_loss
1,8,0.0,10000,0.001,15.72,1.0,0.06117904931306839,-437777.08318575996,1142,0.007130659185349941,0.9976707696914673,76487267584.0
2,17,-2.384185791015625e-07,20000,0.001,14.19,1.0,0.046537429094314575,-398875.08602952,1151,0.0047370088286697865,0.9933682680130005,79680008780.8
3,26,0.0,30000,0.001,12.56,1.0,0.049123845994472504,-362301.66744336,1145,0.006613468285650015,0.9907397031784058,65514526764.8
4,35,1.1920928955078125e-07,40000,0.001,13.95,1.0,0.03264481574296951,-383587.40524632,1139,0.0041126045398414135,0.9935268759727478,65113491782.4
6,45,1.1920928955078125e-07,50000,0.001,10.95,1.0,0.0536087267100811,-325569.11611416,1098,0.005829867906868458,0.9744794368743896,56267334528.0
7,54,0.0,60000,0.001,8.27,1.0,0.05168508365750313,-259576.96047770005,1102,0.0048839920200407505,0.9750986695289612,48953225561.6
8,63,5.960464477539063e-08,70000,0.001,5.99,1.0,0.0571422278881073,-205679.46020707,1106,0.00372513965703547,0.9621015191078186,40278781443.2
9,72,-1.1920928955078125e-07,80000,0.001,6.22,1.0,0.027775181457400322,-210066.75360551,1109,0.00720977270975709,0.9464129209518433,30728509721.6
10,80,-1.1920928955078125e-07,90000,0.001,5.26,1.0,0.06299509108066559,-188664.82407302997,1113,0.006682719569653273,0.9329686760902405,29136163286.4
12,90,-1.1920928955078125e-07,100000,0.001,5.0,1.0,0.0654047504067421,-183791.36698994,1101,0.006658732891082764,0.9102189540863037,25330030048.0
13,99,-1.1920928955078125e-07,110000,0.001,4.49,1.0,0.03950756788253784,-173157.85561759997,1107,0.00789677444845438,0.904049813747406,21870199334.4
14,107,-1.1920928955078125e-07,120000,0.001,4.36,1.0,0.05788971483707428,-169962.21689808997,1112,0.005214591044932604,0.8970575928688049,20208952486.4
15,116,0.0,130000,0.001,4.49,1.0,0.0016000614268705249,-172987.03455562997,1118,0.004835286643356085,0.8894907832145691,19223899904.0
17,126,0.0,140000,0.001,4.26,1.0,0.02234412543475628,-167945.45229953996,1110,0.002840582747012377,0.8750075101852417,17138133848.0
18,134,0.0,150000,0.001,3.7,1.0,0.05180923268198967,-155747.68221091002,1115,0.007184294983744621,0.8734161853790283,17247123465.6
