train/n_updates,train/explained_variance,train/value_loss,train/policy_loss,train/std,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/learning_rate,time/total_timesteps
124,-3.814697265625e-06,1273512832.0,-242845.15625,1.0014532804489136,-8.52217960357666,-208200.66953523003,39.35,3,2964,0.0001,10000
249,1.0132789611816406e-06,382980224.0,-130434.1484375,1.0005069971084595,-8.516478538513184,-212609.60701079998,39.68,6,3024,0.0001,20000
374,-4.76837158203125e-07,1096781824.0,-185627.546875,1.0009984970092773,-8.519100189208984,-202770.81588664997,39.23,9,3031,0.0001,30000
499,2.384185791015625e-07,1762502912.0,-261946.25,1.0002635717391968,-8.515146255493164,-216083.27034302,43.95,12,3081,0.0001,40000
624,2.980232238769531e-07,1373159168.0,-220782.03125,0.9999694228172302,-8.513379096984863,-217767.58817821994,45.1,16,3119,0.0001,50000
749,-2.384185791015625e-07,1189896960.0,-231626.46875,0.9995300769805908,-8.510684967041016,-196132.18564691,41.03,19,3141,0.0001,60000
874,0.0,1225378688.0,-118147.1484375,0.9991776347160339,-8.508679389953613,-216211.55061266,43.18,22,3152,0.0001,70000
999,0.0,1773952640.0,-225059.28125,0.9992287158966064,-8.508820533752441,-192958.47435557,42.87,25,3163,0.0001,80000
1124,0.0,465724000.0,-143979.75,0.9985745549201965,-8.504983901977539,-185213.67249083004,42.32,28,3171,0.0001,90000
1249,-1.1920928955078125e-07,1451652096.0,-174167.328125,0.9985445141792297,-8.50514030456543,-216448.26114658001,45.17,31,3177,0.0001,100000
1374,0.0,1148035840.0,-95366.8984375,0.9978916049003601,-8.500975608825684,-181465.66750581004,43.76,34,3181,0.0001,110000
1499,0.0,1236703744.0,-233157.75,0.9974832534790039,-8.498446464538574,-166592.97061962,36.68,37,3182,0.0001,120000
1624,0.0,2205585152.0,-337254.71875,0.997234046459198,-8.496944427490234,-190241.65022841,41.92,40,3183,0.0001,130000
1749,1.7881393432617188e-07,1360069248.0,-243733.15625,0.9965014457702637,-8.492940902709961,-209420.36893388,44.97,43,3184,0.0001,140000
