time/total_timesteps,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/time_elapsed,train/policy_loss,train/explained_variance,train/std,train/value_loss,rollout/ep_len_mean
10000,124,0.0001,-523228.3359391281,3422,-8.520984649658203,2,-42418.4765625,-0.00012314319610595703,1.0011767148971558,67995320.0,214.89743589743588
20000,249,0.0001,-447246.0350783001,3500,-8.517693519592285,5,-141100.21875,0.0,1.0007153749465942,920395136.0,184.9
30000,374,0.0001,-386218.1684798,3532,-8.518204689025879,8,-103285.875,-1.049041748046875e-05,1.000820517539978,264188544.0,174.86
40000,499,0.0001,-363093.26623206004,3540,-8.510440826416016,11,-44391.7109375,-5.602836608886719e-06,0.999494731426239,67182336.0,171.11
50000,624,0.0001,-309998.11219352996,3548,-8.508773803710938,14,-59842.48046875,-3.6954879760742188e-06,0.9992347359657288,86420456.0,144.39
60000,749,0.0001,-318078.14112493,3556,-8.506128311157227,16,-64288.7421875,-1.0848045349121094e-05,0.9987322688102722,80486864.0,161.0
70000,874,0.0001,-325145.25684393,3558,-8.50644302368164,19,-179320.0,-8.344650268554688e-07,0.9987843632698059,1145325952.0,163.39
80000,999,0.0001,-293703.43079220003,3558,-8.506967544555664,22,-37320.53125,-1.1920928955078125e-07,0.9988975524902344,36964620.0,149.24
90000,1124,0.0001,-261242.41749142,3559,-8.503133773803711,25,-133216.3125,4.172325134277344e-07,0.9982849955558777,689052288.0,143.66
100000,1249,0.0001,-249175.14574866,3560,-8.503612518310547,28,-73966.75,4.76837158203125e-07,0.9983153343200684,118620608.0,139.78
110000,1374,0.0001,-252701.21038608009,3563,-8.502496719360352,30,-78788.234375,8.344650268554688e-07,0.9981803894042969,151222496.0,137.81
120000,1499,0.0001,-236619.63773515995,3563,-8.499515533447266,33,-42302.29296875,0.0,0.9978592991828918,1088148736.0,135.98
130000,1624,0.0001,-240902.05265760998,3563,-8.495770454406738,36,-50264.5390625,0.0,0.9970194697380066,69831304.0,138.2
140000,1749,0.0001,-206305.33081257,3563,-8.489751815795898,39,-56313.9609375,-2.384185791015625e-07,0.9959970116615295,57437460.0,104.53
150000,1874,0.0001,-219444.68261930003,3563,-8.486311912536621,42,-32556.37109375,1.1920928955078125e-07,0.9954941272735596,299824992.0,124.35
160000,1999,0.0001,-220493.86227061,3563,-8.484878540039062,44,-142151.109375,5.960464477539063e-08,0.9952289462089539,674784064.0,129.21
170000,2124,0.0001,-212678.58097480002,3562,-8.484540939331055,47,-69310.25,0.0,0.9951283931732178,464826784.0,128.38
180000,2249,0.0001,-195828.94891578,3561,-8.48339557647705,50,-130013.109375,0.0,0.9950405955314636,909333184.0,112.41
190000,2374,0.0001,-194075.42796709004,3560,-8.483054161071777,53,-36159.16015625,5.960464477539063e-08,0.9949371814727783,62658124.0,121.28
200000,2499,0.0001,-205488.79066992,3560,-8.480302810668945,56,-41402.1796875,0.0,0.9944830536842346,45809424.0,129.87
210000,2624,0.0001,-188338.77153264,3559,-8.475462913513184,59,-44716.328125,0.0,0.99365234375,55460952.0,110.9
220000,2749,0.0001,-193627.32158262003,3558,-8.473998069763184,61,-182962.671875,0.0,0.9933838248252869,1409446272.0,121.03
230000,2874,0.0001,-166201.29006560997,3557,-8.473893165588379,64,-65748.2578125,1.7881393432617188e-07,0.9934496283531189,390533984.0,98.34
