train/explained_variance,train/n_updates,train/policy_loss,train/std,time/fps,time/total_timesteps,train/entropy_loss,time/time_elapsed,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate
1.8477439880371094e-05,124,-144262.78125,1.000736951828003,3383,10000,-8.518433570861816,2,635848448.0,122.22222222222223,-356566.1397408765,0.0001
1.0848045349121094e-05,249,-224979.96875,1.0003372430801392,3474,20000,-8.51541805267334,5,1437809152.0,139.19,-376156.57886653,0.0001
2.6226043701171875e-06,374,-113874.671875,1.0007953643798828,3508,30000,-8.517922401428223,8,313217856.0,111.04,-310769.98079838004,0.0001
5.364418029785156e-07,499,-146783.15625,0.999535322189331,3527,40000,-8.510619163513184,11,710722496.0,129.12,-335478.56569304003,0.0001
1.2516975402832031e-06,624,-143418.1875,0.9996788501739502,3537,50000,-8.511592864990234,14,913771200.0,116.4,-305510.04662319,0.0001
1.7285346984863281e-06,749,-132957.609375,0.9992583394050598,3544,60000,-8.509241104125977,16,657912064.0,119.83,-289568.23386418,0.0001
-1.430511474609375e-06,874,-91275.671875,0.9992992877960205,3545,70000,-8.50966739654541,19,163743456.0,107.12,-269908.51650601,0.0001
-3.5762786865234375e-07,999,-91523.078125,0.9999523758888245,3547,80000,-8.513251304626465,22,196258304.0,118.31,-265250.47358217,0.0001
-3.5762786865234375e-07,1124,-96502.53125,0.9998686909675598,3548,90000,-8.512741088867188,25,208337440.0,111.72,-252305.68137678,0.0001
2.384185791015625e-07,1249,-118363.359375,0.9997000098228455,3547,100000,-8.511834144592285,28,672308352.0,105.07,-234192.56275201004,0.0001
-1.1920928955078125e-07,1374,-114442.859375,0.9993006587028503,3546,110000,-8.509237289428711,31,603048320.0,101.47,-221733.88408408,0.0001
0.0,1499,-78405.75,0.999306857585907,3545,120000,-8.509148597717285,33,349878304.0,101.32,-237983.73122008998,0.0001
0.0,1624,-94446.3671875,0.9987742304801941,3542,130000,-8.506463050842285,36,386675648.0,93.98,-217750.10861004,0.0001
0.0,1749,-103461.921875,0.9980762004852295,3540,140000,-8.502185821533203,39,442000224.0,94.12,-207828.19846347,0.0001
0.0,1874,-161585.84375,0.9977065920829773,3528,150000,-8.499627113342285,42,1290972288.0,88.7,-205131.87236763,0.0001
-2.384185791015625e-07,1999,-58929.20703125,0.9970709681510925,3526,160000,-8.495925903320312,45,130686824.0,77.53,-182049.74444282,0.0001
0.0,2124,-40155.0859375,0.9969212412834167,3525,170000,-8.495244979858398,48,54029816.0,90.12,-194895.47146304004,0.0001
0.0,2249,-174107.28125,0.9963038563728333,3522,180000,-8.49172592163086,51,1083451136.0,68.0,-169788.70218663,0.0001
-1.1920928955078125e-07,2374,-57539.5234375,0.9964738488197327,3521,190000,-8.492349624633789,53,93734056.0,101.16,-192294.41927554,0.0001
-1.1920928955078125e-07,2499,-148843.03125,0.9964592456817627,3520,200000,-8.492218971252441,56,1039676800.0,72.8,-166269.94056869,0.0001
0.0,2624,-100195.9140625,0.9958298206329346,3518,210000,-8.488414764404297,59,624544576.0,79.4,-178976.15969111997,0.0001
0.0,2749,-107730.4140625,0.9951317310333252,3518,220000,-8.484180450439453,62,604196672.0,92.85,-193312.82964794,0.0001
0.0,2874,-199870.09375,0.9952380061149597,3517,230000,-8.484540939331055,65,1351582848.0,86.17,-182386.28658438005,0.0001
-1.1920928955078125e-07,2999,-175716.40625,0.9953305125236511,3516,240000,-8.4854736328125,68,1198867584.0,83.02,-181300.54152841997,0.0001
-1.1920928955078125e-07,3124,-107482.6875,0.9952237606048584,3515,250000,-8.484758377075195,71,538209472.0,84.17,-185861.40235503,0.0001
0.0,3249,-127619.734375,0.9951489567756653,3514,260000,-8.483972549438477,73,927346688.0,65.92,-159795.520095,0.0001
0.0,3374,-62591.90625,0.9941884875297546,3513,270000,-8.478277206420898,76,91550880.0,73.33,-165588.82052328,0.0001
-1.1920928955078125e-07,3499,-84674.84375,0.9953842163085938,3512,280000,-8.485809326171875,79,208075728.0,80.9,-169244.72375930005,0.0001
-1.1920928955078125e-07,3624,-72139.875,0.9952867031097412,3511,290000,-8.484613418579102,82,417513152.0,65.48,-153320.11035687,0.0001
0.0,3749,-92105.8828125,0.9952574372291565,3510,300000,-8.484674453735352,85,516295840.0,75.49,-164921.80740037,0.0001
5.960464477539063e-08,3874,-99475.046875,0.9950861930847168,3509,310000,-8.483739852905273,88,568774784.0,77.41,-161600.09765608,0.0001
0.0,3999,-109986.984375,0.9949262142181396,3508,320000,-8.482837677001953,91,578410944.0,78.01,-157614.69945781,0.0001
1.7881393432617188e-07,4124,-71879.1640625,0.9950165748596191,3507,330000,-8.483707427978516,94,162267040.0,86.05,-176098.00394547998,0.0001
0.0,4249,-131978.359375,0.9943873286247253,3505,340000,-8.479326248168945,96,791405056.0,60.32,-139899.21133507998,0.0001
-1.1920928955078125e-07,4374,-124214.734375,0.9938138127326965,3504,350000,-8.476103782653809,99,797690688.0,63.95,-152442.93033839,0.0001
5.960464477539063e-08,4499,-39704.94921875,0.9941809773445129,3502,360000,-8.478307723999023,102,47396136.0,75.18,-168711.43406030998,0.0001
0.0,4624,-107048.953125,0.9944465160369873,3501,370000,-8.480113983154297,105,1963275008.0,74.43,-161172.52609476997,0.0001
0.0,4749,-32038.66015625,0.9937219619750977,3500,380000,-8.475653648376465,108,29957644.0,75.04,-149387.60043115,0.0001
0.0,4874,-69813.6484375,0.9938435554504395,3499,390000,-8.476256370544434,111,497809472.0,75.6,-149915.82258987,0.0001
0.0,4999,-44043.859375,0.9935369491577148,3497,400000,-8.475006103515625,114,72677336.0,74.04,-135697.98811317998,0.0001
5.960464477539063e-08,5124,-17828.42578125,0.9925765991210938,3496,410000,-8.468598365783691,117,19933356.0,67.41,-142383.42163463,0.0001
-1.1920928955078125e-07,5249,-120362.5859375,0.9919000267982483,3495,420000,-8.464319229125977,120,592034496.0,78.71,-159234.38547892,0.0001
1.7881393432617188e-07,5374,-124578.7734375,0.9908924698829651,3494,430000,-8.458596229553223,123,603560448.0,89.63,-160789.89643453003,0.0001
0.0,5499,-74218.9921875,0.9909828305244446,3493,440000,-8.458954811096191,125,464843584.0,74.57,-148171.44160584,0.0001
-1.1920928955078125e-07,5624,-155453.03125,0.9905776977539062,3492,450000,-8.45667839050293,128,1069970432.0,80.04,-154437.26821713,0.0001
1.1920928955078125e-07,5749,-170413.703125,0.9900644421577454,3491,460000,-8.453003883361816,131,1169454848.0,76.17,-147947.79292184,0.0001
5.960464477539063e-08,5874,-149030.84375,0.9905779957771301,3485,470000,-8.456561088562012,134,1022624576.0,75.65,-144448.76635093,0.0001
0.0,5999,-150915.703125,0.9902704358100891,3484,480000,-8.454113006591797,137,1088748032.0,80.08,-150642.56057,0.0001
-1.1920928955078125e-07,6124,-61173.73828125,0.9902215003967285,3484,490000,-8.454181671142578,140,101157560.0,90.88,-167772.87602661,0.0001
-1.1920928955078125e-07,6249,-70940.5,0.989937961101532,3483,500000,-8.452658653259277,143,363275968.0,89.66,-159582.86226196002,0.0001
1.7881393432617188e-07,6374,-123237.0,0.9895017743110657,3482,510000,-8.449835777282715,146,910486144.0,72.1,-146606.12434826998,0.0001
-1.1920928955078125e-07,6499,-86487.6484375,0.9886057376861572,3482,520000,-8.444610595703125,149,562974592.0,74.47,-140378.45698389,0.0001
0.0,6624,-49996.4609375,0.9882743954658508,3481,530000,-8.44290828704834,152,111978160.0,85.26,-158797.77034066,0.0001
0.0,6749,-110320.9375,0.9875962734222412,3478,540000,-8.438634872436523,155,400503104.0,85.54,-155793.50404117,0.0001
0.0,6874,-70009.0859375,0.9871335625648499,3477,550000,-8.435614585876465,158,370934944.0,92.68,-159677.71602521,0.0001
0.0,6999,-42645.5390625,0.9859256148338318,3477,560000,-8.428174018859863,161,111418752.0,85.7,-150041.9103027,0.0001
0.0,7124,-281528.53125,0.9854959845542908,3476,570000,-8.425540924072266,163,2201750784.0,92.48,-165149.78325248,0.0001
0.0,7249,-12250.0048828125,0.9849362969398499,3475,580000,-8.42199993133545,166,14159830.0,92.4,-159622.24957334,0.0001
0.0,7374,-85242.640625,0.984544575214386,3474,590000,-8.419587135314941,169,531150592.0,73.42,-133444.76528542998,0.0001
0.0,7499,-107441.0234375,0.9844810962677002,3473,600000,-8.41976547241211,172,649166144.0,66.83,-139279.35303375,0.0001
0.0,7624,-185942.3125,0.9840499758720398,3471,610000,-8.416827201843262,175,1444228608.0,76.16,-135001.37025078,0.0001
0.0,7749,-98153.0703125,0.9832198619842529,3470,620000,-8.411299705505371,178,579639488.0,90.04,-136661.02392776,0.0001
-1.1920928955078125e-07,7874,-33615.5859375,0.9827836155891418,3469,630000,-8.4089937210083,181,46061696.0,71.13,-126206.73298804,0.0001
1.7881393432617188e-07,7999,-86051.0859375,0.9825623631477356,3468,640000,-8.407367706298828,184,241181792.0,78.78,-143372.16145760997,0.0001
0.0,8124,-38953.7265625,0.9824831485748291,3467,650000,-8.407007217407227,187,66808076.0,89.76,-137151.69405023,0.0001
0.0,8249,-162803.375,0.9818159937858582,3466,660000,-8.402814865112305,190,1190806400.0,81.94,-138831.92711632,0.0001
0.0,8374,-110118.9765625,0.9814862608909607,3466,670000,-8.400580406188965,193,681737152.0,91.13,-155015.95841642,0.0001
-2.384185791015625e-07,8499,3720.056640625,0.9806548953056335,3465,680000,-8.396405220031738,196,300998048.0,107.8,-168920.34445433,0.0001
5.960464477539063e-08,8624,-106798.8359375,0.9793244004249573,3464,690000,-8.38751220703125,199,587986112.0,96.6,-152066.70849562,0.0001
0.0,8749,-75967.109375,0.9793946146965027,3462,700000,-8.38815975189209,202,167783600.0,95.25,-150756.83674968002,0.0001
0.0,8874,-31616.56640625,0.9785636067390442,3461,710000,-8.382892608642578,205,70141296.0,71.07,-121682.56946941,0.0001
0.0,8999,-77061.1953125,0.9784833788871765,3460,720000,-8.382360458374023,208,478072128.0,73.94,-126226.65405270999,0.0001
0.0,9124,-15157.5234375,0.9776546359062195,3459,730000,-8.377514839172363,211,23578270.0,83.1,-125461.39513095001,0.0001
0.0,9249,46671.41015625,0.9774238467216492,3458,740000,-8.37595272064209,213,453350816.0,84.02,-125057.70779745998,0.0001
-1.1920928955078125e-07,9374,-91831.8125,0.9767014384269714,3457,750000,-8.371502876281738,216,571171392.0,90.97,-133035.05492855,0.0001
-1.1920928955078125e-07,9499,-100980.3359375,0.976283848285675,3456,760000,-8.368844985961914,219,615621248.0,83.61,-131460.95897483,0.0001
0.0,9624,-100661.015625,0.9765202403068542,3455,770000,-8.37037467956543,222,696831232.0,83.98,-127782.266533,0.0001
0.0,9749,-40196.109375,0.9764084219932556,3454,780000,-8.36903190612793,225,498636224.0,94.32,-130585.89729673,0.0001
0.0,9874,-118286.0625,0.9760241508483887,3453,790000,-8.367186546325684,228,949814912.0,85.77,-121635.68775786003,0.0001
-1.1920928955078125e-07,9999,-36962.51171875,0.9757630228996277,3452,800000,-8.365533828735352,231,427509760.0,89.87,-115079.35168815,0.0001
0.0,10124,16734.072265625,0.9757404923439026,3452,810000,-8.365782737731934,234,9561510.0,81.5,-111584.55018226997,0.0001
0.0,10249,-104937.390625,0.9755168557167053,3451,820000,-8.363956451416016,237,1633744768.0,78.42,-77588.98727062,0.0001
0.0,10374,-76561.390625,0.9749020934104919,3450,830000,-8.360222816467285,240,615487296.0,88.18,-112978.05254505001,0.0001
0.0,10499,-31425.40625,0.9736338257789612,3449,840000,-8.352275848388672,243,78722032.0,86.97,-107744.18444536999,0.0001
0.0,10624,-90672.9765625,0.9724130630493164,3449,850000,-8.345232963562012,246,1047459200.0,95.12,-101026.68805921997,0.0001
0.0,10749,-32089.23046875,0.9719257354736328,3448,860000,-8.341838836669922,249,45042140.0,99.44,-109664.29562394,0.0001
0.0,10874,-15758.310546875,0.9719281196594238,3447,870000,-8.341704368591309,252,19484458.0,98.33,-113319.97289960999,0.0001
0.0,10999,-93877.0546875,0.970866858959198,3447,880000,-8.335742950439453,255,530599744.0,90.76,-103842.88589591997,0.0001
0.0,11124,-72286.2109375,0.970371425151825,3446,890000,-8.331722259521484,258,499382176.0,96.53,-116713.0532066,0.0001
1.7881393432617188e-07,11249,-73438.515625,0.969531774520874,3446,900000,-8.326615333557129,261,500970144.0,116.03,-112445.93036054,0.0001
5.960464477539063e-08,11374,-1865.583740234375,0.9694170355796814,3445,910000,-8.326104164123535,264,6521433.5,115.25,-105465.07122424999,0.0001
0.0,11499,-29365.35546875,0.9691328406333923,3445,920000,-8.324504852294922,267,57945736.0,134.97,-124446.74088987999,0.0001
-2.384185791015625e-07,11624,-55767.04296875,0.96878582239151,3445,930000,-8.322025299072266,269,376828416.0,126.13,-116739.03662310001,0.0001
0.0,11749,27603.48046875,0.9680669903755188,3443,940000,-8.317366600036621,272,528784384.0,111.93,-97284.09492554002,0.0001
0.0,11874,-95485.546875,0.9676942229270935,3442,950000,-8.315683364868164,275,589611520.0,114.55,-97657.26597074002,0.0001
-2.384185791015625e-07,11999,-158505.84375,0.9674553871154785,3442,960000,-8.313515663146973,278,1082890496.0,118.88,-104449.38873077002,0.0001
-1.1920928955078125e-07,12124,-74552.828125,0.9660933613777161,3441,970000,-8.305026054382324,281,554721408.0,151.02,-105894.12450209999,0.0001
0.0,12249,-126452.0,0.9651511311531067,3441,980000,-8.299291610717773,284,680544832.0,175.0,-89430.76956675001,0.0001
-1.1920928955078125e-07,12374,-85663.734375,0.9647836089134216,3441,990000,-8.297351837158203,287,552190464.0,162.75,-87757.45552373001,0.0001
-1.1920928955078125e-07,12499,-73734.703125,0.9635470509529114,3441,1000000,-8.289241790771484,290,506366976.0,153.86,-95442.64170453999,0.0001
