rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/step_size,rollout/return_std,train/learning_rate,train/iterations,train/delta_std
1000.0,2,-19826048.9514225,10000,3506,,,,,
1000.0,5,-19810224.47571125,20000,3691,,,,,
781.4444444444445,7,-15465866.580337444,30000,3755,,,,,
821.1818181818181,10,-16225557.196646543,40000,3789,,,,,
859.5,13,-16967892.788053643,50000,3817,,,,,
,15,,60000,3779,3.367549988864127e-11,6681415.0,0.0018,0,0.05
1000.0,18,-19824847.589078665,70000,3801,,,,,
1000.0,20,-19777144.553447198,80000,3818,,,,,
890.4444444444445,23,-17606848.058617335,90000,3831,,,,,
910.3636363636364,26,-17977884.590866454,100000,3843,,,,,
929.5714285714286,28,-18389177.469686214,110000,3852,,,,,
,31,,120000,3856,4.5715251029143644e-11,4921771.0,0.0018,1,0.05
1000.0,33,-19880926.14873567,130000,3862,,,,,
1000.0,36,-19909673.6892414,140000,3867,,,,,
1000.0,38,-19899833.565328248,150000,3874,,,,,
1000.0,41,-19765768.942507096,160000,3878,,,,,
1000.0,43,-19778557.68504515,170000,3880,,,,,
1000.0,46,-19804213.32703913,180000,3884,,,,,
1000.0,48,-19818323.1647395,190000,3886,8.717467858687655e-10,258102.484375,0.0018,2,0.05
1000.0,51,-19809127.29176525,200000,3888,,,,,
876.875,53,-17354937.386039875,210000,3891,,,,,
901.5,56,-17813944.7910418,220000,3892,,,,,
924.2307692307693,59,-18291586.365140233,230000,3892,,,,,
934.3333333333334,61,-18457171.363975134,240000,3894,,,,,
1000.0,64,-19940705.0,250000,3896,4.574195883177978e-11,4918897.0,0.0018,3,0.05
1000.0,66,-19852275.407687,260000,3897,,,,,
1000.0,69,-19706059.288371287,270000,3898,,,,,
1000.0,71,-19760806.040742557,280000,3900,,,,,
924.9230769230769,74,-17508512.21958754,290000,3902,,,,,
934.9333333333333,76,-17808560.201094933,300000,3903,,,,,
1000.0,79,-19760019.15513,310000,3903,4.1941099898634704e-11,5364666.0,0.0018,4,0.05
1000.0,81,-19791609.82434775,320000,3904,,,,,
1000.0,84,-19820791.590565432,330000,3904,,,,,
901.5,87,-17841844.1133958,340000,3905,,,,,
924.2307692307693,89,-18285432.179150768,350000,3906,,,,,
934.3333333333334,92,-18502768.542491134,360000,3907,,,,,
1000.0,94,-19838763.963533,370000,3907,4.5636792955772165e-11,4930232.5,0.0018,5,0.05
1000.0,97,-19747990.119868748,380000,3907,,,,,
876.75,99,-17332521.51516375,390000,3908,,,,,
901.4,102,-17859603.212131,400000,3909,,,,,
924.1538461538462,104,-18063185.067294,410000,3910,,,,,
934.2666666666667,107,-18285247.1875372,420000,3911,,,,,
673.3333333333334,109,-13365234.054112667,430000,3913,4.549584667334905e-11,4945506.5,0.0018,6,0.05
804.0,112,-15992186.4324676,440000,3914,,,,,
782.2222222222222,114,-15501068.248658113,450000,3915,,,,,
821.8181818181819,117,-16279134.13774382,460000,3914,,,,,
860.0,120,-17058353.796114,470000,3915,,,,,
,122,,480000,3916,3.336810688869818e-11,6742965.5,0.0018,7,0.05
1000.0,125,-19806378.098967668,490000,3917,,,,,
1000.0,127,-19795256.9876508,500000,3918,,,,,
1000.0,130,-19798164.003291,510000,3919,,,,,
1000.0,132,-19830708.2026328,520000,3919,,,,,
1000.0,135,-19826654.41558492,530000,3920,,,,,
1000.0,137,-19819823.26328893,540000,3921,,,,,
1000.0,140,-19887144.4309725,550000,3921,1.82447323915369e-09,123323.2578125,0.0018,8,0.05
1000.0,142,-19909430.53310225,560000,3921,,,,,
1000.0,145,-19894714.365209717,570000,3921,,,,,
1000.0,147,-19874997.259096555,580000,3921,,,,,
1000.0,150,-19852498.546526004,590000,3921,,,,,
1000.0,152,-19866540.89702229,600000,3922,,,,,
