time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/iterations,rollout/return_std,train/delta_std,train/step_size,train/learning_rate
10000,1000.0,2,3478,-19982422.5492835,,,,,
20000,1000.0,5,3674,-19962140.958021,,,,,
30000,876.125,8,3741,-17459011.292666122,,,,,
40000,900.9,10,3776,-17964180.800665498,,,,,
50000,923.7692307692307,13,3799,-18421370.223363765,,,,,
60000,933.9333333333333,15,3813,-18602786.700336732,,,,,
70000,1000.0,18,3825,-20116216.9230765,0,4958351.0,0.05,4.5377989560391185e-11,0.0018
80000,1000.0,20,3835,-19991331.90495225,,,,,
90000,1000.0,23,3843,-19926098.070399005,,,,,
100000,1000.0,25,3850,-19923880.97122878,,,,,
110000,1000.0,28,3855,-19946806.3616745,,,,,
120000,1000.0,31,3857,-19960471.71530857,,,,,
130000,1000.0,33,3860,-19945945.614255,1,155165.96875,0.05,1.4500601830391702e-09,0.0018
140000,1000.0,36,3863,-19878360.350326333,,,,,
150000,1000.0,38,3862,-19924394.035456,,,,,
160000,1000.0,41,3864,-19914256.68818425,,,,,
170000,1000.0,43,3866,-19952291.243605454,,,,,
180000,1000.0,46,3868,-19962898.84016446,,,,,
190000,12.0,49,3870,-165082.63206,2,92049.9296875,0.05,2.444325630790445e-09,0.0018
200000,670.6666666666666,51,3871,-13341784.038354665,,,,,
210000,717.2857142857143,54,3873,-14294124.936680285,,,,,
220000,780.1111111111111,56,3874,-15544666.299591668,,,,,
230000,835.0833333333334,59,3875,-16675067.945582166,,,,,
240000,858.6428571428571,61,3876,-17140911.12707793,,,,,
250000,1000.0,64,3876,-19910257.712042,3,6783298.5,0.05,3.316970309530376e-11,0.0018
260000,1000.0,67,3877,-19954949.26027033,,,,,
270000,870.5714285714286,69,3877,-17240376.767037857,,,,,
280000,899.3333333333334,72,3878,-17845291.952275667,,,,,
290000,924.5,74,3879,-18352080.99903075,,,,,
300000,935.2857142857143,77,3879,-18587618.62988507,,,,,
310000,1000.0,79,3879,-19906220.362489,4,4740417.5,0.05,4.7464171482047846e-11,0.0018
320000,1000.0,82,3880,-19891407.251732003,,,,,
330000,1000.0,85,3880,-19903195.07212817,,,,,
340000,1000.0,87,3880,-19876170.075000625,,,,,
350000,1000.0,90,3880,-19895286.696736,,,,,
360000,1000.0,92,3880,-19916578.819701076,,,,,
370000,,95,3880,,5,132346.765625,0.05,1.7000792995602865e-09,0.0018
380000,1000.0,97,3878,-19759325.57802,,,,,
390000,1000.0,100,3878,-19898703.8924196,,,,,
400000,1000.0,103,3878,-19804694.252042715,,,,,
410000,1000.0,105,3878,-19845347.7972005,,,,,
420000,924.4615384615385,108,3878,-18337255.638686925,,,,,
