time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/iterations,train/learning_rate,train/step_size,train/delta_std,rollout/return_std
3543,1000.0,-19973673.08507,2,10000,,,,,
3744,1000.0,-19826507.5008905,5,20000,,,,,
3820,1000.0,-19847804.936116286,7,30000,,,,,
3859,1000.0,-19877933.636483222,10,40000,,,,,
3883,1000.0,-19766946.72929325,12,50000,,,,,
3898,1000.0,-19771701.540431924,15,60000,,,,,
3910,504.0,-9985289.2937415,17,70000,0,0.0018,1.0244388670699323e-09,0.05,219632.421875
3920,603.6,-11958043.497906998,20,80000,,,,,
3928,752.25,-14927387.680560876,22,90000,,,,,
3934,801.8,-15899653.542935198,25,100000,,,,,
3939,847.5384615384615,-16756339.544941615,27,110000,,,,,
3943,867.8666666666667,-17187452.103281066,30,120000,,,,,
3947,1000.0,-19862069.125092,32,130000,1,0.0018,3.339924517509196e-11,0.05,6736679.5
3952,1000.0,-19867574.085605,35,140000,,,,,
3952,1000.0,-19851446.848307427,37,150000,,,,,
3954,900.8,-17855633.9860889,40,160000,,,,,
3957,923.6923076923077,-18346780.60087677,42,170000,,,,,
3961,933.8666666666667,-18562612.529568534,45,180000,,,,,
3962,675.3333333333334,-13106996.559497664,47,190000,2,0.0018,4.547175136426773e-11,0.05,4948127.0
3963,805.2,-15863022.809859797,50,200000,,,,,
3963,783.7777777777778,-15441393.54766311,52,210000,,,,,
3964,698.3846153846154,-13755122.76082046,55,220000,,,,,
3966,,,57,230000,3,0.0018,2.5665565159260773e-11,0.05,8766610.0
3966,672.0,-13333008.489511333,60,240000,,,,,
3967,836.0,-16497155.456262166,63,250000,,,,,
3968,877.0,-17270072.917821124,65,260000,,,,,
3963,910.5454545454545,-17945814.057748817,68,270000,,,,,
3964,924.3076923076923,-18256953.095807537,70,280000,,,,,
3965,1000.0,-19789151.626612,73,290000,4,0.0018,3.34772730370414e-11,0.05,6720977.5
3965,1000.0,-19836158.826817334,75,300000,,,,,
3965,858.5714285714286,-17074331.523533143,78,310000,,,,,
3966,802.4,-15904751.4165104,80,320000,,,,,
3966,848.0,-16768494.589151846,83,330000,,,,,
