train/actor_loss,time/episodes,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss
61628.84375,199,283,75636216.0,21.73,79.29723358154297,35,95462.47844834,10000,0.0055,2474,-139.06362915039062
-2866.33251953125,681,279,25007512.0,13.33,171.7861328125,71,133511.65334182003,20000,0.0055,4974,-5.469638347625732
-40429.0859375,1447,277,21548270.0,12.79,152.47503662109375,108,133329.73391111,30000,0.0055,7474,5.140321731567383
-67607.359375,2258,276,11611278.0,11.97,100.8844223022461,144,133755.90403526998,40000,0.0055,9974,3.889147996902466
-72814.359375,3056,275,38789696.0,18.54,61.04520797729492,181,72661.62101315,50000,0.0055,12474,-0.4014291763305664
-83554.7265625,3763,275,16024388.0,12.82,79.84439849853516,218,130484.01623259,60000,0.0055,14974,-3.53823184967041
-77011.453125,4516,274,11712938.0,12.81,81.54966735839844,254,130112.59420036999,70000,0.0055,17474,-1.4001808166503906
-79659.484375,5253,274,7048167.5,11.41,81.77263641357422,291,133764.42458635,80000,0.0055,19974,0.41249901056289673
-79807.734375,6038,274,17090866.0,17.84,90.7556381225586,327,67536.00708633,90000,0.0055,22474,-2.027883768081665
-85380.984375,6861,274,9344568.0,11.39,68.67835235595703,364,133253.3,100000,0.0055,24974,0.10949438810348511
-64238.890625,7678,274,164022912.0,15.41,330.73822021484375,401,77010.58098565,110000,0.0055,27474,-9.591079711914062
-77710.7890625,8373,274,20589022.0,12.58,80.33847045898438,437,129053.19432336999,120000,0.0055,29974,-2.2465615272521973
-82377.296875,9232,274,2904640.0,11.29,62.995662689208984,474,133765.05454840002,130000,0.0055,32474,2.4578356742858887
-75470.1796875,10048,274,10044862.0,11.95,75.38555145263672,510,132535.62158908,140000,0.0055,34974,-0.8043513894081116
-74362.3671875,10794,274,19006910.0,12.18,93.15284729003906,546,129302.29545575,150000,0.0055,37474,0.08332782983779907
-80773.328125,11602,274,10250177.0,11.66,65.92778778076172,583,133657.62065793,160000,0.0055,39974,-1.7530192136764526
-78088.921875,12396,274,5211637.5,11.65,76.52484893798828,619,133041.29636527,170000,0.0055,42474,-0.2971978187561035
-85073.28125,13287,274,7444454.5,11.06,54.71021270751953,656,133769.61546073,180000,0.0055,44974,0.23732998967170715
-82605.359375,14132,274,3429327.75,11.15,60.51506805419922,692,133770.48920031,190000,0.0055,47474,-0.2274411916732788
-90437.6484375,14862,274,28264050.0,13.23,89.33373260498047,728,125099.40594188002,200000,0.0055,49974,-18.020000457763672
-79265.859375,15439,274,9728682.0,11.34,91.91792297363281,764,133765.86656143,210000,0.0055,52474,3.056535243988037
-78176.328125,16311,274,7859218.5,11.25,72.40360260009766,801,133465.1,220000,0.0055,54974,-2.1260406970977783
-64615.90625,17022,274,12173496.0,11.52,167.64993286132812,838,126366.98569193,230000,0.0055,57474,3.2689995765686035
-79114.40625,17675,274,16408682.0,11.34,111.78182220458984,874,133758.8,240000,0.0055,59974,3.9717092514038086
-71369.203125,18458,274,21439812.0,17.29,172.10498046875,911,117619.40896007999,250000,0.0055,62474,5.680233001708984
-74087.1015625,19131,274,31776662.0,22.54,99.98522186279297,947,130939.63217172,260000,0.0055,64974,3.4212541580200195
-71711.78125,19744,274,7672851.5,12.6,90.64466094970703,984,133123.57781303,270000,0.0055,67474,1.7461110353469849
-71665.203125,20509,274,6402967.0,11.44,62.88707733154297,1021,132546.80252032998,280000,0.0055,69974,-0.8432900905609131
-60926.921875,21220,274,15970764.0,23.35,94.94293212890625,1057,96634.78905263002,290000,0.0055,72474,-1.8274258375167847
-78781.109375,22072,274,16342784.0,11.31,76.15108489990234,1094,133755.62664115,300000,0.0055,74974,1.6165623664855957
-80059.234375,22771,274,16755306.0,11.31,70.18341064453125,1130,133661.05103009,310000,0.0055,77474,-4.075571060180664
-48109.359375,23296,274,17480548.0,18.78,176.35813903808594,1167,121832.00543075001,320000,0.0055,79974,7.29434871673584
-62308.2421875,23842,274,13559223.0,11.49,110.71821594238281,1203,133758.7086003,330000,0.0055,82474,2.3513505458831787
-72918.8828125,24691,274,5142997.0,11.34,91.05829620361328,1240,133769.20714719,340000,0.0055,84974,0.40606582164764404
-75882.578125,25589,274,7075168.5,10.99,67.59947204589844,1276,133773.9,350000,0.0055,87474,-2.257476806640625
-70572.859375,26371,274,51976100.0,16.08,162.15365600585938,1313,66929.413025,360000,0.0055,89974,7.974635124206543
-59616.171875,26877,274,17525550.0,13.52,162.7861328125,1349,128833.21285292,370000,0.0055,92474,-1.230431079864502
-58199.578125,27296,274,18626344.0,13.78,165.961181640625,1385,132580.19356454,380000,0.0055,94974,6.666086196899414
-63515.8671875,28170,274,11840911.0,11.16,130.89630126953125,1421,133764.9438738,390000,0.0055,97474,4.393258571624756
-68268.59375,28977,274,9178660.0,11.45,111.91819763183594,1457,131414.01323242,400000,0.0055,99974,8.443143844604492
-82589.2421875,29790,273,5597571.5,10.86,77.4444351196289,1498,133776.5,410000,0.0055,102474,-1.977569818496704
-41247.8046875,30387,272,28784718.0,30.67,275.92974853515625,1538,-154760.89140288997,420000,0.0055,104974,15.34247875213623
-51014.71484375,30906,272,32344126.0,28.68,319.8326721191406,1578,-5253.201146749999,430000,0.0055,107474,10.702016830444336
-62536.4375,31677,271,11796726.0,11.71,100.67855072021484,1619,133750.49999633,440000,0.0055,109974,0.5414834022521973
-47600.0,32500,271,52778200.0,11.98,136.49942016601562,1659,132836.79619261,450000,0.0055,112474,-1.207334280014038
-62008.3515625,33200,270,169739392.0,20.91,289.1397705078125,1700,71567.2551625,460000,0.0055,114974,0.6716898083686829
-79242.625,33915,270,6983648.5,11.16,72.50265502929688,1740,133760.6,470000,0.0055,117474,2.0715689659118652
-73719.9296875,34667,269,44070720.0,26.95,207.40618896484375,1780,-4727.195453199998,480000,0.0055,119974,20.15717124938965
-80279.90625,35499,269,6541438.0,11.04,74.94580841064453,1821,133773.53763856002,490000,0.0055,122474,1.4529516696929932
-80398.421875,36359,268,7466517.0,13.0,106.77399444580078,1862,131494.92980193,500000,0.0055,124974,4.880242824554443
-80726.96875,37266,268,2730035.5,10.94,72.14131927490234,1902,133777.4453074,510000,0.0055,127474,0.983142077922821
-63258.2265625,37683,267,13429114.0,46.67,232.130126953125,1942,-220908.80776121,520000,0.0055,129974,15.286900520324707
-69642.6171875,38381,267,13408560.0,10.98,74.42752838134766,1982,133773.05759279,530000,0.0055,132474,1.3711521625518799
-66821.40625,39199,266,5061390.0,11.21,76.68341827392578,2023,132456.83472229,540000,0.0055,134974,-2.105710744857788
-68018.578125,40008,266,11620031.0,14.03,81.57992553710938,2063,133049.88661715,550000,0.0055,137474,-1.7526953220367432
-73310.6171875,40472,266,2675725.0,12.12,57.908302307128906,2103,132431.38480118,560000,0.0055,139974,0.7447348237037659
-57272.2109375,41328,265,77435240.0,13.79,214.83580017089844,2143,61117.36585395997,570000,0.0055,142474,-182.5223846435547
-38165.73828125,41574,265,42537152.0,35.7,553.8408813476562,2183,90814.10380936001,580000,0.0055,144974,28.231094360351562
-26369.6796875,42098,265,47542268.0,21.08,242.48471069335938,2223,61807.68698384001,590000,0.0055,147474,8.517619132995605
-55099.5078125,42716,264,24656692.0,11.25,96.407958984375,2264,133669.48240951,600000,0.0055,149974,3.7299439907073975
-43476.25390625,42983,264,15588130.0,11.12,69.4639892578125,2302,133063.03126172,610000,0.0055,152474,-0.3514077663421631
-44871.734375,43503,264,25300376.0,18.14,153.2342987060547,2343,131098.83946726,620000,0.0055,154974,9.625548362731934
-43684.71875,44183,264,35583428.0,17.47,133.4217529296875,2383,102708.42902449,630000,0.0055,157474,8.228023529052734
-55817.78125,44848,264,54505976.0,11.28,159.800537109375,2423,133555.5,640000,0.0055,159974,-73.43336486816406
-31311.31640625,45266,263,33707784.0,33.88,405.44970703125,2463,-18116.407284299996,650000,0.0055,162474,-9.583438873291016
