time/episodes,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/ent_coef,train/n_updates,rollout/ep_rew_mean,time/fps,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/time_elapsed
48,136.22916666666666,8449873.0,10000,47.050235748291016,2474,-1888234.9231592917,324,0.0055,-37.443843841552734,29051.5546875,30
61,295.9016393442623,4759442.0,20000,55.491275787353516,4974,-1515936.657829426,347,0.0055,5.460025310516357,16311.73046875,57
78,371.3205128205128,2152957.0,30000,30.101524353027344,7474,-1216152.5761185773,355,0.0055,5.35735559463501,10255.5703125,84
88,424.1136363636364,5194463.0,40000,14.105277061462402,9974,-1092598.1358136365,360,0.0055,2.4619598388671875,7963.4833984375,111
102,478.34,1052642.5,50000,11.076837539672852,12474,-999154.6523284401,362,0.0055,3.721574544906616,1243.764404296875,137
128,573.11,1885760.0,60000,9.154170036315918,14974,-826691.1596913001,363,0.0055,-7.343446731567383,5966.126953125,164
143,616.58,2618640.0,70000,11.995368957519531,17474,-172461.33600567,365,0.0055,1.3255982398986816,3773.52734375,191
158,617.94,1490095.5,80000,7.803317546844482,19974,-184008.96508377002,365,0.0055,0.7125856876373291,-546.35595703125,218
180,572.66,23248608.0,90000,9.3618803024292,22474,-247004.01801446997,366,0.0055,2.2592978477478027,2689.713134765625,245
193,578.71,1898000.75,100000,7.354931831359863,24974,-279092.14542444,366,0.0055,1.570824146270752,2341.138916015625,272
221,500.37,3254455.5,110000,48.82765579223633,27474,-431372.58411567,367,0.0055,20.6434326171875,9185.1162109375,299
243,519.33,2823228.0,120000,14.541709899902344,29974,-476542.56484635995,368,0.0055,2.320492744445801,-96.99627685546875,326
265,434.26,21536974.0,130000,33.556514739990234,32474,-441765.76287386,368,0.0055,9.635564804077148,5950.7109375,352
283,476.98,3076592.25,140000,23.511798858642578,34974,-473585.73133542,368,0.0055,-1.017652153968811,6642.384765625,379
295,498.46,3074117.25,150000,17.470304489135742,37474,-450303.89104760997,368,0.0055,-2.5661211013793945,2820.561279296875,406
317,525.85,4071628.25,160000,61.22504425048828,39974,-413552.92075592995,368,0.0055,-10.062166213989258,14227.6171875,433
332,520.32,5339818.0,170000,16.743576049804688,42474,-532801.0493724099,368,0.0055,-3.689058542251587,4192.703125,460
362,502.99,7373397.5,180000,95.09889221191406,44974,-842695.4641408101,368,0.0055,24.895061492919922,25894.43359375,487
374,571.32,55681788.0,190000,11.014266014099121,47474,-782156.9401097301,369,0.0055,2.7026007175445557,7057.05859375,514
392,499.45,3631427.5,200000,53.07440185546875,49974,-837886.42422215,369,0.0055,11.030743598937988,13798.478515625,541
410,504.59,24216794.0,210000,24.05721664428711,52474,-935642.65576188,369,0.0055,11.476057052612305,6816.9853515625,568
422,579.91,4475807.0,220000,26.22746467590332,54974,-864580.5070462999,369,0.0055,6.714956283569336,5247.5751953125,595
435,572.82,6273194.0,230000,50.52524948120117,57474,-674202.07207349,369,0.0055,-33.52049255371094,11662.263671875,623
450,614.42,3828461.75,240000,25.281814575195312,59974,-478026.0875367999,369,0.0055,-6.84080696105957,6112.09033203125,650
467,673.23,6311985.0,250000,217.84011840820312,62474,-640238.92301474,368,0.0055,34.28480529785156,17613.57421875,677
476,684.33,3537908.0,260000,15.989887237548828,64974,-648363.12810361,368,0.0055,3.7975053787231445,4065.25830078125,704
489,739.47,26795044.0,270000,216.195068359375,67474,-667089.48748857,369,0.0055,-147.59852600097656,52680.44921875,731
508,739.64,5201869.0,280000,37.85846710205078,69974,-797132.3240461298,369,0.0055,16.584476470947266,5934.66162109375,758
521,707.23,6369680.5,290000,11.875783920288086,72474,-981484.75877013,369,0.0055,-1.6571763753890991,11349.84375,785
536,696.44,7918225.0,300000,37.74378204345703,74974,-967593.8786410198,369,0.0055,8.894266128540039,2182.22705078125,812
553,694.06,8591276.0,310000,75.75386047363281,77474,-877855.56406196,369,0.0055,11.852307319641113,9360.4873046875,839
580,569.73,21908244.0,320000,251.48092651367188,79974,-1112440.84642354,369,0.0055,41.588687896728516,79484.5546875,866
610,472.07,45241808.0,330000,28.066837310791016,82474,-858558.9496230499,369,0.0055,8.04105281829834,24734.962890625,893
621,504.86,8516600.0,340000,17.689682006835938,84974,-666490.6152815599,369,0.0055,-6.572302341461182,6844.11083984375,920
630,517.99,7876518.0,350000,21.732452392578125,87474,-664597.8409312799,369,0.0055,3.958242893218994,11991.419921875,947
646,514.52,4328818.0,360000,191.56179809570312,89974,-945663.88115274,369,0.0055,21.149700164794922,22281.3984375,974
658,547.94,1751633.75,370000,11.557103157043457,92474,-701959.6099434501,369,0.0055,9.752415657043457,6413.19384765625,1001
669,611.99,1746828.625,380000,22.12990951538086,94974,-559232.84796939,369,0.0055,-16.798851013183594,8481.06640625,1028
685,691.11,8343088.0,390000,398.5912780761719,97474,-740882.1087254899,369,0.0055,28.28375244140625,41563.1171875,1056
704,745.45,47796340.0,400000,190.09190368652344,99974,-944411.8349208101,369,0.0055,-39.386558532714844,178091.859375,1083
722,671.68,4480379.0,410000,48.147178649902344,102474,-1102980.1048679901,368,0.0055,12.920891761779785,5613.5732421875,1113
737,651.86,60807000.0,420000,93.78837585449219,104974,-973838.60430178,367,0.0055,-17.848310470581055,30822.376953125,1143
746,688.35,29612392.0,430000,167.13002014160156,107474,-930587.50006934,366,0.0055,5.618605613708496,20020.0859375,1173
768,622.2,23119730.0,440000,559.6787719726562,109974,-961482.0971306599,365,0.0055,30.77105140686035,59554.578125,1203
778,628.33,2519236.5,450000,15.433037757873535,112474,-910190.5796743202,365,0.0055,13.045583724975586,8218.3125,1232
788,675.01,1111328.0,460000,1.6199156045913696,114974,-711092.2418590301,364,0.0055,0.9163596630096436,5522.533203125,1262
798,735.76,2071523.25,470000,9.720703125,117474,-439880.06699837017,363,0.0055,-15.838910102844238,6468.76171875,1291
812,758.82,1023585152.0,480000,3313.978271484375,119974,-479647.44500284997,363,0.0055,-34.31122589111328,317488.5625,1320
823,802.7,11061444.0,490000,95.30458068847656,122474,-808596.59668407,362,0.0055,24.71115493774414,41153.203125,1350
842,739.4,3434362.25,500000,42.70175552368164,124974,-744146.38571178,362,0.0055,6.923313140869141,11952.0126953125,1379
866,700.94,19391274.0,510000,358.482666015625,127474,-717352.2395649499,361,0.0055,-25.04745101928711,59310.55859375,1409
888,597.94,6744741.0,520000,183.5334014892578,129974,-898216.23076619,361,0.0055,38.405887603759766,15023.7431640625,1439
903,553.59,188165184.0,530000,271.933349609375,132474,-1033895.39517552,360,0.0055,-67.59944915771484,120600.625,1468
915,583.31,31925698.0,540000,131.2044219970703,134974,-923167.8728141598,360,0.0055,31.51105308532715,9462.189453125,1498
925,593.25,2381545.5,550000,10.691455841064453,137474,-807524.0991930801,359,0.0055,7.658137798309326,5701.966796875,1528
935,676.76,1403761.625,560000,6.248210906982422,139974,-770051.9171539999,359,0.0055,-0.6613603234291077,4764.841796875,1557
947,650.87,1518559.875,570000,54.48447036743164,142474,-823277.7236399801,359,0.0055,9.035423278808594,6884.154296875,1587
959,713.36,13323863.0,580000,35.00954055786133,144974,-991256.5100711902,358,0.0055,-27.8627986907959,35046.6484375,1616
967,786.14,1354176.125,590000,22.581693649291992,147474,-1035544.5353195099,358,0.0055,-3.191283702850342,6293.87890625,1646
986,817.77,2484029.0,600000,28.876497268676758,149974,-1214919.72096562,357,0.0055,16.46098518371582,3769.283203125,1676
999,798.68,1696655.25,610000,14.18421459197998,152474,-1166818.7677689602,357,0.0055,4.8328375816345215,5659.640625,1705
