train/n_updates,train/loss,train/approx_kl,rollout/ep_len_mean,train/std,train/value_loss,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance
10,401850784.0,0.005707396,363.82608695652175,1.017602562904358,984960439.1,978,0.0017,10,10000,0.0331298828125,-0.005317271049170813,0.2,-708127.4567782609,-8.57232969403267,-1.6689300537109375e-06
20,282849056.0,0.005755356,362.58490566037733,1.035811424255371,794384004.075,986,0.0017,20,20000,0.0345703125,-0.006478391435121011,0.2,-669983.6315902453,-8.678329011797905,-1.1920928955078125e-07
30,487001344.0,0.0033315672,361.8125,1.047944188117981,827708270.25,991,0.0017,30,30000,0.021044921875,-0.0036614373681004508,0.2,-658231.3022929875,-8.764240012317895,0.0
40,500175104.0,0.005485614,338.67,1.0641230344772339,720305550.8,993,0.0017,40,40000,0.031103515625,-0.00527799734418295,0.2,-588720.77428168,-8.845855142176152,1.1920928955078125e-07
60,270680096.0,0.0070203925,304.86,1.1045939922332764,650182010.125,898,0.0017,55,50000,0.05404052734375,-0.0070338905170501675,0.2,-500207.68972898007,-9.061083760857581,1.1920928955078125e-07
70,477154912.0,0.005493534,274.39,1.1233893632888794,651883426.5125,913,0.0017,65,60000,0.03402099609375,-0.003703771634172881,0.2,-421990.14233412006,-9.16783457621932,0.0
80,262697872.0,0.0069650947,268.72,1.1437866687774658,587498602.9375,924,0.0017,75,70000,0.05145263671875,-0.006211548708597548,0.2,-394686.51395818,-9.270753720402718,-1.1920928955078125e-07
90,197837984.0,0.007842803,276.74,1.1672402620315552,560841892.3875,933,0.0017,85,80000,0.05875244140625,-0.006015580817165756,0.2,-385686.36020031007,-9.387730929255486,0.0
100,175550320.0,0.0077403486,297.25,1.1963214874267578,478455233.6,940,0.0017,95,90000,0.04888916015625,-0.004116816349687724,0.2,-387426.60364574,-9.528799828141928,0.0
120,190278816.0,0.009136899,306.7,1.2574751377105713,389889820.61875,901,0.0017,110,100000,0.0600341796875,-0.003891386337818403,0.2,-369182.29822533,-9.821608638763427,-1.1920928955078125e-07
130,407243776.0,0.0073002283,290.9,1.2774702310562134,531447519.5125,909,0.0017,120,110000,0.05308837890625,-0.002221771647782589,0.2,-344882.43318381003,-9.935550283640623,0.0
140,133238512.0,0.007378499,281.7,1.3091167211532593,459671609.5,916,0.0017,130,120000,0.04892578125,-0.0035679231519679887,0.2,-328056.58216084004,-10.061998256295919,0.0
150,298408256.0,0.0068633836,282.48,1.3404277563095093,462443380.4,922,0.0017,140,130000,0.046142578125,-0.0025669933027529625,0.2,-341082.26903452,-10.20420042052865,0.0
170,228480352.0,0.010168882,285.35,1.4062920808792114,457530308.2125,895,0.0017,156,140000,0.06641845703125,-0.003794905463746545,0.2,-331560.13150261005,-10.489353665709496,0.0
180,205356352.0,0.0071047065,285.19,1.4370574951171875,415725070.05625,901,0.0017,166,150000,0.0439697265625,-0.00289343956974335,0.2,-330587.15470523003,-10.624131017923355,0.0
190,233275120.0,0.008630176,259.58,1.4714909791946411,415134188.5,907,0.0017,176,160000,0.054052734375,-0.0034110466394849936,0.2,-304440.36746288,-10.759492221474648,-1.1920928955078125e-07
200,379187008.0,0.008005702,289.64,1.5119520425796509,424132628.5625,912,0.0017,186,170000,0.05140380859375,-0.0027202738285268422,0.2,-321414.02146095,-10.913879302889109,0.0
210,154523696.0,0.009899974,276.32,1.5485538244247437,331932021.196875,917,0.0017,196,180000,0.0766357421875,-0.0036539786920911864,0.2,-303668.39941897005,-11.067463851720095,0.0
230,257065392.0,0.0107291015,278.78,1.627486228942871,410627045.15,897,0.0017,211,190000,0.0837646484375,-0.003846347046965093,0.2,-290759.27143421,-11.355625764280557,0.0
240,210943024.0,0.0065147337,242.3,1.6610509157180786,416571996.70625,902,0.0017,221,200000,0.0475830078125,-0.001785543787991628,0.2,-265337.27354554,-11.489749561995268,0.0
250,127776976.0,0.008805275,237.99,1.7118698358535767,387702014.86875,906,0.0017,231,210000,0.0646728515625,-0.0027721716764062877,0.2,-271822.62887327006,-11.646471694856881,0.0
260,316743360.0,0.0077204998,272.34,1.7554187774658203,445760147.1875,910,0.0017,241,220000,0.0509521484375,-0.002631222657055332,0.2,-303208.67096564005,-11.805899512767791,0.0
280,125164632.0,0.00910968,307.65,1.841370701789856,305665729.553125,895,0.0017,256,230000,0.0678955078125,-0.0026987718163582032,0.2,-330292.40898219,-12.079449309408664,-1.1920928955078125e-07
290,116899904.0,0.010550678,337.16,1.9062408208847046,368025804.74375,899,0.0017,266,240000,0.0656494140625,-0.0018119500298780622,0.2,-340680.88653414993,-12.274684574455023,0.0
300,90400856.0,0.0100934245,313.52,1.956437110900879,284225264.0125,902,0.0017,276,250000,0.08453369140625,-0.004389084875333538,0.2,-311590.21406335,-12.446215656399726,0.0
310,127465904.0,0.008486726,274.38,2.0001893043518066,354668382.3,906,0.0017,286,260000,0.064013671875,-0.0014651928859166219,0.2,-277658.72267988004,-12.586297961324453,0.0
320,179588144.0,0.006389495,248.55,2.0422918796539307,438765487.05,909,0.0017,296,270000,0.0494384765625,-0.000760140696002054,0.2,-267538.36718243,-12.712554293125867,0.0
340,107231200.0,0.010662682,240.07,2.1666202545166016,357204861.48125,897,0.0017,312,280000,0.0808837890625,-0.0024189809588278876,0.2,-261399.77504038002,-13.03485434576869,0.0
350,203080208.0,0.009811979,253.52,2.234036684036255,375091328.99375,900,0.0017,321,290000,0.06964111328125,-0.003781244430138031,0.2,-265890.06089642,-13.218941958993673,2.384185791015625e-07
360,199004912.0,0.010689896,281.27,2.3128373622894287,313540592.21875,904,0.0017,331,300000,0.069140625,-0.0008355942749403766,0.2,-291319.80030664,-13.423996230959892,-1.1920928955078125e-07
370,78816520.0,0.008648976,285.59,2.3593101501464844,274088500.971875,907,0.0017,341,310000,0.0685791015625,-0.002498496479984169,0.2,-297297.04972849006,-13.574587286263704,0.0
390,117710624.0,0.008788269,308.75,2.4870731830596924,306144048.08125,896,0.0017,356,320000,0.06796875,-0.002344856238596549,0.2,-306497.75482048,-13.873120527714491,0.0
400,252764224.0,0.009173514,280.52,2.561570882797241,341905372.871875,900,0.0017,366,330000,0.06563720703125,-0.0011654783671474433,0.2,-283653.89528485003,-14.039415326714515,0.0
410,112026992.0,0.008463922,277.93,2.620814323425293,357403015.925,903,0.0017,376,340000,0.06529541015625,-0.001390871904186497,0.2,-278022.62687912,-14.193505014479161,0.0
420,215325856.0,0.008577029,279.44,2.6781957149505615,329559638.675,906,0.0017,386,350000,0.07525634765625,-0.00216067681703862,0.2,-283648.36430609005,-14.324281906336546,5.960464477539063e-08
430,239211360.0,0.009040004,289.38,2.743669271469116,310727668.1625,909,0.0017,395,360000,0.070263671875,-0.000436583978444105,0.2,-287951.8244069701,-14.45817017480731,0.0
450,207166560.0,0.009209794,314.13,2.921038866043091,300755062.96875,900,0.0017,410,370000,0.07484130859375,-0.00227799913727722,0.2,-305353.09123873996,-14.813440034538507,0.0
460,247385856.0,0.009834883,299.96,3.001100540161133,292384344.7375,903,0.0017,420,380000,0.084619140625,-0.002069165141438134,0.2,-295789.41210667003,-14.975797777622939,0.0
470,139574000.0,0.010600525,300.31,3.0979387760162354,319747734.675,905,0.0017,430,390000,0.08521728515625,-0.0033681374921798123,0.2,-298464.66193059995,-15.146506898105145,-1.1920928955078125e-07
