rollout/ep_len_mean,train/value_loss,train/policy_objective,train/explained_variance,train/is_line_search_success,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/kl_divergence_loss,train/std,time/fps,rollout/ep_rew_mean
37.53,5583698151.2,0.024427413940429688,-5.960464477539062e-07,1.0,10000,5,1,0.0013,0.005850097164511681,1.008673906326294,1697,-195670.3467283
35.88,5326584105.6,0.012315637432038784,0.0,1.0,20000,11,2,0.0013,0.004697482567280531,0.9825222492218018,1710,-177430.60809682
32.02,5535911808.0,0.02718557044863701,0.0,1.0,30000,17,3,0.0013,0.008866063319146633,0.9755477905273438,1707,-160658.60484723005
26.97,4959732092.0,0.01517487782984972,0.0,1.0,40000,23,4,0.0013,0.004630372393876314,0.9748601317405701,1706,-139089.75134141
34.94,4686578974.8,0.021340344101190567,1.1920928955078125e-07,1.0,50000,30,6,0.0013,0.007877971045672894,0.9534149169921875,1625,-155880.15924203
36.48,4382194666.8,0.02583550103008747,1.1920928955078125e-07,1.0,60000,36,7,0.0013,0.005825858563184738,0.9410387873649597,1635,-144813.98885229
26.97,4214323016.8,0.018885383382439613,0.0,1.0,70000,42,8,0.0013,0.0060816374607384205,0.9357781410217285,1642,-119217.58420416
31.69,4159340086.0,0.012963666580617428,0.0,1.0,80000,48,9,0.0013,0.008419656194746494,0.9372294545173645,1646,-146228.61190405
30.94,4784113703.6,0.032534681260585785,0.0,1.0,90000,54,10,0.0013,0.008500847034156322,0.9315225481987,1651,-129491.67881062001
28.63,4186755295.2,0.015028327703475952,0.0,1.0,100000,61,12,0.0013,0.006524154916405678,0.9314334988594055,1615,-121554.21512575
28.37,4012615984.8,0.026670968160033226,-1.1920928955078125e-07,1.0,110000,67,13,0.0013,0.005592016037553549,0.9290645122528076,1620,-113378.80584444
32.0,3838242378.4,0.021691840142011642,0.0,1.0,120000,73,14,0.0013,0.006922280881553888,0.9335411190986633,1623,-107109.58660144001
30.47,3797461632.4,0.03131243214011192,0.0,1.0,130000,79,15,0.0013,0.007831363938748837,0.9214707016944885,1627,-110442.97582900999
33.18,3627886295.2,0.022933803498744965,0.0,1.0,140000,87,17,0.0013,0.005957033019512892,0.8768307566642761,1603,-99608.20232568002
39.81,3727126975.6,0.032425377517938614,1.1920928955078125e-07,1.0,150000,93,18,0.0013,0.008600469678640366,0.8720902800559998,1606,-99383.99890992999
38.48,3163143889.2,0.020708564668893814,0.0,1.0,160000,99,19,0.0013,0.008163548074662685,0.8601740002632141,1606,-59742.05172166002
41.65,2683767209.4,0.027492640540003777,0.0,1.0,170000,105,20,0.0013,0.006626144051551819,0.842227041721344,1610,-40885.44520762
62.66,2628847069.0,0.024739596992731094,0.0,1.0,180000,111,21,0.0013,0.008335166610777378,0.8323388695716858,1613,-90927.53041462
46.36,2715372144.0,0.02914414368569851,0.0,1.0,190000,118,23,0.0013,0.007507973816245794,0.8135364651679993,1597,-63965.25039543
44.71,2397668406.0,0.02822946384549141,0.0,1.0,200000,124,24,0.0013,0.007497074548155069,0.811738908290863,1600,-17615.364039769996
39.07,2162508878.2,0.02745594084262848,0.0,1.0,210000,131,25,0.0013,0.007971740327775478,0.8047652244567871,1602,-809.7086226599989
42.32,2291520698.0,0.03305970877408981,0.0,1.0,220000,137,26,0.0013,0.008758987300097942,0.7875191569328308,1605,28801.87084658
58.84,2072657792.6,0.038048598915338516,0.0,1.0,230000,144,28,0.0013,0.008736883290112019,0.7831742763519287,1591,-15376.998204480005
43.21,2114242624.0,0.03156871348619461,0.0,1.0,240000,150,29,0.0013,0.008867233991622925,0.7764031887054443,1594,55083.94556855
58.15,1649146119.6,0.025950882583856583,0.023366689682006836,1.0,250000,156,30,0.0013,0.007240631151944399,0.7620399594306946,1597,20133.380748879998
44.05,1645819939.8,0.016604017466306686,0.030111849308013916,1.0,260000,162,31,0.0013,0.00619858130812645,0.7498299479484558,1599,53789.29419946001
69.87,1742316997.8,0.03022707998752594,0.0307009220123291,1.0,270000,168,32,0.0013,0.007396697998046875,0.7402135729789734,1601,31205.7993982
45.74,1826276123.6,0.02267652563750744,0.03560328483581543,1.0,280000,177,34,0.0013,0.0064786821603775024,0.7306604981422424,1576,60762.34925061001
49.38,1987417897.4,0.021168705075979233,0.02472132444381714,1.0,290000,183,35,0.0013,0.006463866215199232,0.7229104042053223,1579,54956.19646390001
44.23,1946220739.8,0.033413052558898926,0.029779136180877686,1.0,300000,189,36,0.0013,0.008827589452266693,0.7206699848175049,1582,77059.36450438999
43.53,2296002454.0,0.02875996194779873,0.022177457809448242,1.0,310000,195,37,0.0013,0.007297048810869455,0.7216354012489319,1585,81341.45349865
32.61,2657789108.6,0.02225303463637829,0.012465417385101318,1.0,320000,203,39,0.0013,0.0096582705155015,0.6928596496582031,1575,99662.24246265001
51.16,1887633131.8,0.02797331102192402,0.043086230754852295,1.0,330000,209,40,0.0013,0.009112195111811161,0.6857008934020996,1578,69346.25331831
26.42,2534280421.6,0.02823299542069435,0.04744124412536621,1.0,340000,215,41,0.0013,0.007492216303944588,0.6784495711326599,1580,115765.86154237
47.1,2352117951.0,0.02535811811685562,0.042049944400787354,1.0,350000,221,42,0.0013,0.008482958190143108,0.6630985736846924,1583,89403.91154105999
37.97,1640476003.0,0.029397474601864815,0.06803900003433228,1.0,360000,227,43,0.0013,0.008732965216040611,0.6552082896232605,1585,107478.33231977999
30.97,2222845629.2,0.02485767751932144,0.07197844982147217,1.0,370000,234,45,0.0013,0.008548363111913204,0.6489705443382263,1577,112107.92208663
21.72,3459454097.2,0.025431960821151733,0.04769843816757202,1.0,380000,240,46,0.0013,0.0069109369069337845,0.6443827152252197,1578,118791.82311403999
19.87,3028250638.4,0.025763990357518196,0.040551602840423584,1.0,390000,246,47,0.0013,0.007084700744599104,0.6404872536659241,1580,120145.93487422999
59.2,3003586005.2,0.019774962216615677,0.058756351470947266,1.0,400000,252,48,0.0013,0.007472109515219927,0.6380618810653687,1582,89096.14296419
30.29,3420393488.4,0.024874426424503326,0.05526161193847656,1.0,410000,260,50,0.0013,0.0064477561973035336,0.6284659504890442,1574,116589.38567023998
30.26,3242474310.0,0.02132992073893547,0.08851706981658936,1.0,420000,266,51,0.0013,0.009604350663721561,0.6233059763908386,1575,114156.32810895
34.09,2335895664.2,0.023320337757468224,0.06807094812393188,1.0,430000,272,52,0.0013,0.008381153456866741,0.6203837990760803,1577,115379.99658433
19.6,1761329417.6,0.023062562569975853,0.10395002365112305,1.0,440000,278,53,0.0013,0.006640574429184198,0.6180792450904846,1578,124698.9827908
39.36,3714681549.2,0.02545437589287758,0.08103042840957642,1.0,450000,284,54,0.0013,0.006532201077789068,0.6144922375679016,1579,114943.35440435
21.93,3586353576.8,0.01581069827079773,0.04739534854888916,1.0,460000,292,56,0.0013,0.006136691197752953,0.6021440625190735,1573,119580.83259961002
37.48,2112564365.4,0.0223566684871912,0.07265138626098633,1.0,470000,298,57,0.0013,0.008419889956712723,0.5988680124282837,1574,108737.39602915
28.66,2666425443.6,0.027596628293395042,0.10435706377029419,1.0,480000,304,58,0.0013,0.007336784154176712,0.5972393751144409,1576,117764.68164244
17.59,3025411190.0,0.02526930719614029,0.08774268627166748,1.0,490000,310,59,0.0013,0.008780763484537601,0.5983749032020569,1577,123036.54068249
30.96,2970600587.2,0.028689812868833542,0.09353548288345337,1.0,500000,318,61,0.0013,0.00821786466985941,0.5965415239334106,1571,113323.46020542
26.94,4311515758.4,0.02423161268234253,0.07914066314697266,1.0,510000,324,62,0.0013,0.006386721972376108,0.595032811164856,1571,120402.69450658
17.56,4063246810.4,0.024660248309373856,0.021266639232635498,1.0,520000,330,63,0.0013,0.008207584731280804,0.5937225222587585,1572,128671.1595912
36.92,4252511462.0,0.01935984566807747,0.0,1.0,530000,336,64,0.0013,0.006165583152323961,0.5958979725837708,1573,120204.34497666
16.81,2325281549.0,0.020218558609485626,0.026233196258544922,1.0,540000,342,65,0.0013,0.008017887361347675,0.5927059054374695,1574,125576.32403765999
19.27,3540308870.4,0.018764149397611618,0.022730767726898193,1.0,550000,350,67,0.0013,0.009038283489644527,0.5885541439056396,1568,124000.09173010002
17.09,3075649269.2,0.022124316543340683,0.004327535629272461,1.0,560000,356,68,0.0013,0.009288442321121693,0.5874971747398376,1569,128999.57269891001
26.62,4288822036.4,0.02251632884144783,0.10140693187713623,1.0,570000,363,69,0.0013,0.009469929151237011,0.5867562890052795,1570,126598.80483488
25.87,4307438125.6,0.023560285568237305,0.013698339462280273,1.0,580000,369,70,0.0013,0.008668567053973675,0.5858593583106995,1570,128361.97251587998
29.14,3927880782.0,0.01663893833756447,0.06999343633651733,1.0,590000,377,72,0.0013,0.007103319745510817,0.5842222571372986,1564,128377.74763953999
17.16,5131213614.4,0.03105509653687477,0.0,1.0,600000,383,73,0.0013,0.00994926318526268,0.5797315239906311,1565,129895.31885107
15.95,3427436275.6,0.014194240793585777,0.025885581970214844,1.0,610000,389,74,0.0013,0.006104049738496542,0.5783039331436157,1566,131436.72296458
16.61,3922339106.0,0.028202639892697334,0.07991969585418701,1.0,620000,395,75,0.0013,0.00868114922195673,0.5757346749305725,1567,129411.61948093
16.46,3808249241.2,0.0233165193349123,0.10344260931015015,1.0,630000,401,76,0.0013,0.006181327160447836,0.5734670162200928,1567,130422.92099303
16.71,4620252170.0,0.025722602382302284,0.09699642658233643,1.0,640000,409,78,0.0013,0.006492109969258308,0.5648425221443176,1562,131004.08337604001
20.21,4987290384.8,0.020457936450839043,0.07207787036895752,1.0,650000,415,79,0.0013,0.00722248712554574,0.5621926188468933,1563,126387.70299022998
24.23,3766328546.0,0.018622683361172676,0.11833721399307251,1.0,660000,421,80,0.0013,0.007888127118349075,0.561612606048584,1564,127121.83567438001
17.03,3331246614.4,0.015463126823306084,0.12345099449157715,1.0,670000,428,81,0.0013,0.006260612513870001,0.5585442781448364,1564,128168.40402911998
44.31,2719164223.6,0.023282334208488464,0.1432805061340332,1.0,680000,435,83,0.0013,0.0073317973874509335,0.5503427386283875,1560,93166.74944997
25.85,3496392360.8,0.02303600311279297,0.15902715921401978,1.0,690000,441,84,0.0013,0.008734376169741154,0.5498297214508057,1561,126483.51853570002
25.4,3907227040.4,0.024427032098174095,0.053936898708343506,1.0,700000,447,85,0.0013,0.008706745691597462,0.5456220507621765,1562,126421.73301368
25.6,4586737337.6,0.026324700564146042,0.0016736984252929688,1.0,710000,454,86,0.0013,0.008549337275326252,0.5438410043716431,1563,128873.01567765999
15.68,3942875704.4,0.01584458164870739,0.024759232997894287,1.0,720000,460,87,0.0013,0.009100058116018772,0.5380298495292664,1563,129934.83599578001
14.91,5176106164.8,0.025106625631451607,0.0,1.0,730000,468,89,0.0013,0.007852079346776009,0.5322583317756653,1558,130458.41306884
14.49,5414830824.0,0.03086450695991516,0.0,1.0,740000,474,90,0.0013,0.007130414713174105,0.5282049775123596,1559,131475.09997992002
14.83,5609780156.0,0.01613479107618332,0.0,1.0,750000,480,91,0.0013,0.006688982248306274,0.5256085991859436,1559,131975.49998852
24.67,5426731064.0,0.01961963064968586,8.940696716308594e-07,1.0,760000,487,92,0.0013,0.006079430226236582,0.5220206379890442,1559,84094.28767290998
14.77,6264407420.0,0.018000571057200432,0.08031654357910156,1.0,770000,493,93,0.0013,0.007345075253397226,0.5195174813270569,1560,130566.77463339001
14.35,5196615489.6,0.029925022274255753,0.12052178382873535,1.0,780000,501,95,0.0013,0.00951638724654913,0.5189887881278992,1556,132286.89999235
14.47,5659198977.6,0.02015562169253826,7.450580596923828e-06,1.0,790000,507,96,0.0013,0.009181874804198742,0.5148741006851196,1556,131370.62135538002
13.9,5584351118.4,0.02243753895163536,-1.1920928955078125e-07,1.0,800000,513,97,0.0013,0.008506366051733494,0.510736882686615,1557,132603.9999659
13.73,5945458342.4,0.019396062940359116,0.1079486608505249,1.0,810000,520,98,0.0013,0.008222787640988827,0.5090339183807373,1557,133012.7957747
15.26,5697729931.2,0.019900016486644745,-2.384185791015625e-07,1.0,820000,527,100,0.0013,0.00831525307148695,0.5049052238464355,1553,131957.85381462
14.63,5020837044.0,0.019097132608294487,0.17231982946395874,1.0,830000,534,101,0.0013,0.008054513484239578,0.5064690113067627,1554,131369.59997958
13.85,5262139200.8,0.024226661771535873,0.12736433744430542,1.0,840000,540,102,0.0013,0.008762017823755741,0.5039342045783997,1554,132198.69999174
15.3,5267267348.8,0.011695203371345997,0.0,1.0,850000,546,103,0.0013,0.006632940378040075,0.5004140138626099,1554,132046.57172412
13.73,5509697728.0,0.01913149654865265,-1.1920928955078125e-07,1.0,860000,552,104,0.0013,0.00603772746399045,0.4998045861721039,1555,133014.4727541
13.94,4253186035.2,0.020115284249186516,-1.1920928955078125e-07,1.0,870000,560,106,0.0013,0.006405791733413935,0.4991709291934967,1552,131591.13215488
18.92,4320333749.6,0.01740235835313797,0.0,1.0,880000,566,107,0.0013,0.007012064103037119,0.49835824966430664,1553,129699.92249909001
13.57,4950504311.2,0.02495788410305977,0.0,1.0,890000,572,108,0.0013,0.00762089854106307,0.4985523521900177,1553,132207.86967567
24.02,5805272737.6,0.019004736095666885,0.0,1.0,900000,579,109,0.0013,0.007759179919958115,0.4969559609889984,1553,128886.48164505001
13.53,5576144722.4,0.026326648890972137,5.960464477539063e-08,1.0,910000,586,111,0.0013,0.0061918883584439754,0.4929332733154297,1550,130079.93166907
13.61,5675124201.6,0.023696310818195343,0.0,1.0,920000,593,112,0.0013,0.006764930207282305,0.4884253442287445,1550,132408.72727489
13.79,5847177461.6,0.024439623579382896,0.0,1.0,930000,599,113,0.0013,0.007141991052776575,0.4862135946750641,1550,133007.72851532002
13.1,5850899880.0,0.027872856706380844,1.1920928955078125e-07,1.0,940000,605,114,0.0013,0.008763527497649193,0.4805135726928711,1551,132714.05030432998
13.25,5543138438.4,0.024098364636301994,0.0,1.0,950000,612,115,0.0013,0.009826353751122952,0.4805968701839447,1551,132918.8
13.06,6017718494.4,0.022649329155683517,0.0,1.0,960000,620,117,0.0013,0.008235485292971134,0.4770295321941376,1548,133221.08250608
13.0,5962716716.0,0.02285262942314148,-1.1920928955078125e-07,1.0,970000,626,118,0.0013,0.00661500496789813,0.4753599166870117,1548,131492.5976282
13.05,7559666592.0,0.016330180689692497,0.0,1.0,980000,632,119,0.0013,0.008774826303124428,0.4746752679347992,1549,133624.37543141
13.02,5920330472.8,0.02074241265654564,0.13074713945388794,1.0,990000,638,120,0.0013,0.00797225534915924,0.47236743569374084,1549,133228.65302391
