train/value_loss,train/explained_variance,time/fps,time/total_timesteps,train/is_line_search_success,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/kl_divergence_loss,train/policy_objective,time/time_elapsed,train/learning_rate
4074148164.0,-3.5762786865234375e-07,1732,10000,1.0,1.006652593612671,113.26744186046511,-423651.4316065813,1,0.005846546962857246,0.03359880670905113,5,0.0013
3010634040.8,0.0,1749,20000,1.0,0.9941893219947815,99.91,-305897.86589881004,2,0.007218295708298683,0.02943498082458973,11,0.0013
2613119313.8,0.0,1743,30000,1.0,0.9740190505981445,79.12,-248126.54700631005,3,0.00599907711148262,0.027794115245342255,17,0.0013
2639695816.8,0.0,1744,40000,1.0,0.9593623280525208,93.7,-241687.64465983995,4,0.006973693612962961,0.016349434852600098,22,0.0013
2379520549.0,0.0,1660,50000,1.0,0.9407952427864075,83.01,-222392.61507187,6,0.007092262152582407,0.032084524631500244,30,0.0013
2295948979.6,0.0,1670,60000,1.0,0.9374101161956787,80.57,-190686.27416302997,7,0.0066284481436014175,0.025045247748494148,35,0.0013
2172170171.0,0.0,1678,70000,1.0,0.9234115481376648,106.41,-233109.97890626,8,0.006327228154987097,0.03203112632036209,41,0.0013
1922096048.0,5.960464477539063e-08,1683,80000,1.0,0.9206603169441223,97.14,-214084.11986814,9,0.007844584994018078,0.0291732344776392,47,0.0013
2064360499.0,0.0,1689,90000,1.0,0.9139814376831055,98.52,-203321.97592196,10,0.00646674120798707,0.03020174242556095,53,0.0013
1843936426.0,-1.1920928955078125e-07,1655,100000,1.0,0.9142860770225525,133.9,-252365.95061283995,12,0.008038989268243313,0.04256286844611168,60,0.0013
1749040757.2,-1.1920928955078125e-07,1661,110000,1.0,0.9034095406532288,109.08,-203114.48643755994,13,0.009448022581636906,0.03024163469672203,66,0.0013
1639907517.0,0.0,1667,120000,1.0,0.9015328884124756,122.87,-222907.31573447,14,0.0075381300412118435,0.04424839839339256,71,0.0013
1558997186.4,-1.1920928955078125e-07,1673,130000,1.0,0.9069090485572815,127.73,-200542.10293681,15,0.005588375497609377,0.03223786875605583,77,0.0013
1419781789.5,0.0,1649,140000,1.0,0.8976594805717468,121.66,-165899.58548828997,17,0.006805311888456345,0.030100518837571144,84,0.0013
1280843149.7,0.0,1654,150000,1.0,0.9010365605354309,148.25,-178340.12960093,18,0.007628575433045626,0.03301357850432396,90,0.0013
1330180199.6,0.0,1659,160000,1.0,0.8893882632255554,138.5,-165254.43584614998,19,0.009250987321138382,0.039318203926086426,96,0.0013
1205010856.8,0.0,1665,170000,1.0,0.8712068200111389,148.28,-179149.37763098002,20,0.006839739624410868,0.0356207937002182,102,0.0013
1502731713.3,0.0,1670,180000,1.0,0.8781018853187561,146.94,-154345.52681816,21,0.007746568415313959,0.03172878175973892,107,0.0013
1043971152.0,0.0,1652,190000,1.0,0.8617684245109558,165.09,-150578.34528635,23,0.007678983733057976,0.030993927270174026,114,0.0013
1091063952.7,-1.1920928955078125e-07,1656,200000,1.0,0.8698461055755615,175.32,-187264.61012886,24,0.008410133421421051,0.03266005963087082,120,0.0013
956747696.8,0.0,1658,210000,1.0,0.8661863207817078,169.29,-172290.21117519998,25,0.00708563020452857,0.02898506633937359,126,0.0013
1187322766.0,0.0,1661,220000,1.0,0.8446042537689209,136.46,-94864.57806151,26,0.007433958817273378,0.02904059924185276,132,0.0013
987134630.45,0.0,1646,230000,1.0,0.83859783411026,141.3,-73969.86278945,28,0.006940979044884443,0.03355926275253296,139,0.0013
816863466.75,0.0,1649,240000,1.0,0.8309505581855774,142.82,-62709.51859959999,29,0.009273432195186615,0.03477723151445389,145,0.0013
759113957.6,1.1920928955078125e-07,1653,250000,1.0,0.8199407458305359,181.65,-98699.15113611001,30,0.00907598715275526,0.03420304134488106,151,0.0013
722351662.25,0.0,1656,260000,1.0,0.8146663308143616,173.1,-71817.41619695,31,0.008255071938037872,0.0346478708088398,156,0.0013
678799991.8,0.0,1658,270000,1.0,0.8082800507545471,169.52,-48182.62054595,32,0.007491696625947952,0.028377147391438484,162,0.0013
606802540.15,0.0,1645,280000,1.0,0.821136474609375,177.07,-51824.511328110006,34,0.00881139375269413,0.028603386133909225,170,0.0013
807490312.75,0.0,1648,290000,1.0,0.819974422454834,158.12,-23348.962441720003,35,0.007859715260565281,0.032609131187200546,175,0.0013
806770800.0,0.0,1650,300000,1.0,0.823240339756012,173.96,-52775.19627497,36,0.005740465130656958,0.028983548283576965,181,0.0013
867429304.8,-1.1920928955078125e-07,1652,310000,1.0,0.8161647915840149,174.87,-50182.84397362001,37,0.008030739612877369,0.03396691381931305,187,0.0013
648332607.85,0.0,1642,320000,1.0,0.8364713788032532,174.69,-29246.291545350003,39,0.006741946097463369,0.0302154291421175,194,0.0013
677320153.95,1.7881393432617188e-07,1644,330000,1.0,0.8361325263977051,158.51,-3176.054768060002,40,0.008190392516553402,0.028336424380540848,200,0.0013
726095198.65,0.0,1646,340000,1.0,0.8257178664207458,165.86,-19284.4983103,41,0.00942138209939003,0.0357038676738739,206,0.0013
817465100.65,0.0,1648,350000,1.0,0.8251941800117493,156.42,-15959.927520620002,42,0.007990156300365925,0.03442388027906418,212,0.0013
727273255.0,0.0,1650,360000,1.0,0.8190042972564697,167.87,-22141.11091907,43,0.009005281142890453,0.037556298077106476,218,0.0013
929492458.75,0.0,1640,370000,1.0,0.8110679984092712,152.52,-11337.228194880001,45,0.006332188844680786,0.03242917358875275,225,0.0013
854082190.5,0.0,1642,380000,1.0,0.8025394082069397,116.24,40894.4799963,46,0.008954228833317757,0.03129597753286362,231,0.0013
631151875.9,0.0,1643,390000,1.0,0.7988497614860535,137.7,26838.388237580002,47,0.006358008366078138,0.02466300129890442,237,0.0013
770146801.0,0.0,1645,400000,1.0,0.7972987294197083,146.37,19707.95954825,48,0.00778880575671792,0.03442748636007309,243,0.0013
766754338.4,-1.1920928955078125e-07,1636,410000,1.0,0.7837709784507751,133.53,35647.454249179995,50,0.009136089123785496,0.03518078103661537,250,0.0013
958589512.6,0.0,1638,420000,1.0,0.7771192193031311,115.13,40427.56840559,51,0.005904386285692453,0.01736939512193203,256,0.0013
868270283.5,0.0,1639,430000,1.0,0.7806339263916016,106.25,59522.60345472,52,0.007877944968640804,0.03809503838419914,262,0.0013
718493188.65,-1.1920928955078125e-07,1641,440000,1.0,0.7736453413963318,127.93,40831.14624913,53,0.009399081580340862,0.03859878331422806,268,0.0013
829685584.35,0.0,1642,450000,1.0,0.7721624970436096,115.97,55042.35285831,54,0.007897340692579746,0.034957561641931534,273,0.0013
833601071.3,0.0,1635,460000,1.0,0.7632974982261658,115.86,49986.65676269001,56,0.006836181506514549,0.025364737957715988,281,0.0013
1068337798.4,1.7881393432617188e-07,1637,470000,1.0,0.7586203217506409,91.91,66885.65608887,57,0.00862088706344366,0.029474083334207535,287,0.0013
747012135.7,1.7881393432617188e-07,1638,480000,1.0,0.7478645443916321,121.08,39670.25592893,58,0.008903051726520061,0.03012460470199585,292,0.0013
972805563.3,0.0030475258827209473,1640,490000,1.0,0.7417407631874084,110.39,58920.69042317999,59,0.008927536197006702,0.03467071056365967,298,0.0013
665377368.0,0.02086097002029419,1633,500000,1.0,0.737149715423584,147.59,28591.491244760004,61,0.008726931177079678,0.033155281096696854,306,0.0013
993771581.75,0.01807713508605957,1635,510000,1.0,0.7377622127532959,84.81,82417.46875483,62,0.009059992618858814,0.026858922094106674,311,0.0013
924776425.0,0.02285635471343994,1636,520000,1.0,0.7331769466400146,95.04,77037.84253496,63,0.00952338706701994,0.03434700518846512,317,0.0013
634867007.55,0.03661578893661499,1637,530000,1.0,0.730171263217926,131.83,51462.25549261,64,0.008090979419648647,0.030369697138667107,323,0.0013
1124759138.6,0.008661448955535889,1639,540000,1.0,0.7259135842323303,95.14,70955.94882196,65,0.009302499704062939,0.026167888194322586,329,0.0013
1186894666.0,0.010408580303192139,1633,550000,1.0,0.7198281288146973,67.21,94464.65641684999,67,0.0091956602409482,0.03538546711206436,336,0.0013
