train/n_updates,train/learning_rate,rollout/ep_len_mean,train/std,train/entropy_loss,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/policy_loss,train/value_loss,time/fps,time/time_elapsed
124,0.0001,16.08,1.0012322664260864,-12.781437873840332,-132241.20120009,10000,5.9604644775390625e-06,-412100.15625,2696911360.0,1787,5
249,0.0001,15.96,1.0014320611953735,-12.783820152282715,-138153.410759,20000,-1.1920928955078125e-07,-734446.0,3918385664.0,1786,11
374,0.0001,15.68,1.001418113708496,-12.782963752746582,-135696.97959163,30000,-1.1920928955078125e-07,-542854.4375,3015448064.0,1782,16
499,0.0001,17.04,1.0009725093841553,-12.77906608581543,-146049.98028975,40000,1.7881393432617188e-07,-453591.65625,2649456896.0,1777,22
624,0.0001,14.02,1.0009182691574097,-12.778252601623535,-141445.71734395,50000,5.960464477539063e-08,-772073.875,4778785792.0,1772,28
749,0.0001,16.37,1.0002223253250122,-12.772661209106445,-146425.37724941003,60000,0.0,-333967.9375,1650238592.0,1766,33
874,0.0001,15.26,1.0001283884048462,-12.771032333374023,-110377.20239402002,70000,0.0,-346606.53125,2767619840.0,1761,39
999,0.0001,15.12,0.9997751712799072,-12.769043922424316,-109973.78442223997,80000,0.0,-608530.5625,4038281216.0,1756,45
1124,0.0001,13.76,0.9990378618240356,-12.762323379516602,-78322.86523433,90000,0.0,21336.025390625,1416439552.0,1750,51
1249,0.0001,13.87,0.9983580708503723,-12.755730628967285,-99967.63726205999,100000,0.0,-151141.578125,2534604032.0,1746,57
1374,0.0001,15.07,0.9980519413948059,-12.752906799316406,-91809.02987698001,110000,-1.1920928955078125e-07,-416394.5625,3006866176.0,1741,63
1499,0.0001,14.14,0.9977938532829285,-12.750714302062988,-93459.70926181001,120000,0.0,-645362.375,3633356032.0,1737,69
1624,0.0001,16.54,0.9974223375320435,-12.747437477111816,-97241.10457581999,130000,0.0,-338307.90625,3940759552.0,1734,74
1749,0.0001,14.79,0.9971335530281067,-12.744635581970215,-74277.19005513,140000,5.960464477539063e-08,-515891.6875,4475212800.0,1731,80
1874,0.0001,14.34,0.996405303478241,-12.738470077514648,-77634.16146579999,150000,0.0,-269774.28125,3394584064.0,1728,86
1999,0.0001,15.75,0.9959151744842529,-12.733613014221191,-94550.11951517002,160000,0.0,-690055.5625,3845972736.0,1726,92
2124,0.0001,14.35,0.9951685667037964,-12.726563453674316,-78189.59693562,170000,0.0,-36934.16015625,2631744768.0,1725,98
2249,0.0001,11.56,0.9950585961341858,-12.72592830657959,-55196.77283856,180000,0.0,-402131.40625,3688006912.0,1722,104
2374,0.0001,12.97,0.9943211674690247,-12.719721794128418,-79186.75950795,190000,0.0,-339480.3125,3256711168.0,1714,110
2499,0.0001,13.49,0.9941771030426025,-12.717723846435547,-56727.64757862999,200000,0.0,-152208.5625,2758690304.0,1701,117
2624,0.0001,12.39,0.9935352802276611,-12.71159839630127,-45255.89302343,210000,0.0,-144727.46875,3103843072.0,1692,124
2749,0.0001,12.09,0.9928038120269775,-12.70567798614502,-59035.911883160006,220000,0.0,37505.40625,2448057344.0,1684,130
2874,0.0001,12.56,0.9923549294471741,-12.70121955871582,-44683.573813389994,230000,0.0,-115478.765625,2074084992.0,1678,137
2999,0.0001,12.83,0.9920979738235474,-12.699193954467773,-33023.831919280005,240000,0.0,-373917.0625,1996341248.0,1673,143
3124,0.0001,13.49,0.9916060566902161,-12.69437313079834,-73287.27848189998,250000,0.0,-163254.703125,2652490496.0,1667,149
3249,0.0001,14.63,0.9909718632698059,-12.688838005065918,-84583.73267097,260000,0.0,-508128.59375,4373675008.0,1667,155
3374,0.0001,13.36,0.990283727645874,-12.682219505310059,-45653.63411889001,270000,0.0,-160067.59375,4907381248.0,1667,161
3499,0.0001,13.1,0.9895548224449158,-12.675342559814453,-41476.98893678,280000,0.0,-62704.4765625,2767252736.0,1668,167
3624,0.0001,12.36,0.9886515140533447,-12.668052673339844,-28922.226947289993,290000,5.960464477539063e-08,-304420.65625,3367924224.0,1667,173
3749,0.0001,15.85,0.9879229068756104,-12.661065101623535,-67163.31643539999,300000,5.960464477539063e-08,-579994.5,3762805248.0,1667,179
3874,0.0001,13.78,0.9874304533004761,-12.656288146972656,-42356.162381140006,310000,0.0,-101841.3515625,2652459008.0,1667,185
3999,0.0001,13.43,0.9865460991859436,-12.648138999938965,-18894.283640179998,320000,0.0,-86868.3125,3381343744.0,1667,191
