rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/step_size,rollout/return_std,train/delta_std,train/learning_rate,train/iterations
1000.0,5,10000,1911,-29823685.532889,,,,,
1000.0,10,20000,1975,-29715496.486083,,,,,
1000.0,14,30000,2002,-29763904.953995716,,,,,
1000.0,19,40000,2014,-29785473.587244667,,,,,
1000.0,24,50000,2022,-29778196.594402835,,,,,
1000.0,29,60000,2028,-29769360.739620216,,,,,
1000.0,34,70000,2022,-29729682.733111,1.4273179305135386e-09,157638.3125,0.05,0.0018,0
513.6666666666666,39,80000,2027,-15139013.397337168,,,,,
675.7777777777778,44,90000,2031,-20043581.376744222,,,,,
623.7692307692307,49,100000,2034,-18468080.303025074,,,,,
,54,110000,2035,,1.590784622085284e-11,14143964.0,0.05,0.0018,1
671.3333333333334,58,120000,2038,-19828637.247465,,,,,
720.8571428571429,63,130000,2040,-21284416.631206427,,,,,
782.8888888888889,68,140000,2040,-23192667.768739555,,,,,
773.8461538461538,73,150000,2041,-22976823.78438092,,,,,
804.0,78,160000,2043,-23886138.023906533,,,,,
1000.0,83,170000,2043,-29733737.7355405,1.8941617371814878e-11,11878605.0,0.05,0.0018,2
1000.0,88,180000,2043,-29776029.29001175,,,,,
1000.0,92,190000,2044,-29815220.13018286,,,,,
1000.0,97,200000,2047,-29787005.342853114,,,,,
1000.0,102,210000,2048,-29802416.29195525,,,,,
1000.0,107,220000,2049,-29802088.104207646,,,,,
1000.0,112,230000,2049,-29789598.813519,1.6190265794691072e-09,138972.390625,0.05,0.0018,3
1000.0,117,240000,2049,-29842603.515834,,,,,
752.75,121,250000,2050,-22370545.38231775,,,,,
672.9166666666666,126,260000,2050,-19926618.231567334,,,,,
738.3333333333334,131,270000,2050,-21888334.322749734,,,,,
1000.0,136,280000,2050,-29370710.0,1.6972829391947997e-11,13256482.0,0.05,0.0018,4
1000.0,141,290000,2051,-29516730.492885746,,,,,
859.0,146,300000,2050,-25364564.69010557,,,,,
901.3,151,310000,2044,-26593778.3821086,,,,,
847.7692307692307,156,320000,2040,-25057257.469348688,,,,,
,161,330000,2040,,2.229934639719211e-11,10089982.0,0.05,0.0018,5
1000.0,166,340000,2037,-29702281.642123,,,,,
1000.0,172,350000,2034,-29753466.189582605,,,,,
781.6666666666666,177,360000,2033,-23214173.36330478,,,,,
719.1428571428571,182,370000,2031,-21337589.57836643,,,,,
,187,380000,2030,,1.6984941231257267e-11,13247028.0,0.05,0.0018,6
605.4,192,390000,2025,-17914685.541239,,,,,
718.1428571428571,197,400000,2023,-21244502.414759427,,,,,
731.1818181818181,202,410000,2022,-21660867.135659635,,,,,
732.0,208,420000,2019,-21579061.5868135,,,,,
18.0,213,430000,2016,-224559.4532335,1.7464125631749816e-11,12883553.0,0.05,0.0018,7
607.2,218,440000,2016,-17978740.514886998,,,,,
