time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/step_size,train/iterations,train/learning_rate,rollout/return_std,train/delta_std
1993,672.0,10000,5,-19758470.781215,,,,,
2107,803.2,20000,9,-23820977.8684432,,,,,
2148,877.0,30000,13,-26129988.992036,,,,,
2159,820.6363636363636,40000,18,-24465025.096927546,,,,,
2161,859.0714285714286,50000,23,-25597881.54469,,,,,
2165,,60000,27,,2.2174276304021134e-11,0,0.0018,10146892.0,0.05
2163,1000.0,70000,32,-29796794.301091332,,,,,
2162,1000.0,80000,36,-29801231.6258894,,,,,
2165,733.4545454545455,90000,41,-21756295.20736082,,,,,
2169,774.4615384615385,100000,46,-22982290.05675308,,,,,
2171,,110000,50,,1.9016586916276168e-11,1,0.0018,11831776.0,0.05
2171,1000.0,120000,55,-29866188.065242,,,,,
2174,1000.0,130000,59,-29851187.6203248,,,,,
2172,1000.0,140000,64,-29804763.235014714,,,,,
2171,1000.0,150000,69,-29850502.358244598,,,,,
2172,1000.0,160000,73,-29837253.653941497,,,,,
2171,1000.0,170000,78,-29810610.8172032,,,,,
2171,507.5,180000,82,-14894919.335786501,1.2654475245454933e-09,2,0.0018,177802.703125,0.05
2172,803.0,190000,87,-23864042.558093,,,,,
2173,859.2857142857143,200000,92,-25542566.134722713,,,,,
2174,901.5,210000,96,-26856931.562353205,,,,,
2174,917.9166666666666,220000,101,-27366415.80951242,,,,,
2175,934.3333333333334,230000,105,-27865585.781373672,,,,,
2176,1000.0,240000,110,-29383568.887426,3.026165082409271e-11,3,0.0018,7435152.5,0.05
2177,1000.0,250000,114,-29674485.991871,,,,,
2177,1000.0,260000,119,-29687362.789931666,,,,,
2176,1000.0,270000,124,-29736512.37782189,,,,,
2176,1000.0,280000,128,-29681033.315521095,,,,,
2176,1000.0,290000,133,-29697896.383167215,,,,,
2176,,300000,137,,7.854408790031187e-10,4,0.0018,286463.3125,0.05
2170,1000.0,310000,142,-29829394.65288767,,,,,
2165,717.2857142857143,320000,147,-21368028.839951,,,,,
2161,730.9090909090909,330000,152,-21732391.070676364,,,,,
2155,772.3076923076923,340000,157,-22978124.91105169,,,,,
2153,,350000,162,,1.8802868984035825e-11,5,0.0018,11966259.0,0.05
2146,1000.0,360000,167,-29903260.163885,,,,,
2145,1000.0,370000,172,-29789908.136991,,,,,
2139,1000.0,380000,177,-29814927.671919573,,,,,
2128,1000.0,390000,183,-29830771.475016303,,,,,
2125,1000.0,400000,188,-29799770.758045837,,,,,
2121,1000.0,410000,193,-29784228.35247173,,,,,
2117,1000.0,420000,198,-29931612.314883,9.848354354247135e-10,6,0.0018,228464.5625,0.05
2111,1000.0,430000,203,-29822583.4803945,,,,,
2106,1000.0,440000,208,-29807470.651220664,,,,,
2101,1000.0,450000,214,-29543665.01552289,,,,,
2098,1000.0,460000,219,-29578132.27057264,,,,,
