rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/return_std,train/learning_rate,train/iterations,train/step_size,train/delta_std
-19849134.701074,670.6666666666666,1974,5,10000,,,,,
-23716869.944058597,802.4,2055,9,20000,,,,,
-26002998.616585247,876.5,2087,14,30000,,,,,
-24326655.95502427,820.8181818181819,2092,19,40000,,,,,
-25492544.384881143,859.2142857142857,2093,23,50000,,,,,
,,2094,28,60000,10111001.0,0.0018,0,2.2252989381743582e-11,0.05
-22182759.870632,761.75,2089,33,70000,,,,,
-24686162.036499005,841.1666666666666,2090,38,80000,,,,,
-26228955.684493225,894.1111111111111,2093,42,90000,,,,,
-24617262.85702267,838.4166666666666,2095,47,100000,,,,,
,,2096,52,110000,11776862.0,0.0018,1,1.91052590414742e-11,0.05
-29820342.495523,1000.0,2097,57,120000,,,,,
-24816826.136552166,839.3333333333334,2096,61,130000,,,,,
-23153004.767257556,783.0,2095,66,140000,,,,,
-24789672.527865753,837.25,2095,71,150000,,,,,
-25507214.766362287,860.5,2091,76,160000,,,,,
-14920105.033224499,512.0,2091,81,170000,10105435.0,0.0018,2,2.2265245203101358e-11,0.05
-22277415.560010247,756.0,2091,86,180000,,,,,
-25336269.330706857,860.5714285714286,2093,90,190000,,,,,
-26321990.009427335,891.5555555555555,2094,95,200000,,,,,
-27160240.6688235,918.6666666666666,2094,100,210000,,,,,
-27530869.062186144,930.2857142857143,2096,104,220000,,,,,
-14848524.0560005,506.5,2097,109,230000,7343019.5,0.0018,3,3.0641343629067563e-11,0.05
-22376123.325822,753.25,2097,114,240000,,,,,
-17944031.9453563,607.2,2098,119,250000,,,,,
-18366584.358874768,621.7692307692307,2097,123,260000,,,,,
,,2097,128,270000,14133013.0,0.0018,4,1.5920171431149654e-11,0.05
-29764320.0,1000.0,2097,133,280000,,,,,
-29632867.181563605,1000.0,2097,138,290000,,,,,
-29611847.352172285,1000.0,2095,143,300000,,,,,
-29526011.428648703,1000.0,2094,148,310000,,,,,
-29559850.409301087,1000.0,2090,153,320000,,,,,
-124464.2498015,15.0,2085,158,330000,7378669.0,0.0018,5,3.04933023276277e-11,0.05
-11963395.9087184,409.8,2083,163,340000,,,,,
-16574490.77104389,564.6666666666666,2078,168,350000,,,,,
-18934257.29531891,643.8181818181819,2077,173,360000,,,,,
,,2075,178,370000,14755912.0,0.0018,6,1.524812567876843e-11,0.05
-29542866.585759,1000.0,2073,183,380000,,,,,
-29750162.6938846,1000.0,2071,188,390000,,,,,
-29726274.781346142,1000.0,2069,193,400000,,,,,
-24773752.467593748,836.0833333333334,2063,198,410000,,,,,
-23766412.397273265,802.8,2062,203,420000,,,,,
-29280281.9307555,1000.0,2061,208,430000,11895336.0,0.0018,7,1.8914977223394303e-11,0.05
-29502710.965377748,1000.0,2057,213,440000,,,,,
-29546849.173335575,1000.0,2054,219,450000,,,,,
