rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/step_size,train/learning_rate,rollout/return_std,train/iterations,train/delta_std
407.6,2073,4,10000,-12052050.1990944,,,,,
450.1111111111111,2170,9,20000,-13412981.322772333,,,,,
543.1538461538462,2208,13,30000,-16206849.64669108,,,,,
604.0666666666667,2218,18,40000,-18042414.223298535,,,,,
290.0,2223,22,50000,-8635194.039717857,1.507893115926251e-11,0.0018,14921481.0,0,0.05
447.77777777777777,2228,26,60000,-13344356.22646233,,,,,
585.8333333333334,2229,31,70000,-17523907.2815455,,,,,
645.0,2232,35,80000,-19299999.736674998,,,,,
503.5,2233,40,90000,-14940242.9841585,1.5731397087770382e-11,0.0018,14302608.0,1,0.05
503.8333333333333,2233,44,100000,-15005316.4207915,,,,,
669.2222222222222,2234,49,110000,-20021146.272423666,,,,,
669.1666666666666,2235,53,120000,-20036543.24932083,,,,,
1000.0,2237,58,130000,-30064571.846389,1.505980409821639e-11,0.0018,14940433.0,2,0.05
751.5,2236,62,140000,-22504587.61155275,,,,,
549.6363636363636,2236,67,150000,-16411817.362492727,,,,,
575.0714285714286,2237,71,160000,-17198492.885998428,,,,,
1000.0,2238,75,170000,-29697600.148461,1.5072483192102304e-11,0.0018,14927864.0,3,0.05
1000.0,2239,80,180000,-29888542.373561997,,,,,
604.2,2239,84,190000,-17998870.786574297,,,,,
670.1666666666666,2239,89,200000,-20004275.407150082,,,,,
262.0,2240,93,210000,-7634763.566432751,1.5087854576822934e-11,0.0018,14912657.0,4,0.05
436.7142857142857,2240,98,220000,-12969806.734765857,,,,,
551.8181818181819,2240,102,230000,-16438333.957467638,,,,,
,2240,107,240000,,1.461151859227794e-11,0.0018,15398810.0,5,0.05
753.0,2241,111,250000,-22473166.009497248,,,,,
717.4285714285714,2241,116,260000,-21422916.78641357,,,,,
730.0,2240,120,270000,-21853480.560052454,,,,,
716.7857142857143,2240,124,280000,-21469908.598407358,,,,,
668.6666666666666,2240,129,290000,-20018871.664496,1.572465942178969e-11,0.0018,14308735.0,6,0.05
801.2,2241,133,300000,-24038170.3555848,,,,,
639.7272727272727,2241,138,310000,-19127530.715135273,,,,,
646.3571428571429,2239,142,320000,-19330000.038678575,,,,,
339.0,2239,147,330000,-10069398.775817335,1.5083172558161273e-11,0.0018,14917286.0,7,0.05
504.25,2232,152,340000,-15060185.040809251,,,,,
639.4545454545455,2225,157,350000,-19137267.506056454,,,,,
645.8571428571429,2223,161,360000,-19329716.636962857,,,,,
503.0,2218,166,370000,-15076984.899919,1.5759199500919863e-11,0.0018,14277374.0,8,0.05
751.5,2213,171,380000,-22594623.93020825,,,,,
858.0,2210,176,390000,-25746574.735638287,,,,,
801.2,2203,181,400000,-24028627.546208404,,,,,
668.8666666666667,2200,186,410000,-20040179.10133187,,,,,
403.8,2198,191,420000,-12099839.0031888,1.5727705596213504e-11,0.0018,14305965.0,9,0.05
503.75,2194,195,430000,-15068952.152212875,,,,,
586.25,2189,200,440000,-17579195.653298583,,,,,
645.3571428571429,2180,206,450000,-19336825.767315287,,,,,
256.25,2175,211,460000,-7619267.18710625,1.5716412546384895e-11,0.0018,14316244.0,10,0.05
307.2,2171,216,470000,-9140958.509990599,,,,,
467.0769230769231,2166,221,480000,-13902872.085650923,,,,,
