time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/step_size,rollout/return_std,train/learning_rate,train/delta_std,train/iterations
2046,4,-15237246.43685975,10000,523.75,,,,,
2140,9,-20079105.557236332,20000,682.5,,,,,
2174,13,-23339134.95946778,30000,788.3333333333334,,,,,
2185,18,-24529227.542067364,40000,826.8181818181819,,,,,
2189,22,-25670890.14219286,50000,863.9285714285714,,,,,
2192,27,,60000,,2.259652534530865e-11,9957283.0,0.0018,0.05,0
2192,31,-29656503.33168167,70000,1000.0,,,,,
2189,36,-29732513.343132604,80000,1000.0,,,,,
2190,41,-29714641.867643625,90000,1000.0,,,,,
2192,45,-24807246.925175253,100000,835.4166666666666,,,,,
2193,50,-25832089.99057867,110000,868.3333333333334,,,,,
2195,54,-29553708.066602,120000,1000.0,2.2215711908968316e-11,10127967.0,0.0018,0.05,1
2197,59,-19720212.88639083,130000,671.6666666666666,,,,,
2195,63,-22240341.957935497,140000,753.75,,,,,
2196,68,-24328018.932194088,150000,820.9090909090909,,,,,
2198,72,-23423050.64949257,160000,790.6428571428571,,,,,
2199,77,-29796909.400161996,170000,1000.0,1.7050012443564633e-11,13196471.0,0.0018,0.05,2
2201,81,-19936107.861667167,180000,669.3333333333334,,,,,
2203,86,-23226589.665613335,190000,779.5555555555555,,,,,
2203,90,-20706853.943919234,200000,698.2307692307693,,,,,
2203,95,-116172.284659,210000,17.0,1.6987930159806375e-11,13244697.0,0.0018,0.05,3
2203,99,-19887262.0813,220000,672.3333333333334,,,,,
2203,104,-24868235.98786367,230000,836.1666666666666,,,,,
2204,108,-20911249.471955102,240000,703.8,,,,,
2204,113,-21325096.80015586,250000,717.9285714285714,,,,,
2205,117,-29512913.089398,260000,1000.0,1.582529246535458e-11,14217746.0,0.0018,0.05,4
2204,122,-23709988.9248042,270000,802.0,,,,,
2205,126,-22303115.783018626,280000,753.25,,,,,
2205,131,-22346260.047793,290000,753.6666666666666,,,,,
2205,136,-21861270.131303802,300000,737.3333333333334,,,,,
2202,140,-29896205.4989415,310000,1000.0,1.6995514370843345e-11,13238787.0,0.0018,0.05,5
2201,145,-19949907.173323836,320000,669.5,,,,,
2199,150,-20914809.6659065,330000,702.5,,,,,
2197,154,-22403111.127576005,340000,752.0833333333334,,,,,
2195,159,,350000,,1.6903036262339022e-11,13311218.0,0.0018,0.05,6
2194,164,-29856784.171933003,360000,1000.0,,,,,
2192,168,-29871544.878864,370000,1000.0,,,,,
2189,173,-29871876.560264714,380000,1000.0,,,,,
2188,178,-27012367.609478,390000,910.3636363636364,,,,,
2183,183,-113232.794232,400000,15.0,1.7033851759662433e-11,13208991.0,0.0018,0.05,7
2182,187,-12042655.507268,410000,409.0,,,,,
2172,193,-14986166.903185103,420000,507.1,,,,,
2170,198,-16133274.679308232,430000,545.3076923076923,,,,,
2171,202,-8633882.230198571,440000,297.14285714285717,1.4654400956604086e-11,15353750.0,0.0018,0.05,8
2169,207,-11961642.978259299,450000,409.0,,,,,
2166,212,-16100189.574392615,460000,545.3846153846154,,,,,
2166,216,-17938165.16045573,470000,606.0,,,,,
2164,221,-19949383.047593668,480000,669.0,1.5178372447799404e-11,14823724.0,0.0018,0.05,9
