rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/iterations,train/learning_rate,train/step_size,rollout/return_std,train/delta_std
-29825860.0,10000,4,2010,1000.0,,,,,
-29722172.38583525,20000,9,2094,1000.0,,,,,
-29721527.73218314,30000,14,2125,1000.0,,,,,
-22342769.306373917,40000,18,2132,751.9166666666666,,,,,
-23858098.84052253,50000,23,2137,801.5333333333333,,,,,
-29866130.0,60000,27,2143,1000.0,0,0.0018,1.8803292256563964e-11,11965990.0,0.05
-23884712.0,70000,32,2144,802.2,,,,,
-25609365.20767957,80000,37,2144,858.7142857142857,,,,,
-26838466.022499,90000,41,2144,901.1,,,,,
-25252637.65883215,100000,46,2146,847.3846153846154,,,,,
-6062961.565872801,110000,51,2148,205.6,1,0.0018,1.878527888798942e-11,11977464.0,0.05
-12849329.675429,120000,55,2149,432.57142857142856,,,,,
-14969989.873549668,130000,60,2150,503.3333333333333,,,,,
-17100650.731597356,140000,65,2149,574.2857142857143,,,,,
-30047750.0,150000,69,2149,1000.0,2,0.0018,1.5133869851746695e-11,14867314.0,0.05
-29950213.333333332,160000,74,2150,1000.0,,,,,
-25765962.205703855,170000,79,2151,867.5714285714286,,,,,
-20039622.119993914,180000,83,2152,675.0833333333334,,,,,
,190000,88,2153,,3,0.0018,1.5859809993079566e-11,14186802.0,0.05
-15005865.0,200000,92,2154,503.75,,,,,
-18740182.924168877,210000,97,2154,627.625,,,,,
-20986561.339335103,220000,102,2155,702.1,,,,,
-23006095.332380615,230000,106,2156,770.8461538461538,,,,,
-125450.0,240000,111,2157,8.5,4,0.0018,1.691721415730818e-11,13300062.0,0.05
-14821980.266577667,250000,115,2157,503.6666666666667,,,,,
-18567497.576120626,260000,120,2157,627.75,,,,,
-21597962.61653091,270000,125,2156,729.2727272727273,,,,,
-22892496.82937231,280000,129,2157,770.9230769230769,,,,,
,290000,134,2157,,5,0.0018,1.8822852998479078e-11,11953554.0,0.05
-29936760.0,300000,138,2158,1000.0,,,,,
-18617800.542864002,310000,143,2155,626.875,,,,,
-20833160.434291203,320000,148,2151,701.5,,,,,
-21283946.306971215,330000,154,2142,715.7857142857143,,,,,
,340000,159,2137,,6,0.0018,1.694652231043481e-11,13277060.0,0.05
-29940123.333333332,350000,163,2136,1000.0,,,,,
-29934742.0,360000,168,2133,1000.0,,,,,
-26558802.222222224,370000,173,2129,889.3333333333334,,,,,
-23006346.451124076,380000,179,2120,770.7692307692307,,,,,
,390000,184,2111,,7,0.0018,1.8778950616749057e-11,11981500.0,0.05
-29976833.139063,400000,190,2101,1000.0,,,,,
-29811547.2556252,410000,195,2094,1000.0,,,,,
-29842731.046381,420000,201,2089,1000.0,,,,,
-21327382.07356586,430000,206,2084,716.9285714285714,,,,,
,440000,211,2077,,8,0.0018,1.6958989768056654e-11,13267300.0,0.05
-29889186.193684667,450000,216,2074,1000.0,,,,,
-29886017.7162108,460000,222,2069,1000.0,,,,,
