rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/step_size,train/iterations,rollout/return_std,train/delta_std
670.3333333333334,-26671527.888323665,4,10000,2098,,,,,
802.2,-31698383.077067595,9,20000,2107,,,,,
876.375,-34747550.205313995,14,30000,2112,,,,,
901.1,-35757952.208097294,18,40000,2115,,,,,
859.4285714285714,-34102078.00023907,23,50000,2118,,,,,
1000.0,-39896452.540767,28,60000,2118,0.0018,1.4110585963567068e-11,0,15945475.0,0.05
671.1666666666666,-26643687.930670332,32,70000,2121,,,,,
671.2222222222222,-26521024.092424553,37,80000,2123,,,,,
753.4166666666666,-29831953.115366668,42,90000,2125,,,,,
788.6428571428571,-31249774.07706357,47,100000,2127,,,,,
506.5,-20023171.5196225,51,110000,2128,0.0018,1.4113763976975058e-11,1,15941884.0,0.05
753.25,-29892610.32283025,56,120000,2127,,,,,
673.8888888888889,-26705284.65286978,61,130000,2128,,,,,
579.8571428571429,-22856755.987446718,65,140000,2128,,,,,
671.3333333333334,-26704281.907159667,70,150000,2129,0.0018,1.1101367221322267e-11,2,20267772.0,0.05
802.8,-31925667.7528696,75,160000,2128,,,,,
704.6,-27881137.414743908,79,170000,2129,,,,,
753.8333333333334,-29881289.45216159,84,180000,2130,,,,,
,,89,190000,2130,0.0018,1.2683930294965506e-11,3,17738980.0,0.05
1000.0,-39849230.0,93,200000,2131,,,,,
1000.0,-39885085.069089994,98,210000,2132,,,,,
1000.0,-39858073.16443729,103,220000,2132,,,,,
836.0,-33178836.081687916,107,230000,2132,,,,,
859.4285714285714,-34106805.88790807,112,240000,2133,,,,,
1000.0,-39889436.413581,117,250000,2132,0.0018,1.6647887929321925e-11,4,13515228.0,0.05
1000.0,-39853000.56776866,121,260000,2131,,,,,
1000.0,-39872972.638542,126,270000,2128,,,,,
1000.0,-39907267.65973437,131,280000,2125,,,,,
848.7692307692307,-33819548.314633384,136,290000,2124,,,,,
1000.0,-39965036.157361,141,300000,2122,0.0018,1.2693800004182076e-11,5,17725188.0,0.05
802.0,-31833214.378235,146,310000,2121,,,,,
858.5714285714286,-34122292.92056471,150,320000,2120,,,,,
697.5384615384615,-27603064.323779844,155,330000,2118,,,,,
737.8666666666667,-29237282.317133196,160,340000,2117,,,,,
507.75,-19991343.4695025,165,350000,2116,0.0018,1.2680934427522494e-11,6,17743172.0,0.05
671.8333333333334,-26629474.505126,170,360000,2115,,,,,
781.2222222222222,-30953362.56885389,174,370000,2115,,,,,
753.5833333333334,-29864603.501610164,179,380000,2115,,,,,
,,184,390000,2115,0.0018,1.1874081579099638e-11,7,18948834.0,0.05
1000.0,-39866943.31238366,189,400000,2115,,,,,
837.5,-33215295.221683666,193,410000,2116,,,,,
803.7,-31722171.7654859,198,420000,2116,,,,,
772.7692307692307,-30538480.490500383,203,430000,2116,,,,,
21.5,-386675.71335700003,208,440000,2114,0.0018,1.415956761563475e-11,8,15890315.0,0.05
510.75,-19993934.339446,212,450000,2112,,,,,
514.2,-20080016.1809625,217,460000,2113,,,,,
479.8,-18742990.058212932,222,470000,2112,,,,,
1000.0,-39790640.452282,227,480000,2111,0.0018,1.1116040379843817e-11,9,20241020.0,0.05
1000.0,-39759403.2015885,232,490000,2109,,,,,
1000.0,-39789398.269658566,237,500000,2108,,,,,
904.1,-35924685.9165402,242,510000,2106,,,,,
806.0,-31939073.746013995,247,520000,2105,,,,,
506.5,-20008754.5862505,251,530000,2103,0.0018,1.4220587381263972e-11,10,15822130.0,0.05
802.6,-31874802.7539636,257,540000,2099,,,,,
859.0,-34136497.68140257,262,550000,2098,,,,,
821.0909090909091,-32603343.481311094,267,560000,2096,,,,,
790.2142857142857,-31346533.19414686,272,570000,2094,,,,,
410.8,-16121569.947845599,277,580000,2092,0.0018,1.2733309198709186e-11,11,17670190.0,0.05
510.875,-20094499.805993624,282,590000,2091,,,,,
509.0833333333333,-20094980.878938917,286,600000,2090,,,,,
,,291,610000,2089,0.0018,1.112665862224027e-11,12,20221704.0,0.05
