time/episodes,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,time/total_timesteps,train/ent_coef_loss,train/n_updates
166,0.0055,63885920.0,-1021931.3985135602,250,49.49,39,59.44202423095703,74336.15625,10000,-120.987060546875,2474
655,0.0055,39191672.0,-152647.22649964,230,6.63,86,128.393310546875,104576.65625,20000,12.251056671142578,4974
2219,0.0055,24243776.0,-144290.75240642,220,5.72,136,86.74594116210938,111457.3046875,30000,17.994455337524414,7474
4091,0.0055,14862022.0,-136908.67046605,215,5.13,185,49.0687370300293,111263.3203125,40000,10.80911636352539,9974
5814,0.0055,21005772.0,-140307.70382003,212,5.41,235,25.286975860595703,109986.8984375,50000,6.800587177276611,12474
7606,0.0055,10971726.0,-133994.99145367,210,5.06,284,20.164976119995117,104727.6015625,60000,5.367084503173828,14974
9442,0.0055,694051.875,-133430.29896924002,209,5.0,334,17.601276397705078,105250.515625,70000,0.2389543354511261,17474
11398,0.0055,4680528.0,-133373.05585894999,208,5.0,383,18.051090240478516,106907.59375,80000,1.8437144756317139,19974
13010,0.0055,15308786.0,-138036.20196525002,207,5.53,433,26.665599822998047,101533.9375,90000,2.27139949798584,22474
14894,0.0055,1050517.625,-133942.20637827,207,5.13,482,14.980183601379395,106586.0,100000,0.748872697353363,24974
16553,0.0055,1632334.0,-133692.79029366,206,5.05,532,18.938142776489258,105737.6953125,110000,3.5500025749206543,27474
18513,0.0055,2125081.0,-133179.89444466998,206,5.0,581,16.796125411987305,107071.3671875,120000,-3.9035422801971436,29974
19959,0.0055,50867784.0,-540694.3524890599,206,19.79,631,83.76619720458984,134428.34375,130000,21.132104873657227,32474
21611,0.0055,7739317.5,-133079.54703088,205,5.0,680,21.914810180664062,110996.5625,140000,-1.8360011577606201,34974
23439,0.0055,17345802.0,-133454.99541600002,205,5.04,730,26.490530014038086,109327.75,150000,-2.7966737747192383,37474
25117,0.0055,7249216.5,-133050.12158260998,205,5.0,779,26.00129508972168,111841.2421875,160000,-0.439656138420105,39974
27110,0.0055,1322267.125,-132923.49718895,205,5.0,829,17.070993423461914,106614.90625,170000,3.908885955810547,42474
