train/learning_rate,train/value_loss,train/clip_range,time/fps,time/time_elapsed,time/total_timesteps,train/explained_variance,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.0017,26795534312.0,0.2,1066,9,10000,-2.384185791015625e-07,1.0033175945281982,-0.004961939522945613,-17.04794272482395,0.005159731,0.0203369140625,46.08,-679524.61875162,10,13101435904.0
0.0017,27185317401.6,0.2,1066,18,20000,-1.1920928955078125e-07,1.0063083171844482,-0.0030247361321016795,-17.085492695868016,0.0037517496,0.00574951171875,53.45,-776334.2307222601,20,13829364736.0
0.0017,28088791624.0,0.2,1050,28,30000,-2.384185791015625e-07,1.0094112157821655,-0.0023947423691424775,-17.121535222232342,0.00305911,0.003662109375,42.53,-636068.5551866501,30,13925932032.0
0.0017,26275599360.0,0.2,1040,38,40000,-2.384185791015625e-07,1.013283371925354,-0.0033912859209522138,-17.163237208127974,0.004136339,0.00880126953125,50.84,-735871.3025912,40,14239993856.0
0.0017,27029590110.4,0.2,959,52,50000,0.0,1.0194140672683716,-0.002025681572013127,-17.23847822099924,0.0023335882,0.00130615234375,53.68,-779884.7044516099,60,12719272960.0
0.0017,27081772649.6,0.2,975,61,60000,0.0,1.0225818157196045,-0.0026141793072383735,-17.276797127723693,0.0034587767,0.0042724609375,50.12,-732737.1858838301,70,12607256576.0
0.0017,25534125092.8,0.2,988,70,70000,0.0,1.0257786512374878,-0.0021058966678538125,-17.31419487297535,0.0029665397,0.00262451171875,45.79,-657676.4408380401,80,13223902208.0
0.0017,24961224940.8,0.2,998,80,80000,2.384185791015625e-07,1.0296794176101685,-0.0017476715390330356,-17.355473171174527,0.002018198,0.00111083984375,50.81,-733461.0677367001,90,12282460160.0
0.0017,26388892537.6,0.2,1006,89,90000,0.0,1.033410906791687,-0.0026914183383269117,-17.400034315884113,0.0035734265,0.00465087890625,47.34,-679312.83774096,100,13197569024.0
0.0017,25367886630.4,0.2,969,103,100000,-2.384185791015625e-07,1.0401555299758911,-0.0032095150010718497,-17.47981284558773,0.0036701828,0.0050537109375,44.0,-642916.7073167601,120,12240611328.0
0.0017,25487351377.6,0.2,977,112,110000,1.1920928955078125e-07,1.0443898439407349,-0.003235480230068788,-17.524289873242378,0.0038169085,0.0054931640625,41.87,-607431.64327533,130,12147175424.0
0.0017,24532736563.2,0.2,984,121,120000,1.1920928955078125e-07,1.0484647750854492,-0.00305634919404838,-17.572218407690524,0.0037618976,0.0061767578125,48.45,-699461.7154755,140,11848582144.0
0.0017,25345352713.6,0.2,991,131,130000,0.0,1.0520089864730835,-0.003576745241480239,-17.615703846514226,0.0041950713,0.00858154296875,48.44,-697080.80743279,150,11956557824.0
0.0017,24748899884.8,0.2,966,144,140000,0.0,1.0599313974380493,-0.003974461150028219,-17.703086648881435,0.0043927324,0.0103515625,50.26,-718630.1347345801,170,12077490176.0
0.0017,24107197548.8,0.2,972,154,150000,-2.384185791015625e-07,1.063870906829834,-0.002231209243473131,-17.74808278232813,0.002683831,0.00177001953125,40.27,-585367.3210517899,180,12696622080.0
0.0017,23898525584.0,0.2,978,163,160000,0.0,1.0677424669265747,-0.0030346051739797986,-17.792385604977607,0.003693857,0.0056396484375,42.56,-620802.7420874101,190,13512615936.0
0.0017,23851704160.0,0.2,982,172,170000,0.0,1.0715819597244263,-0.0025064277555429727,-17.835610850155355,0.0029301362,0.00267333984375,45.39,-649839.7883857001,200,11884486656.0
0.0017,24419896838.4,0.2,987,182,180000,-2.384185791015625e-07,1.0747926235198975,-0.0023499596276451485,-17.875046630203723,0.0029419665,0.0024658203125,43.67,-631419.4210167001,210,11470001152.0
0.0017,23995295200.0,0.2,968,196,190000,0.0,1.0818313360214233,-0.0019739977125937,-17.95277414470911,0.0023944909,0.00135498046875,42.77,-619351.2326318199,230,12737363968.0
0.0017,23150220798.4,0.2,972,205,200000,1.1920928955078125e-07,1.0864667892456055,-0.0022923688527953347,-17.996801756322384,0.0024825255,0.00152587890625,47.62,-669217.95387723,240,12612166656.0
0.0017,23156143494.4,0.2,976,215,210000,0.0,1.090089201927185,-0.0021718781810704966,-18.042607721686363,0.0022101032,0.00130615234375,35.87,-528440.36343466,250,12376148992.0
0.0017,22343316931.2,0.2,979,224,220000,-2.384185791015625e-07,1.0941927433013916,-0.002198170222436602,-18.085173340141772,0.002557172,0.00162353515625,40.8,-590644.84964529,260,12256369664.0
0.0017,23173367115.2,0.2,963,238,230000,0.0,1.1032534837722778,-0.001461655482671631,-18.181198300421237,0.0013613709,0.0001953125,43.16,-615209.19492987,280,10864553984.0
0.0017,22607202464.0,0.2,967,248,240000,1.1920928955078125e-07,1.1080623865127563,-0.002812347112376301,-18.232726986706258,0.0027953503,0.0029296875,34.86,-512628.1085021499,290,11002362880.0
0.0017,22314667588.8,0.2,970,257,250000,0.0,1.1124756336212158,-0.002023824553543818,-18.282341367006303,0.0024155867,0.0012451171875,36.47,-522444.68163325,300,11702860800.0
0.0017,21848257384.0,0.2,973,267,260000,0.0,1.116017460823059,-0.0016887461962141969,-18.325403459370136,0.0017856597,0.000537109375,36.93,-539470.2076240301,310,11337659392.0
0.0017,22107365056.0,0.2,975,276,270000,1.1920928955078125e-07,1.1205569505691528,-0.001745090205440647,-18.368631011247636,0.0017507104,0.0005859375,46.09,-656351.78193361,320,10853676032.0
0.0017,22626850921.6,0.2,962,290,280000,-1.1920928955078125e-07,1.1285825967788696,-0.0019934269188524923,-18.457554641366006,0.0022428161,0.000927734375,45.07,-636963.79128396,340,10348170240.0
0.0017,22178225136.0,0.2,965,300,290000,0.0,1.1326957941055298,-0.0019133379177219468,-18.500824615359306,0.0018979742,0.00079345703125,38.09,-547271.4790518101,350,11344729088.0
0.0017,21007405008.0,0.2,967,310,300000,-1.1920928955078125e-07,1.1363569498062134,-0.0024562293647250044,-18.54195332676172,0.003150566,0.00343017578125,30.29,-447158.33693448995,360,11518704640.0
0.0017,21005028222.4,0.2,969,319,310000,-2.384185791015625e-07,1.1398433446884155,-0.0019155229374518967,-18.57960666269064,0.0024149665,0.0015380859375,34.88,-501298.29675246,370,11184062464.0
0.0017,20668448456.0,0.2,958,333,320000,0.0,1.148958683013916,-0.0026632758854248095,-18.667006427049635,0.0026985672,0.00260009765625,36.6,-527730.6604067299,390,10771742720.0
0.0017,21473678972.8,0.2,961,343,330000,2.384185791015625e-07,1.153395652770996,-0.0018628067380632273,-18.716548369824885,0.002095819,0.00078125,31.09,-457878.52668971004,400,9922554880.0
0.0017,21109220272.0,0.2,963,352,340000,0.0,1.1579629182815552,-0.003128419516087888,-18.76394750624895,0.0032019673,0.0044189453125,32.17,-463041.09497568005,410,10082086912.0
0.0017,20317362128.0,0.2,965,362,350000,-2.384185791015625e-07,1.1618441343307495,-0.0021667916464139124,-18.807063226401805,0.0020742782,0.00074462890625,34.59,-497992.9749096499,420,10130012160.0
0.0017,21094476953.6,0.2,966,372,360000,2.384185791015625e-07,1.1653738021850586,-0.0016920361402299022,-18.845344051718712,0.0018261225,0.00059814453125,37.47,-536057.5256836499,430,10872286208.0
0.0017,20441931764.8,0.2,957,386,370000,-2.384185791015625e-07,1.173741340637207,-0.002394819416986138,-18.925028716027736,0.002438905,0.001904296875,35.13,-508586.2599136,450,9649186816.0
0.0017,20360835335.2,0.2,959,396,380000,0.0,1.1783431768417358,-0.0016699845207767793,-18.972909709811212,0.0017142161,0.00059814453125,36.22,-512083.31749683997,460,10957005824.0
0.0017,20100279516.8,0.2,960,406,390000,0.0,1.1831713914871216,-0.0021949357422272444,-19.020923851430418,0.002266529,0.00142822265625,28.6,-426238.24368913996,470,9759614976.0
0.0017,20367598331.2,0.2,962,415,400000,2.384185791015625e-07,1.1882975101470947,-0.002056971174897626,-19.07140896767378,0.0017963217,0.0008056640625,35.55,-508240.98763811996,480,11077453824.0
0.0017,20742101096.0,0.2,954,429,410000,-2.384185791015625e-07,1.1969221830368042,-0.002174830829244456,-19.168393360078333,0.00226943,0.00128173828125,33.15,-480187.39451119,500,9910528000.0
0.0017,20381545593.6,0.2,956,438,420000,1.7881393432617188e-07,1.201127529144287,-0.0014931407686162856,-19.205063228309154,0.001260798,0.000244140625,37.62,-526173.38728168,510,10811832320.0
0.0017,19095482445.6,0.2,958,448,430000,1.1920928955078125e-07,1.2061692476272583,-0.0018765498998618568,-19.251227217912675,0.0017204145,0.00062255859375,28.68,-426446.56959204003,520,8631107584.0
0.0017,20108122874.4,0.2,960,457,440000,-1.1920928955078125e-07,1.2111119031906128,-0.0018835071910871192,-19.30097314566374,0.0019087933,0.0006103515625,28.37,-409524.21877937997,530,10189421568.0
0.0017,19307977108.0,0.2,962,467,450000,0.0,1.216208577156067,-0.0021272133344609756,-19.35092763751745,0.0019727969,0.00091552734375,33.79,-484508.91314812005,540,10260414464.0
0.0017,19253780240.0,0.2,955,481,460000,1.1920928955078125e-07,1.2252204418182373,-0.002350693736480025,-19.4444110840559,0.002288756,0.001318359375,29.9,-433130.57448198996,560,9192352768.0
0.0017,19422619092.0,0.2,957,490,470000,0.0,1.2297810316085815,-0.003374595490640786,-19.487226125597953,0.003796064,0.00911865234375,34.06,-486365.81911534996,570,9372542976.0
