time/fps,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/critic_loss
139,2474,15.960597038269043,0.0064,47.66,71,266098.53125,19.857059478759766,-1758478.46369032,211,10000,4732.65380859375
137,4974,8.45427417755127,0.0064,56.78,145,387449.375,-0.0746581181883812,-2166550.51383723,518,20000,4671.916015625
136,7474,19.33338737487793,0.0064,6.75,220,436308.03125,-0.47285664081573486,-209186.86380772002,969,30000,4970.09375
135,9974,13.051502227783203,0.0064,44.8,294,424803.25,-2.093991994857788,-1770271.7238883702,1676,40000,5866.56640625
135,12474,7.633693218231201,0.0064,144.35,368,478405.5,2.452840805053711,-5771811.2264247695,1690,50000,4643.75390625
135,14974,8.060375213623047,0.0064,243.85,442,475249.0,1.530236005783081,-9771679.70196814,1700,60000,5682.158203125
135,17474,17.21750831604004,0.0064,333.4,517,542837.5,3.287335157394409,-13371735.248552868,1732,70000,4658.30615234375
135,19974,8.648953437805176,0.0064,373.09,591,552493.25,1.7723838090896606,-14960561.749160562,1780,80000,4118.95654296875
135,22474,9.219935417175293,0.0064,64.47,665,571160.75,0.8341193199157715,-2555995.79962763,1902,90000,4661.55078125
135,24974,15.164528846740723,0.0064,44.31,740,591265.3125,4.325891017913818,-1750391.8287287795,2306,100000,2577.303955078125
135,27474,14.191628456115723,0.0064,113.37,814,604277.25,-1.0712212324142456,-4460479.53025553,2408,110000,2715.670654296875
134,29974,15.134467124938965,0.0064,163.31,888,620356.3125,-1.9083384275436401,-6467307.058011102,2433,120000,2215.81689453125
134,32474,6.624012470245361,0.0064,34.85,963,585209.25,0.46657711267471313,-1360712.34525715,2566,130000,4750.990234375
134,34974,6.139474391937256,0.0064,124.4,1038,588299.875,0.33158794045448303,-4963853.53999076,2653,140000,3882.44775390625
134,37474,13.881814956665039,0.0064,4.84,1112,599298.0625,2.8480029106140137,-156784.90235544002,3176,150000,3032.076416015625
134,39974,22.966432571411133,0.0064,44.49,1187,587682.9375,0.03517356514930725,-1753276.5002891999,3643,160000,2507.51025390625
134,42474,20.40473747253418,0.0064,4.37,1263,582530.625,1.3850849866867065,-144070.28255844,3864,170000,2956.925537109375
134,44974,26.71416473388672,0.0064,63.96,1339,572457.0625,-0.8172920346260071,-2539950.7517118696,4036,180000,2053.593017578125
134,47474,18.23589324951172,0.0064,14.07,1414,579064.0625,3.648240089416504,-541010.92120426,4405,190000,2403.345947265625
134,49974,15.364694595336914,0.0064,23.92,1490,582169.625,4.221555233001709,-932451.6409746798,4910,200000,1159.6378173828125
134,52474,12.831330299377441,0.0064,13.96,1566,546289.375,-0.5824781060218811,-531384.0867094098,5356,210000,1233.546875
133,54974,6.655875205993652,0.0064,4.0,1642,549386.875,0.6517956852912903,-130389.30843886998,5826,220000,3219.352783203125
133,57474,30.22110366821289,0.0064,5.02,1718,533162.875,-0.6654566526412964,-161536.10081990002,6396,230000,4124.0537109375
133,59974,9.363675117492676,0.0064,84.16,1795,547317.4375,-1.8232356309890747,-3329015.77957855,6445,240000,3906.510498046875
133,62474,8.782196998596191,0.0064,23.92,1873,544195.6875,1.3961589336395264,-926299.05262144,6794,250000,2276.28466796875
133,64974,7.572308540344238,0.0064,63.81,1951,525986.6875,0.5334779024124146,-2523377.6596025396,7255,260000,2648.55322265625
133,67474,8.622730255126953,0.0064,4.01,2029,500203.53125,-1.5897334814071655,-128712.86489471,8812,270000,1902.0093994140625
132,69974,6.979913711547852,0.0064,5.09,2108,468004.28125,1.3924834728240967,-138745.00968475,9968,280000,2472.262451171875
132,72474,8.123130798339844,0.0064,17.29,2188,486946.03125,-0.261812686920166,-599229.5654468,10436,290000,3023.72998046875
132,74974,11.438112258911133,0.0064,4.56,2269,480625.875,-2.2249507904052734,-134263.58146825002,10939,300000,1618.5267333984375
131,77474,34.919044494628906,0.0064,3.01,2350,448288.25,2.228712558746338,-119048.80383559002,11818,310000,3248.5234375
131,79974,31.094406127929688,0.0064,3.01,2432,364611.34375,2.7884697914123535,-118821.7265739,14929,320000,3494.4521484375
131,82474,19.403003692626953,0.0064,3.39,2515,307267.90625,2.8924214839935303,-124980.63865706998,17673,330000,2374.076416015625
130,84974,25.54825782775879,0.0064,3.03,2598,282107.96875,2.25319242477417,-119068.59330783998,20989,340000,1628.3497314453125
130,87474,32.39963912963867,0.0064,3.0,2683,258938.21875,-3.792806625366211,-118758.11854387999,24319,350000,1500.8546142578125
130,89974,33.157798767089844,0.0064,3.0,2767,182708.9375,1.0927891731262207,-118504.17926540002,27652,360000,1432.7449951171875
129,92474,10.458943367004395,0.0064,4.06,2852,165216.46875,-1.895864725112915,-136719.94277263002,30393,370000,1813.1202392578125
129,94974,18.49907112121582,0.0064,3.0,2938,168892.0,0.38655251264572144,-118574.93952168999,32590,380000,1450.60546875
129,97474,10.680922508239746,0.0064,3.0,3023,157166.234375,-0.9434529542922974,-118529.47321862001,35924,390000,596.2222900390625
128,99974,8.079609870910645,0.0064,3.0,3108,132345.0,0.784473180770874,-118345.81761946,39255,400000,409.1156921386719
128,102474,6.256850242614746,0.0064,3.0,3193,162622.046875,-0.6201490163803101,-118371.85900135,42007,410000,471.20770263671875
128,104974,9.239877700805664,0.0064,3.09,3278,150672.75,2.284099578857422,-119460.00039268997,44904,420000,425.6505432128906
127,107474,5.963418006896973,0.0064,3.04,3363,194798.046875,1.6917569637298584,-118933.51152556,46693,430000,846.9573364257812
127,109974,8.196109771728516,0.0064,23.38,3448,220304.125,0.4381549656391144,-921077.01995746,47897,440000,844.4521484375
127,112474,11.031023025512695,0.0064,3.0,3533,231820.421875,-2.021860361099243,-118537.13089097,50376,450000,816.706787109375
127,114974,13.245621681213379,0.0064,12.97,3618,263254.40625,-0.6910620927810669,-518080.40354838996,52216,460000,1266.968017578125
126,117474,15.855624198913574,0.0064,3.0,3703,259241.609375,-0.07390957325696945,-118611.94816793001,55320,470000,885.752197265625
126,119974,19.45853042602539,0.0064,3.0,3788,280974.875,-3.0338497161865234,-118575.25096692996,58649,480000,1060.1107177734375
126,122474,13.247608184814453,0.0064,3.02,3874,227200.328125,-1.7689008712768555,-118857.53731214,61975,490000,712.2467041015625
126,124974,19.221759796142578,0.0064,3.29,3959,189760.828125,1.0351642370224,-122941.46153331001,65175,500000,2061.610595703125
126,127474,14.166535377502441,0.0064,3.0,4045,158529.28125,-2.0223255157470703,-118554.15632046998,68166,510000,1422.2593994140625
125,129974,11.13320541381836,0.0064,13.02,4129,193348.5625,0.856813371181488,-518312.16569217003,69650,520000,730.499755859375
125,132474,12.461377143859863,0.0064,3.0,4214,189724.6875,1.4003541469573975,-118550.09031911999,71740,530000,442.2251281738281
125,134974,9.661578178405762,0.0064,3.0,4300,202026.328125,1.610069990158081,-118585.13950330002,74787,540000,724.2359008789062
125,137474,10.5980224609375,0.0064,3.0,4385,186163.15625,0.05755454674363136,-118576.76401407998,78116,550000,791.6041259765625
125,139974,9.633265495300293,0.0064,3.0,4471,206489.75,-0.011480923742055893,-118545.12368840999,81449,560000,869.285888671875
125,142474,6.060953617095947,0.0064,3.07,4556,208892.6875,1.2527469396591187,-119514.97711938001,84446,570000,477.9729309082031
124,144974,5.998428821563721,0.0064,3.0,4641,195139.484375,-2.3146111965179443,-118559.39249067,86783,580000,568.8826293945312
