train/learning_rate,train/kl_divergence_loss,train/std,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_objective,train/n_updates,train/explained_variance,train/is_line_search_success
0.0013,0.0062692477367818356,0.9882359504699707,-194425.88073127,10593184924.8,10000,22.34,1565,6,0.06361612677574158,1,-4.76837158203125e-07,1.0
0.0013,0.005711724981665611,0.9814352989196777,-172430.51964286,8547869072.8,20000,20.27,1573,12,0.03513941913843155,2,0.0,1.0
0.0013,0.0072665102779865265,0.9773788452148438,-165033.44062314002,8317786049.6,30000,21.31,1575,19,0.048356831073760986,3,0.0,1.0
0.0013,0.0062785097397863865,0.975188672542572,-149617.6711941,7965525764.0,40000,18.08,1576,25,0.040501996874809265,4,0.0,1.0
0.0013,0.005075821653008461,0.9756679534912109,-147124.88327284998,6914828454.4,50000,19.34,1509,33,0.048186082392930984,6,0.0,1.0
0.0013,0.005787859205156565,0.9633908271789551,-151460.23294836,6852358664.8,60000,19.58,1515,39,0.05207207426428795,7,0.0,1.0
0.0013,0.006256265565752983,0.9554317593574524,-139908.54867143,6804055763.2,70000,19.99,1520,46,0.052292678505182266,8,0.0,1.0
0.0013,0.005631974432617426,0.947796642780304,-119801.93000227002,6852512697.6,80000,15.09,1524,52,0.059065647423267365,9,-1.1920928955078125e-07,1.0
0.0013,0.00596195412799716,0.945671558380127,-124547.85540829001,6225486198.4,90000,18.04,1521,59,0.05881287530064583,10,0.0,1.0
0.0013,0.005795779172331095,0.9525756239891052,-123620.90470843003,5912163152.0,100000,19.02,1493,66,0.0544128492474556,12,1.7881393432617188e-07,1.0
0.0013,0.005808673333376646,0.9530554413795471,-111971.31833232,5612289999.2,110000,17.84,1495,73,0.05926573649048805,13,5.960464477539063e-08,1.0
0.0013,0.006331590469926596,0.932786762714386,-112754.89228118,5464703721.6,120000,18.93,1499,80,0.05282078683376312,14,-1.1920928955078125e-07,1.0
0.0013,0.006207101512700319,0.9329344630241394,-120465.71695941001,5169765404.8,130000,22.52,1499,86,0.05250639468431473,15,-1.1920928955078125e-07,1.0
0.0013,0.005939226131886244,0.9307873845100403,-116173.11500389002,4871846964.0,140000,22.06,1479,94,0.0550299808382988,17,0.0,1.0
0.0013,0.0070347897708415985,0.9226170182228088,-107010.64915744003,4743291983.6,150000,22.04,1481,101,0.04897693172097206,18,0.0,1.0
0.0013,0.006125291343778372,0.9211335778236389,-103163.88277995,4798330598.0,160000,27.71,1482,107,0.051259152591228485,19,0.0,1.0
0.0013,0.0072451322339475155,0.9185504913330078,-115525.09383273,4360957949.6,170000,27.18,1484,114,0.056356146931648254,20,0.0,1.0
0.0013,0.00722842151299119,0.9215245246887207,-81261.45998901999,4267423831.6,180000,27.82,1485,121,0.054337311536073685,21,0.0,1.0
0.0013,0.007242880295962095,0.9129971861839294,-80817.7551695,3825053328.8,190000,25.17,1469,129,0.05434037372469902,23,0.0,1.0
0.0013,0.008107906207442284,0.90627121925354,-72893.84161343999,3712941929.2,200000,28.99,1466,136,0.04962010309100151,24,0.0,1.0
0.0013,0.007411690894514322,0.8982451558113098,-55621.62678810002,3797849940.0,210000,27.67,1461,143,0.05401579290628433,25,0.0,1.0
